6	TAFINLAR.xml:S1:4:1	O
ADVERSE	TAFINLAR.xml:S1:6:7	O
REACTIONS	TAFINLAR.xml:S1:14:9	O

The	TAFINLAR.xml:S1:27:3	O
following	TAFINLAR.xml:S1:31:9	O
adverse	TAFINLAR.xml:S1:41:7	O
reactions	TAFINLAR.xml:S1:49:9	O
are	TAFINLAR.xml:S1:59:3	O
discussed	TAFINLAR.xml:S1:63:9	O
in	TAFINLAR.xml:S1:73:2	O
greater	TAFINLAR.xml:S1:76:7	O
detail	TAFINLAR.xml:S1:84:6	O
in	TAFINLAR.xml:S1:91:2	O
another	TAFINLAR.xml:S1:94:7	O
section	TAFINLAR.xml:S1:102:7	O
of	TAFINLAR.xml:S1:110:2	O
the	TAFINLAR.xml:S1:113:3	O
label	TAFINLAR.xml:S1:117:5	O
:	TAFINLAR.xml:S1:122:1	O

New	TAFINLAR.xml:S1:133:3	O
Primary	TAFINLAR.xml:S1:137:7	B-AdverseReaction
Malignancies	TAFINLAR.xml:S1:145:12	I-AdverseReaction
[	TAFINLAR.xml:S1:158:1	O
see	TAFINLAR.xml:S1:159:3	O
Warnings	TAFINLAR.xml:S1:163:8	O
and	TAFINLAR.xml:S1:172:3	O
Precautions	TAFINLAR.xml:S1:176:11	O
(	TAFINLAR.xml:S1:188:1	O
5.1	TAFINLAR.xml:S1:189:3	O
)]	TAFINLAR.xml:S1:192:2	O

Tumor	TAFINLAR.xml:S1:203:5	B-AdverseReaction
Promotion	TAFINLAR.xml:S1:209:9	I-AdverseReaction
in	TAFINLAR.xml:S1:219:2	I-AdverseReaction
BRAF	TAFINLAR.xml:S1:222:4	I-AdverseReaction
Wild	TAFINLAR.xml:S1:227:4	I-AdverseReaction
-	TAFINLAR.xml:S1:231:1	I-AdverseReaction
Type	TAFINLAR.xml:S1:232:4	I-AdverseReaction
Melanoma	TAFINLAR.xml:S1:237:8	I-AdverseReaction
[	TAFINLAR.xml:S1:246:1	O
see	TAFINLAR.xml:S1:247:3	O
Warnings	TAFINLAR.xml:S1:251:8	O
and	TAFINLAR.xml:S1:260:3	O
Precautions	TAFINLAR.xml:S1:264:11	O
(	TAFINLAR.xml:S1:276:1	O
5.2	TAFINLAR.xml:S1:277:3	O
)]	TAFINLAR.xml:S1:280:2	O

Hemorrhage	TAFINLAR.xml:S1:291:10	B-AdverseReaction
[	TAFINLAR.xml:S1:302:1	O
see	TAFINLAR.xml:S1:303:3	O
Warnings	TAFINLAR.xml:S1:307:8	O
and	TAFINLAR.xml:S1:316:3	O
Precautions	TAFINLAR.xml:S1:320:11	O
(	TAFINLAR.xml:S1:332:1	O
5.3	TAFINLAR.xml:S1:333:3	O
)]	TAFINLAR.xml:S1:336:2	O

Venous	TAFINLAR.xml:S1:347:6	B-AdverseReaction
Thromboembolism	TAFINLAR.xml:S1:354:15	I-AdverseReaction
[	TAFINLAR.xml:S1:370:1	O
see	TAFINLAR.xml:S1:371:3	O
Warnings	TAFINLAR.xml:S1:375:8	O
and	TAFINLAR.xml:S1:384:3	O
Precautions	TAFINLAR.xml:S1:388:11	O
(	TAFINLAR.xml:S1:400:1	O
5.4	TAFINLAR.xml:S1:401:3	O
)]	TAFINLAR.xml:S1:404:2	O

Cardiomyopathy	TAFINLAR.xml:S1:415:14	B-AdverseReaction
[	TAFINLAR.xml:S1:430:1	O
see	TAFINLAR.xml:S1:431:3	O
Warnings	TAFINLAR.xml:S1:435:8	O
and	TAFINLAR.xml:S1:444:3	O
Precautions	TAFINLAR.xml:S1:448:11	O
(	TAFINLAR.xml:S1:460:1	O
5.5	TAFINLAR.xml:S1:461:3	O
)]	TAFINLAR.xml:S1:464:2	O

Ocular	TAFINLAR.xml:S1:475:6	B-AdverseReaction
Toxicities	TAFINLAR.xml:S1:482:10	I-AdverseReaction
[	TAFINLAR.xml:S1:493:1	O
see	TAFINLAR.xml:S1:494:3	O
Warnings	TAFINLAR.xml:S1:498:8	O
and	TAFINLAR.xml:S1:507:3	O
Precautions	TAFINLAR.xml:S1:511:11	O
(	TAFINLAR.xml:S1:523:1	O
5.6	TAFINLAR.xml:S1:524:3	O
)]	TAFINLAR.xml:S1:527:2	O

Serious	TAFINLAR.xml:S1:538:7	B-Severity
Febrile	TAFINLAR.xml:S1:546:7	B-AdverseReaction
Reactions	TAFINLAR.xml:S1:554:9	I-AdverseReaction
[	TAFINLAR.xml:S1:564:1	O
see	TAFINLAR.xml:S1:565:3	O
Warnings	TAFINLAR.xml:S1:569:8	O
and	TAFINLAR.xml:S1:578:3	O
Precautions	TAFINLAR.xml:S1:582:11	O
(	TAFINLAR.xml:S1:594:1	O
5.7	TAFINLAR.xml:S1:595:3	O
)]	TAFINLAR.xml:S1:598:2	O

Serious	TAFINLAR.xml:S1:609:7	B-Severity
Skin	TAFINLAR.xml:S1:617:4	B-AdverseReaction
Toxicity	TAFINLAR.xml:S1:622:8	I-AdverseReaction
[	TAFINLAR.xml:S1:631:1	O
