6	TANZEUM.xml:S1:4:1	O
ADVERSE	TANZEUM.xml:S1:6:7	O
REACTIONS	TANZEUM.xml:S1:14:9	O

The	TANZEUM.xml:S1:27:3	O
following	TANZEUM.xml:S1:31:9	O
serious	TANZEUM.xml:S1:41:7	O
reactions	TANZEUM.xml:S1:49:9	O
are	TANZEUM.xml:S1:59:3	O
described	TANZEUM.xml:S1:63:9	O
below	TANZEUM.xml:S1:73:5	O
or	TANZEUM.xml:S1:79:2	O
elsewhere	TANZEUM.xml:S1:82:9	O
in	TANZEUM.xml:S1:92:2	O
the	TANZEUM.xml:S1:95:3	O
prescribing	TANZEUM.xml:S1:99:11	O
information	TANZEUM.xml:S1:111:11	O
:	TANZEUM.xml:S1:122:1	O

Risk	TANZEUM.xml:S1:133:4	B-Factor
of	TANZEUM.xml:S1:138:2	O
Thyroid	TANZEUM.xml:S1:141:7	B-AdverseReaction
C	TANZEUM.xml:S1:149:1	I-AdverseReaction
-	TANZEUM.xml:S1:150:1	I-AdverseReaction
cell	TANZEUM.xml:S1:151:4	I-AdverseReaction
Tumors	TANZEUM.xml:S1:156:6	I-AdverseReaction
[	TANZEUM.xml:S1:163:1	O
see	TANZEUM.xml:S1:164:3	O
Warnings	TANZEUM.xml:S1:168:8	O
and	TANZEUM.xml:S1:177:3	O
Precautions	TANZEUM.xml:S1:181:11	O
(	TANZEUM.xml:S1:193:1	O
5.1	TANZEUM.xml:S1:194:3	O
)]	TANZEUM.xml:S1:197:2	O

Acute	TANZEUM.xml:S1:208:5	B-AdverseReaction
Pancreatitis	TANZEUM.xml:S1:214:12	I-AdverseReaction
[	TANZEUM.xml:S1:227:1	O
see	TANZEUM.xml:S1:228:3	O
Warnings	TANZEUM.xml:S1:232:8	O
and	TANZEUM.xml:S1:241:3	O
Precautions	TANZEUM.xml:S1:245:11	O
(	TANZEUM.xml:S1:257:1	O
5.2	TANZEUM.xml:S1:258:3	O
)]	TANZEUM.xml:S1:261:2	O

Hypoglycemia	TANZEUM.xml:S1:272:12	B-AdverseReaction
with	TANZEUM.xml:S1:285:4	O
Concomitant	TANZEUM.xml:S1:290:11	O
Use	TANZEUM.xml:S1:302:3	O
of	TANZEUM.xml:S1:306:2	O
Insulin	TANZEUM.xml:S1:309:7	O
Secretagogues	TANZEUM.xml:S1:317:13	O
or	TANZEUM.xml:S1:331:2	O
Insulin	TANZEUM.xml:S1:334:7	O
[	TANZEUM.xml:S1:342:1	O
see	TANZEUM.xml:S1:343:3	O
Warnings	TANZEUM.xml:S1:347:8	O
and	TANZEUM.xml:S1:356:3	O
Precautions	TANZEUM.xml:S1:360:11	O
(	TANZEUM.xml:S1:372:1	O
5.3	TANZEUM.xml:S1:373:3	O
)]	TANZEUM.xml:S1:376:2	O

Hypersensitivity	TANZEUM.xml:S1:387:16	B-AdverseReaction
Reactions	TANZEUM.xml:S1:404:9	I-AdverseReaction
[	TANZEUM.xml:S1:414:1	O
see	TANZEUM.xml:S1:415:3	O
Warnings	TANZEUM.xml:S1:419:8	O
and	TANZEUM.xml:S1:428:3	O
Precautions	TANZEUM.xml:S1:432:11	O
(	TANZEUM.xml:S1:444:1	O
5.4	TANZEUM.xml:S1:445:3	O
)]	TANZEUM.xml:S1:448:2	O

Renal	TANZEUM.xml:S1:459:5	B-AdverseReaction
Impairment	TANZEUM.xml:S1:465:10	I-AdverseReaction
[	TANZEUM.xml:S1:476:1	O
see	TANZEUM.xml:S1:477:3	O
Warnings	TANZEUM.xml:S1:481:8	O
and	TANZEUM.xml:S1:490:3	O
Precautions	TANZEUM.xml:S1:494:11	O
(	TANZEUM.xml:S1:506:1	O
5.5	TANZEUM.xml:S1:507:3	O
)]	TANZEUM.xml:S1:510:2	O

EXCERPT	TANZEUM.xml:S1:521:7	O
:	TANZEUM.xml:S1:528:1	O
Adverse	TANZEUM.xml:S1:532:7	O
reactions	TANZEUM.xml:S1:540:9	O
,	TANZEUM.xml:S1:549:1	O
reported	TANZEUM.xml:S1:551:8	O
in	TANZEUM.xml:S1:560:2	O
5%	TANZEUM.xml:S1:565:2	O
of	TANZEUM.xml:S1:568:2	O
patients	TANZEUM.xml:S1:571:8	O
treated	TANZEUM.xml:S1:580:7	O
with	TANZEUM.xml:S1:588:4	O
TANZEUM	TANZEUM.xml:S1:593:7	O
and	TANZEUM.xml:S1:601:3	O
more	TANZEUM.xml:S1:605:4	O
frequently	TANZEUM.xml:S1:610:10	O
than	TANZEUM.xml:S1:621:4	O
in	TANZEUM.xml:S1:626:2	O
patients	TANZEUM.xml:S1:629:8	O
on	TANZEUM.xml:S1:638:2	O
placebo	TANZEUM.xml:S1:641:7	O
,	TANZEUM.xml:S1:648:1	O
were	TANZEUM.xml:S1:650:4	O
upper	TANZEUM.xml:S1:655:5	B-AdverseReaction
respiratory	TANZEUM.xml:S1:661:11	I-AdverseReaction
tract	TANZEUM.xml:S1:673:5	I-AdverseReaction
infection	TANZEUM.xml:S1:679:9	I-AdverseReaction
,	TANZEUM.xml:S1:688:1	O
diarrhea	TANZEUM.xml:S1:690:8	B-AdverseReaction
,	TANZEUM.xml:S1:698:1	O
nausea	TANZEUM.xml:S1:700:6	B-AdverseReaction
,	TANZEUM.xml:S1:706:1	O
injection	TANZEUM.xml:S1:708:9	B-AdverseReaction
site	TANZEUM.xml:S1:718:4	I-AdverseReaction
reaction	TANZEUM.xml:S1:723:8	I-AdverseReaction
,	TANZEUM.xml:S1:731:1	O
cough	TANZEUM.xml:S1:733:5	B-AdverseReaction
,	TANZEUM.xml:S1:738:1	O
back	TANZEUM.xml:S1:740:4	B-AdverseReaction
pain	TANZEUM.xml:S1:745:4	I-AdverseReaction
,	TANZEUM.xml:S1:749:1	O
arthralgia	TANZEUM.xml:S1:751:10	B-AdverseReaction
,	TANZEUM.xml:S1:761:1	O
sinusitis	TANZEUM.xml:S1:763:9	B-AdverseReaction
,	TANZEUM.xml:S1:772:1	O
and	TANZEUM.xml:S1:774:3	O
influenza	TANZEUM.xml:S1:778:9	B-AdverseReaction
.	TANZEUM.xml:S1:787:1	O

(	TANZEUM.xml:S1:789:1	O
6.1	TANZEUM.xml:S1:790:3	O
)	TANZEUM.xml:S1:793:1	O

To	TANZEUM.xml:S1:801:2	O

report	TANZEUM.xml:S1:804:6	O
SUSPECTED	TANZEUM.xml:S1:811:9	O
ADVERSE	TANZEUM.xml:S1:821:7	O
REACTIONS	TANZEUM.xml:S1:829:9	O
,	TANZEUM.xml:S1:838:1	O
contact	TANZEUM.xml:S1:840:7	O
GlaxoSmithKline	TANZEUM.xml:S1:848:15	O
at	TANZEUM.xml:S1:864:2	O
1	TANZEUM.xml:S1:867:1	O
-	TANZEUM.xml:S1:868:1	O
888	TANZEUM.xml:S1:869:3	O
-	TANZEUM.xml:S1:872:1	O
825	TANZEUM.xml:S1:873:3	O
-	TANZEUM.xml:S1:876:1	O
5249	TANZEUM.xml:S1:877:4	O
or	TANZEUM.xml:S1:882:2	O
FDA	TANZEUM.xml:S1:885:3	O
at	TANZEUM.xml:S1:889:2	O
1	TANZEUM.xml:S1:892:1	O
-	TANZEUM.xml:S1:893:1	O
800	TANZEUM.xml:S1:894:3	O
-	TANZEUM.xml:S1:897:1	O
FDA	TANZEUM.xml:S1:898:3	O
-	TANZEUM.xml:S1:901:1	O
1088	TANZEUM.xml:S1:902:4	O
or	TANZEUM.xml:S1:907:2	O
www	TANZEUM.xml:S1:911:3	O
.	TANZEUM.xml:S1:914:1	O
fda	TANZEUM.xml:S1:915:3	O
.	TANZEUM.xml:S1:918:1	O
gov	TANZEUM.xml:S1:919:3	O
medwatch	TANZEUM.xml:S1:923:8	O

6.1	TANZEUM.xml:S1:940:3	O

Clinical	TANZEUM.xml:S1:944:8	O
Trials	TANZEUM.xml:S1:953:6	O
Experience	TANZEUM.xml:S1:960:10	O

Because	TANZEUM.xml:S1:974:7	O
clinical	TANZEUM.xml:S1:982:8	O
trials	TANZEUM.xml:S1:991:6	O
are	TANZEUM.xml:S1:998:3	O
conducted	TANZEUM.xml:S1:1002:9	O
under	TANZEUM.xml:S1:1012:5	O
widely	TANZEUM.xml:S1:1018:6	O
varying	TANZEUM.xml:S1:1025:7	O
conditions	TANZEUM.xml:S1:1033:10	O
,	TANZEUM.xml:S1:1043:1	O
adverse	TANZEUM.xml:S1:1045:7	O
reaction	TANZEUM.xml:S1:1053:8	O
rates	TANZEUM.xml:S1:1062:5	O
observed	TANZEUM.xml:S1:1068:8	O
in	TANZEUM.xml:S1:1077:2	O
the	TANZEUM.xml:S1:1080:3	O
clinical	TANZEUM.xml:S1:1084:8	O
trials	TANZEUM.xml:S1:1093:6	O
of	TANZEUM.xml:S1:1100:2	O
a	TANZEUM.xml:S1:1103:1	O
drug	TANZEUM.xml:S1:1105:4	O
cannot	TANZEUM.xml:S1:1110:6	O
be	TANZEUM.xml:S1:1117:2	O
directly	TANZEUM.xml:S1:1120:8	O
compared	TANZEUM.xml:S1:1129:8	O
with	TANZEUM.xml:S1:1138:4	O
rates	TANZEUM.xml:S1:1143:5	O
in	TANZEUM.xml:S1:1149:2	O
