6	TECFIDERA.xml:S1:4:1	O
ADVERSE	TECFIDERA.xml:S1:6:7	O
REACTIONS	TECFIDERA.xml:S1:14:9	O

The	TECFIDERA.xml:S1:27:3	O
following	TECFIDERA.xml:S1:31:9	O
important	TECFIDERA.xml:S1:41:9	O
adverse	TECFIDERA.xml:S1:51:7	O
reactions	TECFIDERA.xml:S1:59:9	O
are	TECFIDERA.xml:S1:69:3	O
described	TECFIDERA.xml:S1:73:9	O
elsewhere	TECFIDERA.xml:S1:83:9	O
in	TECFIDERA.xml:S1:93:2	O
labeling	TECFIDERA.xml:S1:96:8	O
:	TECFIDERA.xml:S1:104:1	O

Anaphylaxis	TECFIDERA.xml:S1:113:11	B-AdverseReaction
and	TECFIDERA.xml:S1:125:3	O
Angioedema	TECFIDERA.xml:S1:129:10	B-AdverseReaction
[	TECFIDERA.xml:S1:140:1	O
see	TECFIDERA.xml:S1:141:3	O
Warnings	TECFIDERA.xml:S1:145:8	O
and	TECFIDERA.xml:S1:154:3	O
Precautions	TECFIDERA.xml:S1:158:11	O
(	TECFIDERA.xml:S1:170:1	O
5.1	TECFIDERA.xml:S1:173:3	O
)]	TECFIDERA.xml:S1:178:2	O
.	TECFIDERA.xml:S1:180:1	O

Progressive	TECFIDERA.xml:S1:188:11	B-AdverseReaction
multifocal	TECFIDERA.xml:S1:200:10	I-AdverseReaction
leukoencephalopathy	TECFIDERA.xml:S1:211:19	I-AdverseReaction
[	TECFIDERA.xml:S1:231:1	O
see	TECFIDERA.xml:S1:232:3	O
Warnings	TECFIDERA.xml:S1:236:8	O
and	TECFIDERA.xml:S1:245:3	O
Precautions	TECFIDERA.xml:S1:249:11	O
(	TECFIDERA.xml:S1:261:1	O
5.2	TECFIDERA.xml:S1:264:3	O
)]	TECFIDERA.xml:S1:269:2	O
.	TECFIDERA.xml:S1:271:1	O

Lymphopenia	TECFIDERA.xml:S1:279:11	B-AdverseReaction
[	TECFIDERA.xml:S1:291:1	O
see	TECFIDERA.xml:S1:292:3	O
Warnings	TECFIDERA.xml:S1:296:8	O
and	TECFIDERA.xml:S1:305:3	O
Precautions	TECFIDERA.xml:S1:309:11	O
(	TECFIDERA.xml:S1:321:1	O
5.3	TECFIDERA.xml:S1:324:3	O
)]	TECFIDERA.xml:S1:329:2	O
.	TECFIDERA.xml:S1:331:1	O

Flushing	TECFIDERA.xml:S1:339:8	B-AdverseReaction
[	TECFIDERA.xml:S1:348:1	O
see	TECFIDERA.xml:S1:349:3	O
Warnings	TECFIDERA.xml:S1:353:8	O
and	TECFIDERA.xml:S1:362:3	O
Precautions	TECFIDERA.xml:S1:366:11	O
(	TECFIDERA.xml:S1:378:1	O
5.4	TECFIDERA.xml:S1:381:3	O
)]	TECFIDERA.xml:S1:386:2	O
.	TECFIDERA.xml:S1:388:1	O

EXCERPT	TECFIDERA.xml:S1:398:7	O
:	TECFIDERA.xml:S1:405:1	O
Most	TECFIDERA.xml:S1:409:4	O
common	TECFIDERA.xml:S1:414:6	O
adverse	TECFIDERA.xml:S1:421:7	O
reactions	TECFIDERA.xml:S1:429:9	O
(	TECFIDERA.xml:S1:439:1	O
incidence	TECFIDERA.xml:S1:440:9	O
10%	TECFIDERA.xml:S1:452:3	O
and	TECFIDERA.xml:S1:456:3	O
2%	TECFIDERA.xml:S1:462:2	O
placebo	TECFIDERA.xml:S1:465:7	O
)	TECFIDERA.xml:S1:472:1	O
were	TECFIDERA.xml:S1:474:4	O
flushing	TECFIDERA.xml:S1:479:8	B-AdverseReaction
,	TECFIDERA.xml:S1:487:1	O
abdominal	TECFIDERA.xml:S1:489:9	B-AdverseReaction
pain	TECFIDERA.xml:S1:499:4	I-AdverseReaction
,	TECFIDERA.xml:S1:503:1	O
diarrhea	TECFIDERA.xml:S1:505:8	B-AdverseReaction
,	TECFIDERA.xml:S1:513:1	O
and	TECFIDERA.xml:S1:515:3	O
nausea	TECFIDERA.xml:S1:519:6	B-AdverseReaction
.	TECFIDERA.xml:S1:525:1	O

(	TECFIDERA.xml:S1:527:1	O
6.1	TECFIDERA.xml:S1:530:3	O
)	TECFIDERA.xml:S1:535:1	O

To	TECFIDERA.xml:S1:543:2	O

report	TECFIDERA.xml:S1:546:6	O
SUSPECTED	TECFIDERA.xml:S1:553:9	O
ADVERSE	TECFIDERA.xml:S1:563:7	O
REACTIONS	TECFIDERA.xml:S1:571:9	O
,	TECFIDERA.xml:S1:580:1	O
contact	TECFIDERA.xml:S1:582:7	O
Biogen	TECFIDERA.xml:S1:590:6	O
at	TECFIDERA.xml:S1:597:2	O
1	TECFIDERA.xml:S1:600:1	O
-	TECFIDERA.xml:S1:601:1	O
800	TECFIDERA.xml:S1:602:3	O
-	TECFIDERA.xml:S1:605:1	O
456	TECFIDERA.xml:S1:606:3	O
-	TECFIDERA.xml:S1:609:1	O
2255	TECFIDERA.xml:S1:610:4	O
or	TECFIDERA.xml:S1:615:2	O
FDA	TECFIDERA.xml:S1:618:3	O
at	TECFIDERA.xml:S1:622:2	O
1	TECFIDERA.xml:S1:625:1	O
-	TECFIDERA.xml:S1:626:1	O
800	TECFIDERA.xml:S1:627:3	O
-	TECFIDERA.xml:S1:630:1	O
FDA	TECFIDERA.xml:S1:631:3	O
-	TECFIDERA.xml:S1:634:1	O
1088	TECFIDERA.xml:S1:635:4	O
or	TECFIDERA.xml:S1:640:2	O
www	TECFIDERA.xml:S1:643:3	O
.	TECFIDERA.xml:S1:646:1	O
fda	TECFIDERA.xml:S1:647:3	O
.	TECFIDERA.xml:S1:650:1	O
gov	TECFIDERA.xml:S1:651:3	O
medwatch	TECFIDERA.xml:S1:655:8	O
.	TECFIDERA.xml:S1:663:1	O

6.1	TECFIDERA.xml:S1:675:3	O

Clinical	TECFIDERA.xml:S1:679:8	O
Trials	TECFIDERA.xml:S1:688:6	O
Experience	TECFIDERA.xml:S1:695:10	O

Because	TECFIDERA.xml:S1:709:7	O
clinical	TECFIDERA.xml:S1:717:8	O
trials	TECFIDERA.xml:S1:726:6	O
are	TECFIDERA.xml:S1:733:3	O
conducted	TECFIDERA.xml:S1:737:9	O
under	TECFIDERA.xml:S1:747:5	O
widely	TECFIDERA.xml:S1:753:6	O
varying	TECFIDERA.xml:S1:760:7	O
conditions	TECFIDERA.xml:S1:768:10	O
,	TECFIDERA.xml:S1:778:1	O
adverse	TECFIDERA.xml:S1:780:7	O
reaction	TECFIDERA.xml:S1:788:8	O
rates	TECFIDERA.xml:S1:797:5	O
observed	TECFIDERA.xml:S1:803:8	O
in	TECFIDERA.xml:S1:812:2	O
clinical	TECFIDERA.xml:S1:815:8	O
trials	TECFIDERA.xml:S1:824:6	O
of	TECFIDERA.xml:S1:831:2	O
a	TECFIDERA.xml:S1:834:1	O
drug	TECFIDERA.xml:S1:836:4	O
cannot	TECFIDERA.xml:S1:841:6	O
be	TECFIDERA.xml:S1:848:2	O
directly	TECFIDERA.xml:S1:851:8	O
compared	TECFIDERA.xml:S1:860:8	O
to	TECFIDERA.xml:S1:869:2	O
rates	TECFIDERA.xml:S1:872:5	O
in	TECFIDERA.xml:S1:878:2	O
the	TECFIDERA.xml:S1:881:3	O
clinical	TECFIDERA.xml:S1:885:8	O
trials	TECFIDERA.xml:S1:894:6	O
of	TECFIDERA.xml:S1:901:2	O
another	TECFIDERA.xml:S1:904:7	O
drug	TECFIDERA.xml:S1:912:4	O
and	TECFIDERA.xml:S1:917:3	O
may	TECFIDERA.xml:S1:921:3	O
not	TECFIDERA.xml:S1:925:3	O
reflect	TECFIDERA.xml:S1:929:7	O
the	TECFIDERA.xml:S1:937:3	O
rates	TECFIDERA.xml:S1:941:5	O
observed	TECFIDERA.xml:S1:947:8	O
in	TECFIDERA.xml:S1:956:2	O
clinical	TECFIDERA.xml:S1:959:8	O
practice	TECFIDERA.xml:S1:968:8	O
.	TECFIDERA.xml:S1:976:1	O

The	TECFIDERA.xml:S1:982:3	O
most	TECFIDERA.xml:S1:986:4	O
common	TECFIDERA.xml:S1:991:6	O
adverse	TECFIDERA.xml:S1:998:7	O
reactions	TECFIDERA.xml:S1:1006:9	O
(	TECFIDERA.xml:S1:1016:1	O
incidence	TECFIDERA.xml:S1:1017:9	O
10%	TECFIDERA.xml:S1:1029:3	O
and	TECFIDERA.xml:S1:1033:3	O
2%	TECFIDERA.xml:S1:1039:2	O
more	TECFIDERA.xml:S1:1042:4	O
than	TECFIDERA.xml:S1:1047:4	O
placebo	TECFIDERA.xml:S1:1052:7	O
)	TECFIDERA.xml:S1:1059:1	O
for	TECFIDERA.xml:S1:1061:3	O
TECFIDERA	TECFIDERA.xml:S1:1065:9	O
were	TECFIDERA.xml:S1:1075:4	O
flushing	TECFIDERA.xml:S1:1080:8	B-AdverseReaction
,	TECFIDERA.xml:S1:1088:1	O
abdominal	TECFIDERA.xml:S1:1090:9	B-AdverseReaction
pain	TECFIDERA.xml:S1:1100:4	I-AdverseReaction
,	TECFIDERA.xml:S1:1104:1	O
diarrhea	TECFIDERA.xml:S1:1106:8	B-AdverseReaction
,	TECFIDERA.xml:S1:1114:1	O
and	TECFIDERA.xml:S1:1116:3	O
nausea	TECFIDERA.xml:S1:1120:6	B-AdverseReaction
.	TECFIDERA.xml:S1:1126:1	O

Adverse	TECFIDERA.xml:S1:1136:7	O
Reactions	TECFIDERA.xml:S1:1144:9	O
in	TECFIDERA.xml:S1:1154:2	O
Placebo	TECFIDERA.xml:S1:1157:7	O
-	TECFIDERA.xml:S1:1164:1	O
Controlled	TECFIDERA.xml:S1:1165:10	O
Trials	TECFIDERA.xml:S1:1176:6	O

In	TECFIDERA.xml:S1:1189:2	O
the	TECFIDERA.xml:S1:1192:3	O
two	TECFIDERA.xml:S1:1196:3	O
well	TECFIDERA.xml:S1:1200:4	O
-	TECFIDERA.xml:S1:1204:1	O
controlled	TECFIDERA.xml:S1:1205:10	O
studies	TECFIDERA.xml:S1:1216:7	O
demonstrating	TECFIDERA.xml:S1:1224:13	O
effectiveness	TECFIDERA.xml:S1:1238:13	O
,	TECFIDERA.xml:S1:1251:1	O
1529	TECFIDERA.xml:S1:1253:4	O
patients	TECFIDERA.xml:S1:1258:8	O
received	TECFIDERA.xml:S1:1267:8	O
TECFIDERA	TECFIDERA.xml:S1:1276:9	O
with	TECFIDERA.xml:S1:1286:4	O
an	TECFIDERA.xml:S1:1291:2	O
overall	TECFIDERA.xml:S1:1294:7	O
exposure	TECFIDERA.xml:S1:1302:8	O
of	TECFIDERA.xml:S1:1311:2	O
2244	TECFIDERA.xml:S1:1314:4	O
person	TECFIDERA.xml:S1:1319:6	O
-	TECFIDERA.xml:S1:1325:1	O
years	TECFIDERA.xml:S1:1326:5	O
[	TECFIDERA.xml:S1:1333:1	O
see	TECFIDERA.xml:S1:1334:3	O
Clinical	TECFIDERA.xml:S1:1338:8	O
Studies	TECFIDERA.xml:S1:1347:7	O
(	TECFIDERA.xml:S1:1355:1	O
14	TECFIDERA.xml:S1:1358:2	O
)]	TECFIDERA.xml:S1:1362:2	O
.	TECFIDERA.xml:S1:1364:1	O

The	TECFIDERA.xml:S1:1372:3	O
adverse	TECFIDERA.xml:S1:1376:7	O
reactions	TECFIDERA.xml:S1:1384:9	O
presented	TECFIDERA.xml:S1:1394:9	O
in	TECFIDERA.xml:S1:1404:2	O
the	TECFIDERA.xml:S1:1407:3	O
table	TECFIDERA.xml:S1:1411:5	O
below	TECFIDERA.xml:S1:1417:5	O
are	TECFIDERA.xml:S1:1423:3	O
based	TECFIDERA.xml:S1:1427:5	O
on	TECFIDERA.xml:S1:1433:2	O
safety	TECFIDERA.xml:S1:1436:6	O
information	TECFIDERA.xml:S1:1443:11	O
from	TECFIDERA.xml:S1:1455:4	O
769	TECFIDERA.xml:S1:1460:3	O
patients	TECFIDERA.xml:S1:1464:8	O
treated	TECFIDERA.xml:S1:1473:7	O
with	TECFIDERA.xml:S1:1481:4	O
TECFIDERA	TECFIDERA.xml:S1:1486:9	O
240	TECFIDERA.xml:S1:1496:3	O
mg	TECFIDERA.xml:S1:1500:2	O
twice	TECFIDERA.xml:S1:1503:5	O
a	TECFIDERA.xml:S1:1509:1	O
day	TECFIDERA.xml:S1:1511:3	O
and	TECFIDERA.xml:S1:1515:3	O
771	TECFIDERA.xml:S1:1519:3	O
placebo	TECFIDERA.xml:S1:1523:7	O
-	TECFIDERA.xml:S1:1530:1	O
treated	TECFIDERA.xml:S1:1531:7	O
patients	TECFIDERA.xml:S1:1539:8	O
.	TECFIDERA.xml:S1:1547:1	O

Table	TECFIDERA.xml:S1:1553:5	O
1	TECFIDERA.xml:S1:1559:1	O
:	TECFIDERA.xml:S1:1560:1	O
Adverse	TECFIDERA.xml:S1:1562:7	O
Reactions	TECFIDERA.xml:S1:1570:9	O
in	TECFIDERA.xml:S1:1580:2	O
Study	TECFIDERA.xml:S1:1583:5	O
1	TECFIDERA.xml:S1:1589:1	O
and	TECFIDERA.xml:S1:1591:3	O
2	TECFIDERA.xml:S1:1595:1	O
reported	TECFIDERA.xml:S1:1597:8	O
for	TECFIDERA.xml:S1:1606:3	O
TECFIDERA	TECFIDERA.xml:S1:1610:9	O
240	TECFIDERA.xml:S1:1620:3	O
mg	TECFIDERA.xml:S1:1624:2	O
BID	TECFIDERA.xml:S1:1627:3	O
at	TECFIDERA.xml:S1:1631:2	O
2%	TECFIDERA.xml:S1:1637:2	O
higher	TECFIDERA.xml:S1:1640:6	O
incidence	TECFIDERA.xml:S1:1647:9	O
than	TECFIDERA.xml:S1:1657:4	O
placebo	TECFIDERA.xml:S1:1662:7	O

TECFIDERA	TECFIDERA.xml:S1:1723:9	O
N	TECFIDERA.xml:S1:1736:1	O
769	TECFIDERA.xml:S1:1738:3	O
Placebo	TECFIDERA.xml:S1:1752:7	O
