6	TEFLARO.xml:S1:4:1	O
.	TEFLARO.xml:S1:5:1	O

ADVERSE	TEFLARO.xml:S1:7:7	O
REACTIONS	TEFLARO.xml:S1:15:9	O

The	TEFLARO.xml:S1:28:3	O
following	TEFLARO.xml:S1:32:9	O
serious	TEFLARO.xml:S1:42:7	O
adverse	TEFLARO.xml:S1:50:7	O
reactions	TEFLARO.xml:S1:58:9	O
are	TEFLARO.xml:S1:68:3	O
described	TEFLARO.xml:S1:72:9	O
in	TEFLARO.xml:S1:82:2	O
greater	TEFLARO.xml:S1:85:7	O
detail	TEFLARO.xml:S1:93:6	O
in	TEFLARO.xml:S1:100:2	O
the	TEFLARO.xml:S1:103:3	O
Warnings	TEFLARO.xml:S1:107:8	O
and	TEFLARO.xml:S1:116:3	O
Precautions	TEFLARO.xml:S1:120:11	O
section	TEFLARO.xml:S1:132:7	O

Hypersensitivity	TEFLARO.xml:S1:147:16	B-AdverseReaction
Reactions	TEFLARO.xml:S1:164:9	I-AdverseReaction
[	TEFLARO.xml:S1:174:1	O
see	TEFLARO.xml:S1:175:3	O
Warnings	TEFLARO.xml:S1:179:8	O
and	TEFLARO.xml:S1:188:3	O
Precautions	TEFLARO.xml:S1:192:11	O
(	TEFLARO.xml:S1:204:1	O
5.1	TEFLARO.xml:S1:207:3	O
)]	TEFLARO.xml:S1:212:2	O

Clostridium	TEFLARO.xml:S1:222:11	B-AdverseReaction
difficile	TEFLARO.xml:S1:234:9	I-AdverseReaction
-	TEFLARO.xml:S1:244:1	I-AdverseReaction
Associated	TEFLARO.xml:S1:245:10	I-AdverseReaction
diarrhea	TEFLARO.xml:S1:256:8	I-AdverseReaction
[	TEFLARO.xml:S1:265:1	O
see	TEFLARO.xml:S1:266:3	O
Warnings	TEFLARO.xml:S1:270:8	O
and	TEFLARO.xml:S1:279:3	O
Precautions	TEFLARO.xml:S1:283:11	O
(	TEFLARO.xml:S1:295:1	O
5.2	TEFLARO.xml:S1:298:3	O
)]	TEFLARO.xml:S1:303:2	O

Direct	TEFLARO.xml:S1:312:6	B-AdverseReaction
Coombs	TEFLARO.xml:S1:319:6	I-AdverseReaction
Test	TEFLARO.xml:S1:327:4	I-AdverseReaction
Seroconversion	TEFLARO.xml:S1:332:14	I-AdverseReaction
[	TEFLARO.xml:S1:347:1	O
see	TEFLARO.xml:S1:348:3	O
Warnings	TEFLARO.xml:S1:352:8	O
and	TEFLARO.xml:S1:361:3	O
Precautions	TEFLARO.xml:S1:365:11	O
(	TEFLARO.xml:S1:377:1	O
5.3	TEFLARO.xml:S1:380:3	O
)]	TEFLARO.xml:S1:385:2	O

EXCERPT	TEFLARO.xml:S1:396:7	O
:	TEFLARO.xml:S1:403:1	O
The	TEFLARO.xml:S1:407:3	O
most	TEFLARO.xml:S1:411:4	O
common	TEFLARO.xml:S1:416:6	O
adverse	TEFLARO.xml:S1:423:7	O
reactions	TEFLARO.xml:S1:431:9	O
occurring	TEFLARO.xml:S1:441:9	O
in	TEFLARO.xml:S1:451:2	O
2	TEFLARO.xml:S1:455:1	O
of	TEFLARO.xml:S1:459:2	O
patients	TEFLARO.xml:S1:462:8	O
are	TEFLARO.xml:S1:471:3	O
diarrhea	TEFLARO.xml:S1:475:8	B-AdverseReaction
,	TEFLARO.xml:S1:483:1	O
nausea	TEFLARO.xml:S1:485:6	B-AdverseReaction
,	TEFLARO.xml:S1:491:1	O
and	TEFLARO.xml:S1:493:3	O
rash	TEFLARO.xml:S1:497:4	B-AdverseReaction
.	TEFLARO.xml:S1:501:1	O

(	TEFLARO.xml:S1:503:1	O
6.1	TEFLARO.xml:S1:506:3	O
)	TEFLARO.xml:S1:511:1	O

To	TEFLARO.xml:S1:519:2	O

report	TEFLARO.xml:S1:522:6	O
SUSPECTED	TEFLARO.xml:S1:529:9	O
ADVERSE	TEFLARO.xml:S1:539:7	O
REACTIONS	TEFLARO.xml:S1:547:9	O
,	TEFLARO.xml:S1:556:1	O
contact	TEFLARO.xml:S1:558:7	O
Forest	TEFLARO.xml:S1:566:6	O
Laboratories	TEFLARO.xml:S1:573:12	O
,	TEFLARO.xml:S1:585:1	O
LLC	TEFLARO.xml:S1:587:3	O
,	TEFLARO.xml:S1:590:1	O
at	TEFLARO.xml:S1:592:2	O
1	TEFLARO.xml:S1:595:1	O
-	TEFLARO.xml:S1:596:1	O
800	TEFLARO.xml:S1:597:3	O
-	TEFLARO.xml:S1:600:1	O
678	TEFLARO.xml:S1:601:3	O
-	TEFLARO.xml:S1:604:1	O
1605	TEFLARO.xml:S1:605:4	O
or	TEFLARO.xml:S1:610:2	O
FDA	TEFLARO.xml:S1:613:3	O
at	TEFLARO.xml:S1:617:2	O
1	TEFLARO.xml:S1:620:1	O
-	TEFLARO.xml:S1:621:1	O
800	TEFLARO.xml:S1:622:3	O
-	TEFLARO.xml:S1:625:1	O
FDA	TEFLARO.xml:S1:626:3	O
-	TEFLARO.xml:S1:629:1	O
1088	TEFLARO.xml:S1:630:4	O
or	TEFLARO.xml:S1:635:2	O
www	TEFLARO.xml:S1:641:3	O
.	TEFLARO.xml:S1:644:1	O
fda	TEFLARO.xml:S1:645:3	O
.	TEFLARO.xml:S1:648:1	O
gov	TEFLARO.xml:S1:649:3	O
medwatch	TEFLARO.xml:S1:653:8	O
.	TEFLARO.xml:S1:665:1	O

6.1	TEFLARO.xml:S1:677:3	O

Clinical	TEFLARO.xml:S1:681:8	O
Trials	TEFLARO.xml:S1:690:6	O
Experience	TEFLARO.xml:S1:697:10	O

Because	TEFLARO.xml:S1:711:7	O
clinical	TEFLARO.xml:S1:719:8	O
trials	TEFLARO.xml:S1:728:6	O
are	TEFLARO.xml:S1:735:3	O
conducted	TEFLARO.xml:S1:739:9	O
under	TEFLARO.xml:S1:749:5	O
widely	TEFLARO.xml:S1:755:6	O
varying	TEFLARO.xml:S1:762:7	O
conditions	TEFLARO.xml:S1:770:10	O
,	TEFLARO.xml:S1:780:1	O
adverse	TEFLARO.xml:S1:782:7	O
reaction	TEFLARO.xml:S1:790:8	O
rates	TEFLARO.xml:S1:799:5	O
observed	TEFLARO.xml:S1:805:8	O
in	TEFLARO.xml:S1:814:2	O
clinical	TEFLARO.xml:S1:817:8	O
trials	TEFLARO.xml:S1:826:6	O
of	TEFLARO.xml:S1:833:2	O
a	TEFLARO.xml:S1:836:1	O
drug	TEFLARO.xml:S1:838:4	O
cannot	TEFLARO.xml:S1:843:6	O
be	TEFLARO.xml:S1:850:2	O
compared	TEFLARO.xml:S1:853:8	O
directly	TEFLARO.xml:S1:862:8	O
to	TEFLARO.xml:S1:871:2	O
rates	TEFLARO.xml:S1:874:5	O
from	TEFLARO.xml:S1:880:4	O
clinical	TEFLARO.xml:S1:885:8	O
trials	TEFLARO.xml:S1:894:6	O
of	TEFLARO.xml:S1:901:2	O
another	TEFLARO.xml:S1:904:7	O
drug	TEFLARO.xml:S1:912:4	O
and	TEFLARO.xml:S1:917:3	O
may	TEFLARO.xml:S1:921:3	O
not	TEFLARO.xml:S1:925:3	O
reflect	TEFLARO.xml:S1:929:7	O
rates	TEFLARO.xml:S1:937:5	O
observed	TEFLARO.xml:S1:943:8	O
