6	TIVICAY.xml:S1:4:1	O
ADVERSE	TIVICAY.xml:S1:6:7	O
REACTIONS	TIVICAY.xml:S1:14:9	O

The	TIVICAY.xml:S1:27:3	O
following	TIVICAY.xml:S1:31:9	O
adverse	TIVICAY.xml:S1:41:7	O
drug	TIVICAY.xml:S1:49:4	O
reactions	TIVICAY.xml:S1:54:9	O
(	TIVICAY.xml:S1:64:1	O
adverse	TIVICAY.xml:S1:65:7	O
events	TIVICAY.xml:S1:73:6	O
assessed	TIVICAY.xml:S1:80:8	O
as	TIVICAY.xml:S1:89:2	O
causally	TIVICAY.xml:S1:92:8	O
related	TIVICAY.xml:S1:101:7	O
by	TIVICAY.xml:S1:109:2	O
the	TIVICAY.xml:S1:112:3	O
investigator	TIVICAY.xml:S1:116:12	O
or	TIVICAY.xml:S1:129:2	O
ADRs	TIVICAY.xml:S1:132:4	O
)	TIVICAY.xml:S1:136:1	O
are	TIVICAY.xml:S1:138:3	O
discussed	TIVICAY.xml:S1:142:9	O
in	TIVICAY.xml:S1:152:2	O
other	TIVICAY.xml:S1:155:5	O
sections	TIVICAY.xml:S1:161:8	O
of	TIVICAY.xml:S1:170:2	O
the	TIVICAY.xml:S1:173:3	O
labeling	TIVICAY.xml:S1:177:8	O
:	TIVICAY.xml:S1:185:1	O

Hypersensitivity	TIVICAY.xml:S1:196:16	B-AdverseReaction
reactions	TIVICAY.xml:S1:213:9	O
[	TIVICAY.xml:S1:223:1	O
see	TIVICAY.xml:S1:224:3	O
Warnings	TIVICAY.xml:S1:228:8	O
and	TIVICAY.xml:S1:237:3	O
Precautions	TIVICAY.xml:S1:241:11	O
(	TIVICAY.xml:S1:253:1	O
5.1	TIVICAY.xml:S1:254:3	O
)]	TIVICAY.xml:S1:257:2	O
.	TIVICAY.xml:S1:260:1	O

Effects	TIVICAY.xml:S1:269:7	O
on	TIVICAY.xml:S1:277:2	O
serum	TIVICAY.xml:S1:280:5	O
liver	TIVICAY.xml:S1:286:5	O
biochemistries	TIVICAY.xml:S1:292:14	O
in	TIVICAY.xml:S1:307:2	O
patients	TIVICAY.xml:S1:310:8	O
with	TIVICAY.xml:S1:319:4	O
hepatitis	TIVICAY.xml:S1:324:9	O
B	TIVICAY.xml:S1:334:1	O
or	TIVICAY.xml:S1:336:2	O
C	TIVICAY.xml:S1:339:1	O
co	TIVICAY.xml:S1:341:2	O
-	TIVICAY.xml:S1:343:1	O
infection	TIVICAY.xml:S1:344:9	O
[	TIVICAY.xml:S1:354:1	O
see	TIVICAY.xml:S1:355:3	O
Warnings	TIVICAY.xml:S1:359:8	O
and	TIVICAY.xml:S1:368:3	O
Precautions	TIVICAY.xml:S1:372:11	O
(	TIVICAY.xml:S1:384:1	O
