6	TOVIAZ.xml:S1:4:1	O
ADVERSE	TOVIAZ.xml:S1:6:7	O
REACTIONS	TOVIAZ.xml:S1:14:9	O

EXCERPT	TOVIAZ.xml:S1:27:7	O
:	TOVIAZ.xml:S1:34:1	O
The	TOVIAZ.xml:S1:38:3	O
most	TOVIAZ.xml:S1:42:4	O
frequently	TOVIAZ.xml:S1:47:10	O
reported	TOVIAZ.xml:S1:58:8	O
adverse	TOVIAZ.xml:S1:67:7	O
events	TOVIAZ.xml:S1:75:6	O
(	TOVIAZ.xml:S1:82:1	O
4%	TOVIAZ.xml:S1:85:2	O
)	TOVIAZ.xml:S1:87:1	O
for	TOVIAZ.xml:S1:89:3	O
Toviaz	TOVIAZ.xml:S1:93:6	O
were	TOVIAZ.xml:S1:100:4	O
:	TOVIAZ.xml:S1:104:1	O
dry	TOVIAZ.xml:S1:106:3	B-AdverseReaction
mouth	TOVIAZ.xml:S1:110:5	I-AdverseReaction
(	TOVIAZ.xml:S1:116:1	O
placebo	TOVIAZ.xml:S1:117:7	O
,	TOVIAZ.xml:S1:124:1	O
7%	TOVIAZ.xml:S1:126:2	O
;	TOVIAZ.xml:S1:128:1	O
Toviaz	TOVIAZ.xml:S1:130:6	O
4	TOVIAZ.xml:S1:137:1	O
mg	TOVIAZ.xml:S1:139:2	O
,	TOVIAZ.xml:S1:141:1	O
19%	TOVIAZ.xml:S1:143:3	O
;	TOVIAZ.xml:S1:146:1	O
Toviaz	TOVIAZ.xml:S1:148:6	O
8	TOVIAZ.xml:S1:155:1	O
mg	TOVIAZ.xml:S1:157:2	O
,	TOVIAZ.xml:S1:159:1	O
35%	TOVIAZ.xml:S1:161:3	O
)	TOVIAZ.xml:S1:164:1	O
and	TOVIAZ.xml:S1:166:3	O
constipation	TOVIAZ.xml:S1:170:12	B-AdverseReaction
(	TOVIAZ.xml:S1:183:1	O
placebo	TOVIAZ.xml:S1:184:7	O
,	TOVIAZ.xml:S1:191:1	O
2%	TOVIAZ.xml:S1:193:2	O
;	TOVIAZ.xml:S1:195:1	O
Toviaz	TOVIAZ.xml:S1:197:6	O
4	TOVIAZ.xml:S1:204:1	O
mg	TOVIAZ.xml:S1:206:2	O
,	TOVIAZ.xml:S1:208:1	O
4%	TOVIAZ.xml:S1:210:2	O
;	TOVIAZ.xml:S1:212:1	O
Toviaz	TOVIAZ.xml:S1:214:6	O
8	TOVIAZ.xml:S1:221:1	O
mg	TOVIAZ.xml:S1:223:2	O
,	TOVIAZ.xml:S1:225:1	O
6%	TOVIAZ.xml:S1:227:2	O
)	TOVIAZ.xml:S1:229:1	O
.	TOVIAZ.xml:S1:230:1	O

(	TOVIAZ.xml:S1:232:1	O
6	TOVIAZ.xml:S1:235:1	O
)	TOVIAZ.xml:S1:238:1	O

To	TOVIAZ.xml:S1:246:2	O
report	TOVIAZ.xml:S1:249:6	O
SUSPECTED	TOVIAZ.xml:S1:256:9	O
ADVERSE	TOVIAZ.xml:S1:266:7	O
REACTIONS	TOVIAZ.xml:S1:274:9	O
,	TOVIAZ.xml:S1:283:1	O
contact	TOVIAZ.xml:S1:285:7	O
Pfizer	TOVIAZ.xml:S1:293:6	O
Inc	TOVIAZ.xml:S1:300:3	O
at	TOVIAZ.xml:S1:304:2	O
1	TOVIAZ.xml:S1:307:1	O
-	TOVIAZ.xml:S1:308:1	O
800	TOVIAZ.xml:S1:309:3	O
-	TOVIAZ.xml:S1:312:1	O
438	TOVIAZ.xml:S1:313:3	O
-	TOVIAZ.xml:S1:316:1	O
1985	TOVIAZ.xml:S1:317:4	O
or	TOVIAZ.xml:S1:322:2	O
FDA	TOVIAZ.xml:S1:325:3	O
at	TOVIAZ.xml:S1:329:2	O
1	TOVIAZ.xml:S1:332:1	O
-	TOVIAZ.xml:S1:333:1	O
800	TOVIAZ.xml:S1:334:3	O
-	TOVIAZ.xml:S1:337:1	O
FDA	TOVIAZ.xml:S1:338:3	O
-	TOVIAZ.xml:S1:341:1	O
1088	TOVIAZ.xml:S1:342:4	O
or	TOVIAZ.xml:S1:347:2	O
www	TOVIAZ.xml:S1:350:3	O
.	TOVIAZ.xml:S1:353:1	O
fda	TOVIAZ.xml:S1:354:3	O
.	TOVIAZ.xml:S1:357:1	O
gov	TOVIAZ.xml:S1:358:3	O
medwatch	TOVIAZ.xml:S1:362:8	O
.	TOVIAZ.xml:S1:370:1	O

6.1	TOVIAZ.xml:S1:382:3	O

Clinical	TOVIAZ.xml:S1:386:8	O
Trials	TOVIAZ.xml:S1:395:6	O
Experience	TOVIAZ.xml:S1:402:10	O

The	TOVIAZ.xml:S1:416:3	O
safety	TOVIAZ.xml:S1:420:6	O
of	TOVIAZ.xml:S1:427:2	O
Toviaz	TOVIAZ.xml:S1:430:6	O
was	TOVIAZ.xml:S1:437:3	O
evaluated	TOVIAZ.xml:S1:441:9	O
in	TOVIAZ.xml:S1:451:2	O
Phase	TOVIAZ.xml:S1:454:5	O
2	TOVIAZ.xml:S1:460:1	O
and	TOVIAZ.xml:S1:462:3	O
3	TOVIAZ.xml:S1:466:1	O
controlled	TOVIAZ.xml:S1:468:10	O
trials	TOVIAZ.xml:S1:479:6	O
in	TOVIAZ.xml:S1:486:2	O
a	TOVIAZ.xml:S1:489:1	O
total	TOVIAZ.xml:S1:491:5	O
of	TOVIAZ.xml:S1:497:2	O
2859	TOVIAZ.xml:S1:500:4	O
patients	TOVIAZ.xml:S1:505:8	O
with	TOVIAZ.xml:S1:514:4	O
overactive	TOVIAZ.xml:S1:519:10	O
bladder	TOVIAZ.xml:S1:530:7	O
,	TOVIAZ.xml:S1:537:1	O
of	TOVIAZ.xml:S1:539:2	O
which	TOVIAZ.xml:S1:542:5	O
2288	TOVIAZ.xml:S1:548:4	O
were	TOVIAZ.xml:S1:553:4	O
treated	TOVIAZ.xml:S1:558:7	O
with	TOVIAZ.xml:S1:566:4	O
fesoterodine	TOVIAZ.xml:S1:571:12	O
.	TOVIAZ.xml:S1:583:1	O

Of	TOVIAZ.xml:S1:585:2	O
this	TOVIAZ.xml:S1:588:4	O
total	TOVIAZ.xml:S1:593:5	O
,	TOVIAZ.xml:S1:598:1	O
782	TOVIAZ.xml:S1:600:3	O
received	TOVIAZ.xml:S1:604:8	O
Toviaz	TOVIAZ.xml:S1:613:6	O
4	TOVIAZ.xml:S1:620:1	O
mg	TOVIAZ.xml:S1:622:2	O
day	TOVIAZ.xml:S1:625:3	O
,	TOVIAZ.xml:S1:628:1	O
and	TOVIAZ.xml:S1:630:3	O
785	TOVIAZ.xml:S1:634:3	O
received	TOVIAZ.xml:S1:638:8	O
Toviaz	TOVIAZ.xml:S1:647:6	O
8	TOVIAZ.xml:S1:654:1	O
mg	TOVIAZ.xml:S1:656:2	O
day	TOVIAZ.xml:S1:659:3	O
in	TOVIAZ.xml:S1:663:2	O
Phase	TOVIAZ.xml:S1:666:5	O
2	TOVIAZ.xml:S1:672:1	O
or	TOVIAZ.xml:S1:674:2	O
3	TOVIAZ.xml:S1:677:1	O
studies	TOVIAZ.xml:S1:679:7	O
with	TOVIAZ.xml:S1:687:4	O
treatment	TOVIAZ.xml:S1:692:9	O
periods	TOVIAZ.xml:S1:702:7	O
of	TOVIAZ.xml:S1:710:2	O
8	TOVIAZ.xml:S1:713:1	O
or	TOVIAZ.xml:S1:715:2	O
12	TOVIAZ.xml:S1:718:2	O
weeks	TOVIAZ.xml:S1:721:5	O
.	TOVIAZ.xml:S1:726:1	O

Approximately	TOVIAZ.xml:S1:728:13	O
80%	TOVIAZ.xml:S1:742:3	O
of	TOVIAZ.xml:S1:746:2	O
these	TOVIAZ.xml:S1:749:5	O
patients	TOVIAZ.xml:S1:755:8	O
had	TOVIAZ.xml:S1:764:3	O
10	TOVIAZ.xml:S1:769:2	O
weeks	TOVIAZ.xml:S1:772:5	O
exposure	TOVIAZ.xml:S1:778:8	O
to	TOVIAZ.xml:S1:787:2	O
Toviaz	TOVIAZ.xml:S1:790:6	O
in	TOVIAZ.xml:S1:797:2	O
these	TOVIAZ.xml:S1:800:5	O
trials	TOVIAZ.xml:S1:806:6	O
.	TOVIAZ.xml:S1:812:1	O

A	TOVIAZ.xml:S1:818:1	O
total	TOVIAZ.xml:S1:820:5	O
of	TOVIAZ.xml:S1:826:2	O
1964	TOVIAZ.xml:S1:829:4	O
patients	TOVIAZ.xml:S1:834:8	O
participated	TOVIAZ.xml:S1:843:12	O
in	TOVIAZ.xml:S1:856:2	O
two	TOVIAZ.xml:S1:859:3	O
12	TOVIAZ.xml:S1:863:2	O
-	TOVIAZ.xml:S1:865:1	O
week	TOVIAZ.xml:S1:866:4	O
,	TOVIAZ.xml:S1:870:1	O
Phase	TOVIAZ.xml:S1:872:5	O
3	TOVIAZ.xml:S1:878:1	O
efficacy	TOVIAZ.xml:S1:880:8	O
and	TOVIAZ.xml:S1:889:3	O
safety	TOVIAZ.xml:S1:893:6	O
studies	TOVIAZ.xml:S1:900:7	O
and	TOVIAZ.xml:S1:908:3	O
subsequent	TOVIAZ.xml:S1:912:10	O
open	TOVIAZ.xml:S1:923:4	O
-	TOVIAZ.xml:S1:927:1	O
label	TOVIAZ.xml:S1:928:5	O
extension	TOVIAZ.xml:S1:934:9	O
studies	TOVIAZ.xml:S1:944:7	O
.	TOVIAZ.xml:S1:951:1	O

In	TOVIAZ.xml:S1:953:2	O
these	TOVIAZ.xml:S1:956:5	O
two	TOVIAZ.xml:S1:962:3	O
studies	TOVIAZ.xml:S1:966:7	O
combined	TOVIAZ.xml:S1:974:8	O
,	TOVIAZ.xml:S1:982:1	O
554	TOVIAZ.xml:S1:984:3	O
patients	TOVIAZ.xml:S1:988:8	O
received	TOVIAZ.xml:S1:997:8	O
Toviaz	TOVIAZ.xml:S1:1006:6	O
4	TOVIAZ.xml:S1:1013:1	O
mg	TOVIAZ.xml:S1:1015:2	O
day	TOVIAZ.xml:S1:1018:3	O
and	TOVIAZ.xml:S1:1022:3	O
566	TOVIAZ.xml:S1:1026:3	O
patients	TOVIAZ.xml:S1:1030:8	O
received	TOVIAZ.xml:S1:1039:8	O
Toviaz	TOVIAZ.xml:S1:1048:6	O
8	TOVIAZ.xml:S1:1055:1	O
mg	TOVIAZ.xml:S1:1057:2	O
day	TOVIAZ.xml:S1:1060:3	O
.	TOVIAZ.xml:S1:1063:1	O

In	TOVIAZ.xml:S1:1069:2	O
Phase	TOVIAZ.xml:S1:1072:5	O
2	TOVIAZ.xml:S1:1078:1	O
and	TOVIAZ.xml:S1:1080:3	O
3	TOVIAZ.xml:S1:1084:1	O
placebo	TOVIAZ.xml:S1:1086:7	O
-	TOVIAZ.xml:S1:1093:1	O
controlled	TOVIAZ.xml:S1:1094:10	O
trials	TOVIAZ.xml:S1:1105:6	O
combined	TOVIAZ.xml:S1:1112:8	O
,	TOVIAZ.xml:S1:1120:1	O
the	TOVIAZ.xml:S1:1122:3	O
incidences	TOVIAZ.xml:S1:1126:10	O
of	TOVIAZ.xml:S1:1137:2	O
serious	TOVIAZ.xml:S1:1140:7	O
adverse	TOVIAZ.xml:S1:1148:7	O
events	TOVIAZ.xml:S1:1156:6	O
in	TOVIAZ.xml:S1:1163:2	O
patients	TOVIAZ.xml:S1:1166:8	O
receiving	TOVIAZ.xml:S1:1175:9	O
placebo	TOVIAZ.xml:S1:1185:7	O
,	TOVIAZ.xml:S1:1192:1	O
Toviaz	TOVIAZ.xml:S1:1194:6	O
4	TOVIAZ.xml:S1:1201:1	O
mg	TOVIAZ.xml:S1:1203:2	O
,	TOVIAZ.xml:S1:1205:1	O
and	TOVIAZ.xml:S1:1207:3	O
Toviaz	TOVIAZ.xml:S1:1211:6	O
8	TOVIAZ.xml:S1:1218:1	O
mg	TOVIAZ.xml:S1:1220:2	O
were	TOVIAZ.xml:S1:1223:4	O
1.9%	TOVIAZ.xml:S1:1228:4	O
,	TOVIAZ.xml:S1:1232:1	O
3.5%	TOVIAZ.xml:S1:1234:4	O
,	TOVIAZ.xml:S1:1238:1	O
and	TOVIAZ.xml:S1:1240:3	O
2.9%	TOVIAZ.xml:S1:1244:4	O
,	TOVIAZ.xml:S1:1248:1	O
respectively	TOVIAZ.xml:S1:1250:12	O
.	TOVIAZ.xml:S1:1262:1	O

All	TOVIAZ.xml:S1:1264:3	O
serious	TOVIAZ.xml:S1:1268:7	O
adverse	TOVIAZ.xml:S1:1276:7	O
events	TOVIAZ.xml:S1:1284:6	O
were	TOVIAZ.xml:S1:1291:4	O
judged	TOVIAZ.xml:S1:1296:6	O
to	TOVIAZ.xml:S1:1303:2	O
be	TOVIAZ.xml:S1:1306:2	O
not	TOVIAZ.xml:S1:1309:3	O
related	TOVIAZ.xml:S1:1313:7	O
or	TOVIAZ.xml:S1:1321:2	O
unlikely	TOVIAZ.xml:S1:1324:8	O
to	TOVIAZ.xml:S1:1333:2	O
be	TOVIAZ.xml:S1:1336:2	O
related	TOVIAZ.xml:S1:1339:7	O
to	TOVIAZ.xml:S1:1347:2	O
study	TOVIAZ.xml:S1:1350:5	O
medication	TOVIAZ.xml:S1:1356:10	O
by	TOVIAZ.xml:S1:1367:2	O
the	TOVIAZ.xml:S1:1370:3	O
investigator	TOVIAZ.xml:S1:1374:12	O
,	TOVIAZ.xml:S1:1386:1	O
except	TOVIAZ.xml:S1:1388:6	O
