6	TREANDA.xml:S1:4:1	O
ADVERSE	TREANDA.xml:S1:6:7	O
REACTIONS	TREANDA.xml:S1:14:9	O

The	TREANDA.xml:S1:27:3	O
following	TREANDA.xml:S1:31:9	O
serious	TREANDA.xml:S1:41:7	O
adverse	TREANDA.xml:S1:49:7	O
reactions	TREANDA.xml:S1:57:9	O
have	TREANDA.xml:S1:67:4	O
been	TREANDA.xml:S1:72:4	O
associated	TREANDA.xml:S1:77:10	O
with	TREANDA.xml:S1:88:4	O
TREANDA	TREANDA.xml:S1:93:7	O
in	TREANDA.xml:S1:101:2	O
clinical	TREANDA.xml:S1:104:8	O
trials	TREANDA.xml:S1:113:6	O
and	TREANDA.xml:S1:120:3	O
are	TREANDA.xml:S1:124:3	O
discussed	TREANDA.xml:S1:128:9	O
in	TREANDA.xml:S1:138:2	O
greater	TREANDA.xml:S1:141:7	O
detail	TREANDA.xml:S1:149:6	O
in	TREANDA.xml:S1:156:2	O
other	TREANDA.xml:S1:159:5	O
sections	TREANDA.xml:S1:165:8	O
of	TREANDA.xml:S1:174:2	O
the	TREANDA.xml:S1:177:3	O
label	TREANDA.xml:S1:181:5	O
.	TREANDA.xml:S1:186:1	O

Myelosuppression	TREANDA.xml:S1:197:16	B-AdverseReaction
[	TREANDA.xml:S1:214:1	O
see	TREANDA.xml:S1:215:3	O
Warnings	TREANDA.xml:S1:220:8	O
and	TREANDA.xml:S1:229:3	O
Precautions	TREANDA.xml:S1:233:11	O
(	TREANDA.xml:S1:246:1	O
5.1	TREANDA.xml:S1:249:3	O
)]	TREANDA.xml:S1:254:2	O

Infections	TREANDA.xml:S1:265:10	B-AdverseReaction
[	TREANDA.xml:S1:276:1	O
see	TREANDA.xml:S1:277:3	O
Warnings	TREANDA.xml:S1:282:8	O
and	TREANDA.xml:S1:291:3	O
Precautions	TREANDA.xml:S1:295:11	O
(	TREANDA.xml:S1:308:1	O
5.2	TREANDA.xml:S1:311:3	O
)]	TREANDA.xml:S1:316:2	O

Anaphylaxis	TREANDA.xml:S1:327:11	B-AdverseReaction
and	TREANDA.xml:S1:339:3	O
Infusion	TREANDA.xml:S1:343:8	B-AdverseReaction
Reactions	TREANDA.xml:S1:352:9	I-AdverseReaction
[	TREANDA.xml:S1:362:1	O
see	TREANDA.xml:S1:363:3	O
Warnings	TREANDA.xml:S1:368:8	O
and	TREANDA.xml:S1:377:3	O
Precautions	TREANDA.xml:S1:381:11	O
(	TREANDA.xml:S1:394:1	O
5.3	TREANDA.xml:S1:397:3	O
)]	TREANDA.xml:S1:402:2	O

Tumor	TREANDA.xml:S1:413:5	B-AdverseReaction
Lysis	TREANDA.xml:S1:419:5	I-AdverseReaction
Syndrome	TREANDA.xml:S1:425:8	I-AdverseReaction
[	TREANDA.xml:S1:434:1	O
see	TREANDA.xml:S1:435:3	O
Warnings	TREANDA.xml:S1:440:8	O
and	TREANDA.xml:S1:449:3	O
Precautions	TREANDA.xml:S1:453:11	O
(	TREANDA.xml:S1:466:1	O
5.4	TREANDA.xml:S1:469:3	O
)]	TREANDA.xml:S1:474:2	O

Skin	TREANDA.xml:S1:485:4	B-AdverseReaction
Reactions	TREANDA.xml:S1:490:9	I-AdverseReaction
[	TREANDA.xml:S1:500:1	O
see	TREANDA.xml:S1:501:3	O
Warnings	TREANDA.xml:S1:506:8	O
and	TREANDA.xml:S1:515:3	O
Precautions	TREANDA.xml:S1:519:11	O
(	TREANDA.xml:S1:532:1	O
5.5	TREANDA.xml:S1:535:3	O
)]	TREANDA.xml:S1:540:2	O

Other	TREANDA.xml:S1:551:5	O
Malignancies	TREANDA.xml:S1:557:12	B-AdverseReaction
[	TREANDA.xml:S1:570:1	O
see	TREANDA.xml:S1:571:3	O
Warnings	TREANDA.xml:S1:576:8	O
and	TREANDA.xml:S1:585:3	O
Precautions	TREANDA.xml:S1:589:11	O
(	TREANDA.xml:S1:602:1	O
5.6	TREANDA.xml:S1:605:3	O
)]	TREANDA.xml:S1:610:2	O

Extravasation	TREANDA.xml:S1:621:13	B-AdverseReaction
injury	TREANDA.xml:S1:635:6	I-AdverseReaction
[	TREANDA.xml:S1:642:1	O
see	TREANDA.xml:S1:643:3	O
Warnings	TREANDA.xml:S1:648:8	O
and	TREANDA.xml:S1:657:3	O
Precautions	TREANDA.xml:S1:661:11	O
(	TREANDA.xml:S1:673:1	O
5.7	TREANDA.xml:S1:674:3	O
)]	TREANDA.xml:S1:677:2	O

Most	TREANDA.xml:S1:702:4	O

common	TREANDA.xml:S1:707:6	O
non	TREANDA.xml:S1:714:3	O
-	TREANDA.xml:S1:717:1	O
hematologic	TREANDA.xml:S1:718:11	O
adverse	TREANDA.xml:S1:730:7	O
reactions	TREANDA.xml:S1:738:9	O
for	TREANDA.xml:S1:748:3	O
CLL	TREANDA.xml:S1:752:3	O
(	TREANDA.xml:S1:756:1	O
frequency	TREANDA.xml:S1:757:9	O
15%	TREANDA.xml:S1:770:3	O
)	TREANDA.xml:S1:773:1	O
are	TREANDA.xml:S1:775:3	O
pyrexia	TREANDA.xml:S1:779:7	B-AdverseReaction
,	TREANDA.xml:S1:786:1	O
nausea	TREANDA.xml:S1:788:6	B-AdverseReaction
,	TREANDA.xml:S1:794:1	O
and	TREANDA.xml:S1:796:3	O
vomiting	TREANDA.xml:S1:800:8	B-AdverseReaction
.	TREANDA.xml:S1:808:1	O

(	TREANDA.xml:S1:810:1	O
6.1	TREANDA.xml:S1:813:3	O
)	TREANDA.xml:S1:818:1	O

Most	TREANDA.xml:S1:829:4	O
common	TREANDA.xml:S1:834:6	O
non	TREANDA.xml:S1:841:3	O
-	TREANDA.xml:S1:844:1	O
hematologic	TREANDA.xml:S1:845:11	O
adverse	TREANDA.xml:S1:857:7	O
reactions	TREANDA.xml:S1:865:9	O
for	TREANDA.xml:S1:875:3	O
NHL	TREANDA.xml:S1:879:3	O
(	TREANDA.xml:S1:883:1	O
frequency	TREANDA.xml:S1:884:9	O
15%	TREANDA.xml:S1:897:3	O
)	TREANDA.xml:S1:900:1	O
are	TREANDA.xml:S1:902:3	O
nausea	TREANDA.xml:S1:906:6	B-AdverseReaction
,	TREANDA.xml:S1:912:1	O
fatigue	TREANDA.xml:S1:914:7	B-AdverseReaction
,	TREANDA.xml:S1:921:1	O
vomiting	TREANDA.xml:S1:923:8	B-AdverseReaction
,	TREANDA.xml:S1:931:1	O
diarrhea	TREANDA.xml:S1:933:8	B-AdverseReaction
,	TREANDA.xml:S1:941:1	O
pyrexia	TREANDA.xml:S1:943:7	B-AdverseReaction
,	TREANDA.xml:S1:950:1	O
constipation	TREANDA.xml:S1:952:12	B-AdverseReaction
,	TREANDA.xml:S1:964:1	O
anorexia	TREANDA.xml:S1:966:8	B-AdverseReaction
