6	TRULICITY.xml:S1:4:1	O
ADVERSE	TRULICITY.xml:S1:6:7	O
REACTIONS	TRULICITY.xml:S1:14:9	O

The	TRULICITY.xml:S1:27:3	O
following	TRULICITY.xml:S1:31:9	O
serious	TRULICITY.xml:S1:41:7	O
reactions	TRULICITY.xml:S1:49:9	O
are	TRULICITY.xml:S1:59:3	O
described	TRULICITY.xml:S1:63:9	O
below	TRULICITY.xml:S1:73:5	O
or	TRULICITY.xml:S1:79:2	O
elsewhere	TRULICITY.xml:S1:82:9	O
in	TRULICITY.xml:S1:92:2	O
the	TRULICITY.xml:S1:95:3	O
prescribing	TRULICITY.xml:S1:99:11	O
information	TRULICITY.xml:S1:111:11	O
:	TRULICITY.xml:S1:122:1	O

Risk	TRULICITY.xml:S1:131:4	B-Factor
of	TRULICITY.xml:S1:136:2	O
Thyroid	TRULICITY.xml:S1:139:7	B-AdverseReaction
C	TRULICITY.xml:S1:147:1	I-AdverseReaction
-	TRULICITY.xml:S1:148:1	I-AdverseReaction
cell	TRULICITY.xml:S1:149:4	I-AdverseReaction
Tumors	TRULICITY.xml:S1:154:6	I-AdverseReaction
[	TRULICITY.xml:S1:161:1	O
see	TRULICITY.xml:S1:162:3	O
Warnings	TRULICITY.xml:S1:166:8	O
and	TRULICITY.xml:S1:175:3	O
Precautions	TRULICITY.xml:S1:179:11	O
(	TRULICITY.xml:S1:191:1	O
5.1	TRULICITY.xml:S1:194:3	O
)]	TRULICITY.xml:S1:199:2	O

Pancreatitis	TRULICITY.xml:S1:208:12	B-AdverseReaction
[	TRULICITY.xml:S1:221:1	O
see	TRULICITY.xml:S1:222:3	O
Warnings	TRULICITY.xml:S1:226:8	O
and	TRULICITY.xml:S1:235:3	O
Precautions	TRULICITY.xml:S1:239:11	O
(	TRULICITY.xml:S1:251:1	O
5.2	TRULICITY.xml:S1:254:3	O
)]	TRULICITY.xml:S1:259:2	O

Hypoglycemia	TRULICITY.xml:S1:268:12	B-AdverseReaction
with	TRULICITY.xml:S1:281:4	O
Concomitant	TRULICITY.xml:S1:286:11	O
Use	TRULICITY.xml:S1:298:3	O
of	TRULICITY.xml:S1:302:2	O
Insulin	TRULICITY.xml:S1:305:7	O
Secretagogues	TRULICITY.xml:S1:313:13	O
or	TRULICITY.xml:S1:327:2	O
Insulin	TRULICITY.xml:S1:330:7	O
[	TRULICITY.xml:S1:338:1	O
see	TRULICITY.xml:S1:339:3	O
Warnings	TRULICITY.xml:S1:343:8	O
and	TRULICITY.xml:S1:352:3	O
Precautions	TRULICITY.xml:S1:356:11	O
(	TRULICITY.xml:S1:368:1	O
5.3	TRULICITY.xml:S1:371:3	O
)]	TRULICITY.xml:S1:376:2	O

Hypersensitivity	TRULICITY.xml:S1:385:16	B-AdverseReaction
reactions	TRULICITY.xml:S1:402:9	O
[	TRULICITY.xml:S1:412:1	O
see	TRULICITY.xml:S1:413:3	O
Warnings	TRULICITY.xml:S1:417:8	O
and	TRULICITY.xml:S1:426:3	O
Precautions	TRULICITY.xml:S1:430:11	O
(	TRULICITY.xml:S1:442:1	O
5.4	TRULICITY.xml:S1:445:3	O
)]	TRULICITY.xml:S1:450:2	O

Renal	TRULICITY.xml:S1:459:5	B-AdverseReaction
impairment	TRULICITY.xml:S1:465:10	I-AdverseReaction
[	TRULICITY.xml:S1:476:1	O
see	TRULICITY.xml:S1:477:3	O
Warnings	TRULICITY.xml:S1:481:8	O
and	TRULICITY.xml:S1:490:3	O
Precautions	TRULICITY.xml:S1:494:11	O
(	TRULICITY.xml:S1:506:1	O
5.5	TRULICITY.xml:S1:509:3	O
)]	TRULICITY.xml:S1:514:2	O

Severe	TRULICITY.xml:S1:523:6	B-Severity
Gastrointestinal	TRULICITY.xml:S1:530:16	B-AdverseReaction
Disease	TRULICITY.xml:S1:547:7	I-AdverseReaction
[	TRULICITY.xml:S1:555:1	O
see	TRULICITY.xml:S1:556:3	O
Warnings	TRULICITY.xml:S1:560:8	O
and	TRULICITY.xml:S1:569:3	O
Precautions	TRULICITY.xml:S1:573:11	O
(	TRULICITY.xml:S1:585:1	O
5.6	TRULICITY.xml:S1:588:3	O
)]	TRULICITY.xml:S1:593:2	O

EXCERPT	TRULICITY.xml:S1:604:7	O
:	TRULICITY.xml:S1:611:1	O
The	TRULICITY.xml:S1:615:3	O
most	TRULICITY.xml:S1:619:4	O
common	TRULICITY.xml:S1:624:6	O
adverse	TRULICITY.xml:S1:631:7	O
reactions	TRULICITY.xml:S1:639:9	O
,	TRULICITY.xml:S1:648:1	O
reported	TRULICITY.xml:S1:650:8	O
in	TRULICITY.xml:S1:659:2	O
5%	TRULICITY.xml:S1:664:2	O
of	TRULICITY.xml:S1:667:2	O
patients	TRULICITY.xml:S1:670:8	O
treated	TRULICITY.xml:S1:679:7	O
with	TRULICITY.xml:S1:687:4	O
TRULICITY	TRULICITY.xml:S1:692:9	O
are	TRULICITY.xml:S1:702:3	O
:	TRULICITY.xml:S1:705:1	O
nausea	TRULICITY.xml:S1:707:6	B-AdverseReaction
,	TRULICITY.xml:S1:713:1	O
diarrhea	TRULICITY.xml:S1:715:8	B-AdverseReaction
,	TRULICITY.xml:S1:723:1	O
vomiting	TRULICITY.xml:S1:725:8	B-AdverseReaction
,	TRULICITY.xml:S1:733:1	O
abdominal	TRULICITY.xml:S1:735:9	B-AdverseReaction
pain	TRULICITY.xml:S1:745:4	I-AdverseReaction
,	TRULICITY.xml:S1:749:1	O
and	TRULICITY.xml:S1:751:3	O
decreased	TRULICITY.xml:S1:755:9	B-AdverseReaction
appetite	TRULICITY.xml:S1:765:8	I-AdverseReaction
(	TRULICITY.xml:S1:774:1	O
6.1	TRULICITY.xml:S1:777:3	O
)	TRULICITY.xml:S1:782:1	O
.	TRULICITY.xml:S1:783:1	O

To	TRULICITY.xml:S1:791:2	O

report	TRULICITY.xml:S1:794:6	O
SUSPECTED	TRULICITY.xml:S1:801:9	O
ADVERSE	TRULICITY.xml:S1:811:7	O
REACTIONS	TRULICITY.xml:S1:819:9	O
,	TRULICITY.xml:S1:828:1	O
contact	TRULICITY.xml:S1:830:7	O
Eli	TRULICITY.xml:S1:838:3	O
Lilly	TRULICITY.xml:S1:842:5	O
and	TRULICITY.xml:S1:848:3	O
Company	TRULICITY.xml:S1:852:7	O
at	TRULICITY.xml:S1:860:2	O
1	TRULICITY.xml:S1:863:1	O
-	TRULICITY.xml:S1:864:1	O
800	TRULICITY.xml:S1:865:3	O
-	TRULICITY.xml:S1:868:1	O
LillyRx	TRULICITY.xml:S1:869:7	O
(	TRULICITY.xml:S1:877:1	O
1	TRULICITY.xml:S1:878:1	O
-	TRULICITY.xml:S1:879:1	O
800	TRULICITY.xml:S1:880:3	O
-	TRULICITY.xml:S1:883:1	O
545	TRULICITY.xml:S1:884:3	O
-	TRULICITY.xml:S1:887:1	O
5979	TRULICITY.xml:S1:888:4	O
)	TRULICITY.xml:S1:892:1	O
or	TRULICITY.xml:S1:894:2	O
FDA	TRULICITY.xml:S1:897:3	O
at	TRULICITY.xml:S1:901:2	O
1	TRULICITY.xml:S1:904:1	O
-	TRULICITY.xml:S1:905:1	O
800	TRULICITY.xml:S1:906:3	O
-	TRULICITY.xml:S1:909:1	O
FDA	TRULICITY.xml:S1:910:3	O
-	TRULICITY.xml:S1:913:1	O
1088	TRULICITY.xml:S1:914:4	O
or	TRULICITY.xml:S1:919:2	O
www	TRULICITY.xml:S1:922:3	O
.	TRULICITY.xml:S1:925:1	O
fda	TRULICITY.xml:S1:926:3	O
.	TRULICITY.xml:S1:929:1	O
