6	TUDORZA.xml:S1:4:1	O
ADVERSE	TUDORZA.xml:S1:6:7	O
REACTIONS	TUDORZA.xml:S1:14:9	O

The	TUDORZA.xml:S1:27:3	O
following	TUDORZA.xml:S1:31:9	O
adverse	TUDORZA.xml:S1:41:7	O
reactions	TUDORZA.xml:S1:49:9	O
are	TUDORZA.xml:S1:59:3	O
described	TUDORZA.xml:S1:63:9	O
in	TUDORZA.xml:S1:73:2	O
greater	TUDORZA.xml:S1:76:7	O
detail	TUDORZA.xml:S1:84:6	O
in	TUDORZA.xml:S1:91:2	O
other	TUDORZA.xml:S1:94:5	O
sections	TUDORZA.xml:S1:100:8	O
:	TUDORZA.xml:S1:108:1	O

Paradoxical	TUDORZA.xml:S1:119:11	B-AdverseReaction
bronchospasm	TUDORZA.xml:S1:131:12	I-AdverseReaction
[	TUDORZA.xml:S1:144:1	O
see	TUDORZA.xml:S1:145:3	O
Warnings	TUDORZA.xml:S1:149:8	O
and	TUDORZA.xml:S1:158:3	O
Precautions	TUDORZA.xml:S1:162:11	O
(	TUDORZA.xml:S1:174:1	O
5.2	TUDORZA.xml:S1:175:3	O
)]	TUDORZA.xml:S1:178:2	O

Worsening	TUDORZA.xml:S1:189:9	B-AdverseReaction
of	TUDORZA.xml:S1:199:2	I-AdverseReaction
narrow	TUDORZA.xml:S1:202:6	I-AdverseReaction
-	TUDORZA.xml:S1:208:1	I-AdverseReaction
angle	TUDORZA.xml:S1:209:5	I-AdverseReaction
glaucoma	TUDORZA.xml:S1:215:8	I-AdverseReaction
[	TUDORZA.xml:S1:224:1	O
see	TUDORZA.xml:S1:225:3	O
Warnings	TUDORZA.xml:S1:229:8	O
and	TUDORZA.xml:S1:238:3	O
Precautions	TUDORZA.xml:S1:242:11	O
(	TUDORZA.xml:S1:254:1	O
5.3	TUDORZA.xml:S1:255:3	O
)]	TUDORZA.xml:S1:258:2	O

Worsening	TUDORZA.xml:S1:269:9	B-AdverseReaction
of	TUDORZA.xml:S1:279:2	I-AdverseReaction
urinary	TUDORZA.xml:S1:282:7	I-AdverseReaction
retention	TUDORZA.xml:S1:290:9	I-AdverseReaction
[	TUDORZA.xml:S1:300:1	O
see	TUDORZA.xml:S1:301:3	O
Warnings	TUDORZA.xml:S1:305:8	O
and	TUDORZA.xml:S1:314:3	O
Precautions	TUDORZA.xml:S1:318:11	O
(	TUDORZA.xml:S1:330:1	O
5.4	TUDORZA.xml:S1:331:3	O
)]	TUDORZA.xml:S1:334:2	O

Immediate	TUDORZA.xml:S1:345:9	B-AdverseReaction
Hypersensitivity	TUDORZA.xml:S1:355:16	I-AdverseReaction
Reactions	TUDORZA.xml:S1:372:9	I-AdverseReaction
[	TUDORZA.xml:S1:382:1	O
see	TUDORZA.xml:S1:384:3	O
Warnings	TUDORZA.xml:S1:388:8	O
and	TUDORZA.xml:S1:397:3	O
Precautions	TUDORZA.xml:S1:401:11	O
(	TUDORZA.xml:S1:413:1	O
5.5	TUDORZA.xml:S1:414:3	O
)	TUDORZA.xml:S1:417:1	O
]	TUDORZA.xml:S1:419:1	O

EXCERPT	TUDORZA.xml:S1:428:7	O
:	TUDORZA.xml:S1:435:1	O
Most	TUDORZA.xml:S1:439:4	O
common	TUDORZA.xml:S1:444:6	O
