6	ULESFIA.xml:S1:6:1	O
ADVERSE	ULESFIA.xml:S1:20:7	O
REACTIONS	ULESFIA.xml:S1:28:9	O

EXCERPT	ULESFIA.xml:S1:43:7	O
:	ULESFIA.xml:S1:50:1	O
Most	ULESFIA.xml:S1:54:4	O
common	ULESFIA.xml:S1:59:6	O
adverse	ULESFIA.xml:S1:66:7	O
reactions	ULESFIA.xml:S1:74:9	O
(	ULESFIA.xml:S1:84:1	O
1%	ULESFIA.xml:S1:87:2	O
and	ULESFIA.xml:S1:90:3	O
more	ULESFIA.xml:S1:94:4	O
common	ULESFIA.xml:S1:99:6	O
than	ULESFIA.xml:S1:106:4	O
with	ULESFIA.xml:S1:111:4	O
placebo	ULESFIA.xml:S1:116:7	O
)	ULESFIA.xml:S1:123:1	O
:	ULESFIA.xml:S1:124:1	O
ocular	ULESFIA.xml:S1:126:6	B-AdverseReaction
irritation	ULESFIA.xml:S1:133:10	I-AdverseReaction
,	ULESFIA.xml:S1:143:1	O
application	ULESFIA.xml:S1:145:11	B-AdverseReaction
site	ULESFIA.xml:S1:157:4	I-AdverseReaction
irritation	ULESFIA.xml:S1:162:10	I-AdverseReaction
,	ULESFIA.xml:S1:172:1	O
and	ULESFIA.xml:S1:174:3	O
application	ULESFIA.xml:S1:178:11	B-AdverseReaction
site	ULESFIA.xml:S1:190:4	I-AdverseReaction
anesthesia	ULESFIA.xml:S1:195:10	I-AdverseReaction
and	ULESFIA.xml:S1:206:3	O
hypoesthesia	ULESFIA.xml:S1:210:12	I-AdverseReaction
.	ULESFIA.xml:S1:222:1	O

(	ULESFIA.xml:S1:224:1	O
6	ULESFIA.xml:S1:227:1	O
)	ULESFIA.xml:S1:230:1	O

To	ULESFIA.xml:S1:238:2	O
report	ULESFIA.xml:S1:241:6	O
SUSPECTED	ULESFIA.xml:S1:248:9	O
ADVERSE	ULESFIA.xml:S1:258:7	O
REACTIONS	ULESFIA.xml:S1:266:9	O
,	ULESFIA.xml:S1:275:1	O
contact	ULESFIA.xml:S1:277:7	O
Zylera	ULESFIA.xml:S1:285:6	O
Pharmaceuticals	ULESFIA.xml:S1:292:15	O
,	ULESFIA.xml:S1:307:1	O
LLC	ULESFIA.xml:S1:309:3	O
.	ULESFIA.xml:S1:312:1	O

at	ULESFIA.xml:S1:314:2	O
1	ULESFIA.xml:S1:317:1	O
-	ULESFIA.xml:S1:318:1	O
866	ULESFIA.xml:S1:319:3	O
-	ULESFIA.xml:S1:322:1	O
416	ULESFIA.xml:S1:323:3	O
-	ULESFIA.xml:S1:326:1	O
9637	ULESFIA.xml:S1:327:4	O
or	ULESFIA.xml:S1:332:2	O
FDA	ULESFIA.xml:S1:335:3	O
at	ULESFIA.xml:S1:339:2	O
1	ULESFIA.xml:S1:342:1	O
-	ULESFIA.xml:S1:343:1	O
800	ULESFIA.xml:S1:344:3	O
-	ULESFIA.xml:S1:347:1	O
FDA	ULESFIA.xml:S1:348:3	O
-	ULESFIA.xml:S1:351:1	O
1088	ULESFIA.xml:S1:352:4	O
or	ULESFIA.xml:S1:357:2	O
www	ULESFIA.xml:S1:360:3	O
.	ULESFIA.xml:S1:363:1	O
fda	ULESFIA.xml:S1:364:3	O
.	ULESFIA.xml:S1:367:1	O
gov	ULESFIA.xml:S1:368:3	O
medwatch	ULESFIA.xml:S1:372:8	O
.	ULESFIA.xml:S1:380:1	O

6.1	ULESFIA.xml:S1:394:3	O

Clinical	ULESFIA.xml:S1:410:8	O
Trials	ULESFIA.xml:S1:419:6	O
Experience	ULESFIA.xml:S1:426:10	O

Because	ULESFIA.xml:S1:448:7	O
clinical	ULESFIA.xml:S1:456:8	O
trials	ULESFIA.xml:S1:465:6	O
are	ULESFIA.xml:S1:472:3	O
conducted	ULESFIA.xml:S1:476:9	O
under	ULESFIA.xml:S1:486:5	O
widely	ULESFIA.xml:S1:492:6	O
varying	ULESFIA.xml:S1:499:7	O
conditions	ULESFIA.xml:S1:507:10	O
,	ULESFIA.xml:S1:517:1	O
adverse	ULESFIA.xml:S1:519:7	O
reaction	ULESFIA.xml:S1:527:8	O
rates	ULESFIA.xml:S1:536:5	O
observed	ULESFIA.xml:S1:542:8	O
in	ULESFIA.xml:S1:551:2	O
the	ULESFIA.xml:S1:554:3	O
clinical	ULESFIA.xml:S1:558:8	O
trials	ULESFIA.xml:S1:567:6	O
of	ULESFIA.xml:S1:574:2	O
a	ULESFIA.xml:S1:577:1	O
drug	ULESFIA.xml:S1:579:4	O
cannot	ULESFIA.xml:S1:584:6	O
be	ULESFIA.xml:S1:591:2	O
directly	ULESFIA.xml:S1:594:8	O
compared	ULESFIA.xml:S1:603:8	O
to	ULESFIA.xml:S1:612:2	O
rates	ULESFIA.xml:S1:615:5	O
in	ULESFIA.xml:S1:621:2	O
the	ULESFIA.xml:S1:624:3	O
clinical	ULESFIA.xml:S1:628:8	O
trials	ULESFIA.xml:S1:637:6	O
of	ULESFIA.xml:S1:644:2	O
another	ULESFIA.xml:S1:647:7	O
drug	ULESFIA.xml:S1:655:4	O
and	ULESFIA.xml:S1:660:3	O
may	ULESFIA.xml:S1:664:3	O
not	ULESFIA.xml:S1:668:3	O
reflect	ULESFIA.xml:S1:672:7	O
the	ULESFIA.xml:S1:680:3	O
rates	ULESFIA.xml:S1:684:5	O
observed	ULESFIA.xml:S1:690:8	O
in	ULESFIA.xml:S1:699:2	O
clinical	ULESFIA.xml:S1:702:8	O
practice	ULESFIA.xml:S1:711:8	O
.	ULESFIA.xml:S1:719:1	O

The	ULESFIA.xml:S1:731:3	O
rates	ULESFIA.xml:S1:735:5	O
of	ULESFIA.xml:S1:741:2	O
adverse	ULESFIA.xml:S1:744:7	O
reactions	ULESFIA.xml:S1:752:9	O
below	ULESFIA.xml:S1:762:5	O
were	ULESFIA.xml:S1:768:4	O
derived	ULESFIA.xml:S1:773:7	O
from	ULESFIA.xml:S1:781:4	O
two	ULESFIA.xml:S1:786:3	O
randomized	ULESFIA.xml:S1:790:10	O
,	ULESFIA.xml:S1:800:1	O
multi	ULESFIA.xml:S1:802:5	O
-	ULESFIA.xml:S1:807:1	O
center	ULESFIA.xml:S1:808:6	O
,	ULESFIA.xml:S1:814:1	O
vehicle	ULESFIA.xml:S1:816:7	O
-	ULESFIA.xml:S1:823:1	O
controlled	ULESFIA.xml:S1:824:10	O
clinical	ULESFIA.xml:S1:835:8	O
trials	ULESFIA.xml:S1:844:6	O
and	ULESFIA.xml:S1:851:3	O
one	ULESFIA.xml:S1:855:3	O
open	ULESFIA.xml:S1:859:4	O
-	ULESFIA.xml:S1:863:1	O
label	ULESFIA.xml:S1:864:5	O
study	ULESFIA.xml:S1:870:5	O
in	ULESFIA.xml:S1:876:2	O
subjects	ULESFIA.xml:S1:879:8	O
with	ULESFIA.xml:S1:888:4	O
head	ULESFIA.xml:S1:893:4	O
lice	ULESFIA.xml:S1:898:4	O
infestation	ULESFIA.xml:S1:903:11	O
.	ULESFIA.xml:S1:914:1	O

Skin	ULESFIA.xml:S1:926:4	O
,	ULESFIA.xml:S1:930:1	O
scalp	ULESFIA.xml:S1:932:5	O
,	ULESFIA.xml:S1:937:1	O
and	ULESFIA.xml:S1:939:3	O
ocular	ULESFIA.xml:S1:943:6	O
irritation	ULESFIA.xml:S1:950:10	O
were	ULESFIA.xml:S1:961:4	O
monitored	ULESFIA.xml:S1:966:9	O
in	ULESFIA.xml:S1:976:2	O
the	ULESFIA.xml:S1:979:3	O
clinical	ULESFIA.xml:S1:983:8	O
trials	ULESFIA.xml:S1:992:6	O
.	ULESFIA.xml:S1:998:1	O

All	ULESFIA.xml:S1:1000:3	O
subjects	ULESFIA.xml:S1:1004:8	O
were	ULESFIA.xml:S1:1013:4	O
queried	ULESFIA.xml:S1:1018:7	O
about	ULESFIA.xml:S1:1026:5	O
the	ULESFIA.xml:S1:1032:3	O
presence	ULESFIA.xml:S1:1036:8	O
of	ULESFIA.xml:S1:1045:2	O
skin	ULESFIA.xml:S1:1048:4	O
and	ULESFIA.xml:S1:1053:3	O
scalp	ULESFIA.xml:S1:1057:5	O
symptoms	ULESFIA.xml:S1:1063:8	O
;	ULESFIA.xml:S1:1071:1	O
