6	VICTRELIS.xml:S1:4:1	O
ADVERSE	VICTRELIS.xml:S1:6:7	O
REACTIONS	VICTRELIS.xml:S1:14:9	O

See	VICTRELIS.xml:S1:27:3	O
the	VICTRELIS.xml:S1:31:3	O
peginterferon	VICTRELIS.xml:S1:35:13	O
alfa	VICTRELIS.xml:S1:49:4	O
and	VICTRELIS.xml:S1:54:3	O
ribavirin	VICTRELIS.xml:S1:58:9	O
prescribing	VICTRELIS.xml:S1:68:11	O
information	VICTRELIS.xml:S1:80:11	O
for	VICTRELIS.xml:S1:92:3	O
description	VICTRELIS.xml:S1:96:11	O
of	VICTRELIS.xml:S1:108:2	O
adverse	VICTRELIS.xml:S1:111:7	O
reactions	VICTRELIS.xml:S1:119:9	O
associated	VICTRELIS.xml:S1:129:10	O
with	VICTRELIS.xml:S1:140:4	O
their	VICTRELIS.xml:S1:145:5	O
use	VICTRELIS.xml:S1:151:3	O
.	VICTRELIS.xml:S1:154:1	O

EXCERPT	VICTRELIS.xml:S1:162:7	O
:	VICTRELIS.xml:S1:169:1	O
The	VICTRELIS.xml:S1:173:3	O
most	VICTRELIS.xml:S1:177:4	O
commonly	VICTRELIS.xml:S1:182:8	O
reported	VICTRELIS.xml:S1:191:8	O
adverse	VICTRELIS.xml:S1:200:7	O
reactions	VICTRELIS.xml:S1:208:9	O
(	VICTRELIS.xml:S1:218:1	O
greater	VICTRELIS.xml:S1:219:7	O
than	VICTRELIS.xml:S1:227:4	O
35%	VICTRELIS.xml:S1:232:3	O
of	VICTRELIS.xml:S1:236:2	O
subjects	VICTRELIS.xml:S1:239:8	O
)	VICTRELIS.xml:S1:247:1	O
in	VICTRELIS.xml:S1:249:2	O
clinical	VICTRELIS.xml:S1:252:8	O
trials	VICTRELIS.xml:S1:261:6	O
in	VICTRELIS.xml:S1:268:2	O
adult	VICTRELIS.xml:S1:271:5	O
subjects	VICTRELIS.xml:S1:277:8	O
receiving	VICTRELIS.xml:S1:286:9	O
the	VICTRELIS.xml:S1:296:3	O
combination	VICTRELIS.xml:S1:300:11	O
of	VICTRELIS.xml:S1:312:2	O
VICTRELIS	VICTRELIS.xml:S1:315:9	O
with	VICTRELIS.xml:S1:325:4	O
PegIntron	VICTRELIS.xml:S1:330:9	O
and	VICTRELIS.xml:S1:340:3	O
REBETOL	VICTRELIS.xml:S1:344:7	O
were	VICTRELIS.xml:S1:352:4	O
fatigue	VICTRELIS.xml:S1:357:7	B-AdverseReaction
,	VICTRELIS.xml:S1:364:1	O
anemia	VICTRELIS.xml:S1:366:6	B-AdverseReaction
,	VICTRELIS.xml:S1:372:1	O
nausea	VICTRELIS.xml:S1:374:6	B-AdverseReaction
,	VICTRELIS.xml:S1:380:1	O
headache	VICTRELIS.xml:S1:382:8	B-AdverseReaction
and	VICTRELIS.xml:S1:391:3	O
dysgeusia	VICTRELIS.xml:S1:395:9	B-AdverseReaction
.	VICTRELIS.xml:S1:404:1	O

(	VICTRELIS.xml:S1:406:1	O
6.1	VICTRELIS.xml:S1:409:3	O
)	VICTRELIS.xml:S1:414:1	O

To	VICTRELIS.xml:S1:422:2	O
report	VICTRELIS.xml:S1:425:6	O
SUSPECTED	VICTRELIS.xml:S1:432:9	O
ADVERSE	VICTRELIS.xml:S1:442:7	O
REACTIONS	VICTRELIS.xml:S1:450:9	O
,	VICTRELIS.xml:S1:459:1	O
contact	VICTRELIS.xml:S1:461:7	O
Merck	VICTRELIS.xml:S1:469:5	O
Sharp	VICTRELIS.xml:S1:475:5	O
Dohme	VICTRELIS.xml:S1:483:5	O
Corp	VICTRELIS.xml:S1:489:4	O
.	VICTRELIS.xml:S1:493:1	O
,	VICTRELIS.xml:S1:494:1	O
a	VICTRELIS.xml:S1:496:1	O
subsidiary	VICTRELIS.xml:S1:498:10	O
of	VICTRELIS.xml:S1:509:2	O
Merck	VICTRELIS.xml:S1:512:5	O
Co	VICTRELIS.xml:S1:520:2	O
.	VICTRELIS.xml:S1:522:1	O
,	VICTRELIS.xml:S1:523:1	O
Inc	VICTRELIS.xml:S1:525:3	O
.	VICTRELIS.xml:S1:528:1	O
,	VICTRELIS.xml:S1:529:1	O
at	VICTRELIS.xml:S1:531:2	O
1	VICTRELIS.xml:S1:534:1	O
-	VICTRELIS.xml:S1:535:1	O
877	VICTRELIS.xml:S1:536:3	O
-	VICTRELIS.xml:S1:539:1	O
888	VICTRELIS.xml:S1:540:3	O
-	VICTRELIS.xml:S1:543:1	O
4231	VICTRELIS.xml:S1:544:4	O
or	VICTRELIS.xml:S1:549:2	O
FDA	VICTRELIS.xml:S1:552:3	O
at	VICTRELIS.xml:S1:556:2	O
1	VICTRELIS.xml:S1:559:1	O
-	VICTRELIS.xml:S1:560:1	O
800	VICTRELIS.xml:S1:561:3	O
-	VICTRELIS.xml:S1:564:1	O
FDA	VICTRELIS.xml:S1:565:3	O
-	VICTRELIS.xml:S1:568:1	O
1088	VICTRELIS.xml:S1:569:4	O
or	VICTRELIS.xml:S1:574:2	O
www	VICTRELIS.xml:S1:582:3	O
.	VICTRELIS.xml:S1:585:1	O
fda	VICTRELIS.xml:S1:586:3	O
.	VICTRELIS.xml:S1:589:1	O
gov	VICTRELIS.xml:S1:590:3	O
medwatch	VICTRELIS.xml:S1:594:8	O
.	VICTRELIS.xml:S1:604:1	O

6.1	VICTRELIS.xml:S1:616:3	O

Clinical	VICTRELIS.xml:S1:620:8	O
Trials	VICTRELIS.xml:S1:629:6	O
Experience	VICTRELIS.xml:S1:636:10	O

Because	VICTRELIS.xml:S1:650:7	O
clinical	VICTRELIS.xml:S1:658:8	O
trials	VICTRELIS.xml:S1:667:6	O
are	VICTRELIS.xml:S1:674:3	O
conducted	VICTRELIS.xml:S1:678:9	O
under	VICTRELIS.xml:S1:688:5	O
widely	VICTRELIS.xml:S1:694:6	O
varying	VICTRELIS.xml:S1:701:7	O
conditions	VICTRELIS.xml:S1:709:10	O
,	VICTRELIS.xml:S1:719:1	O
adverse	VICTRELIS.xml:S1:721:7	O
reaction	VICTRELIS.xml:S1:729:8	O
rates	VICTRELIS.xml:S1:738:5	O
observed	VICTRELIS.xml:S1:744:8	O
in	VICTRELIS.xml:S1:753:2	O
clinical	VICTRELIS.xml:S1:756:8	O
trials	VICTRELIS.xml:S1:765:6	O
of	VICTRELIS.xml:S1:772:2	O
VICTRELIS	VICTRELIS.xml:S1:775:9	O
cannot	VICTRELIS.xml:S1:785:6	O
be	VICTRELIS.xml:S1:792:2	O
directly	VICTRELIS.xml:S1:795:8	O
compared	VICTRELIS.xml:S1:804:8	O
to	VICTRELIS.xml:S1:813:2	O
rates	VICTRELIS.xml:S1:816:5	O
in	VICTRELIS.xml:S1:822:2	O
the	VICTRELIS.xml:S1:825:3	O
clinical	VICTRELIS.xml:S1:829:8	O
trials	VICTRELIS.xml:S1:838:6	O
of	VICTRELIS.xml:S1:845:2	O
another	VICTRELIS.xml:S1:848:7	O
drug	VICTRELIS.xml:S1:856:4	O
and	VICTRELIS.xml:S1:861:3	O
may	VICTRELIS.xml:S1:865:3	O
not	VICTRELIS.xml:S1:869:3	O
reflect	VICTRELIS.xml:S1:873:7	O
the	VICTRELIS.xml:S1:881:3	O
rates	VICTRELIS.xml:S1:885:5	O
observed	VICTRELIS.xml:S1:891:8	O
in	VICTRELIS.xml:S1:900:2	O
practice	VICTRELIS.xml:S1:903:8	O
.	VICTRELIS.xml:S1:911:1	O

The	VICTRELIS.xml:S1:917:3	O
following	VICTRELIS.xml:S1:921:9	O
serious	VICTRELIS.xml:S1:931:7	O
and	VICTRELIS.xml:S1:939:3	O
otherwise	VICTRELIS.xml:S1:943:9	O
important	VICTRELIS.xml:S1:953:9	O
adverse	VICTRELIS.xml:S1:963:7	O
drug	VICTRELIS.xml:S1:971:4	O
reactions	VICTRELIS.xml:S1:976:9	O
(	VICTRELIS.xml:S1:986:1	O
ADRs	VICTRELIS.xml:S1:987:4	O
)	VICTRELIS.xml:S1:991:1	O
are	VICTRELIS.xml:S1:993:3	O
discussed	VICTRELIS.xml:S1:997:9	O
in	VICTRELIS.xml:S1:1007:2	O
detail	VICTRELIS.xml:S1:1010:6	O
in	VICTRELIS.xml:S1:1017:2	O
another	VICTRELIS.xml:S1:1020:7	O
section	VICTRELIS.xml:S1:1028:7	O
of	VICTRELIS.xml:S1:1036:2	O
the	VICTRELIS.xml:S1:1039:3	O
labeling	VICTRELIS.xml:S1:1043:8	O
:	VICTRELIS.xml:S1:1051:1	O

Anemia	VICTRELIS.xml:S1:1060:6	B-AdverseReaction
[	VICTRELIS.xml:S1:1067:1	O
see	VICTRELIS.xml:S1:1068:3	O
Warnings	VICTRELIS.xml:S1:1073:8	O
and	VICTRELIS.xml:S1:1082:3	O
Precautions	VICTRELIS.xml:S1:1086:11	O
(	VICTRELIS.xml:S1:1098:1	O
5.2	VICTRELIS.xml:S1:1099:3	O
)	VICTRELIS.xml:S1:1102:1	O
]	VICTRELIS.xml:S1:1105:1	O

Neutropenia	VICTRELIS.xml:S1:1113:11	B-AdverseReaction
[	VICTRELIS.xml:S1:1125:1	O
see	VICTRELIS.xml:S1:1126:3	O
Warnings	VICTRELIS.xml:S1:1131:8	O
and	VICTRELIS.xml:S1:1140:3	O
Precautions	VICTRELIS.xml:S1:1144:11	O
(	VICTRELIS.xml:S1:1156:1	O
5.3	VICTRELIS.xml:S1:1157:3	O
)	VICTRELIS.xml:S1:1160:1	O
]	VICTRELIS.xml:S1:1163:1	O

Pancytopenia	VICTRELIS.xml:S1:1171:12	B-AdverseReaction
[	VICTRELIS.xml:S1:1184:1	O
see	VICTRELIS.xml:S1:1185:3	O
Warnings	VICTRELIS.xml:S1:1190:8	O
and	VICTRELIS.xml:S1:1199:3	O
Precautions	VICTRELIS.xml:S1:1203:11	O
(	VICTRELIS.xml:S1:1215:1	O
5.4	VICTRELIS.xml:S1:1216:3	O
)	VICTRELIS.xml:S1:1219:1	O
]	VICTRELIS.xml:S1:1222:1	O

Hypersensitivity	VICTRELIS.xml:S1:1230:16	B-AdverseReaction
[	VICTRELIS.xml:S1:1247:1	O
see	VICTRELIS.xml:S1:1248:3	O
Contraindications	VICTRELIS.xml:S1:1253:17	O
(	VICTRELIS.xml:S1:1271:1	O
4	VICTRELIS.xml:S1:1272:1	O
)	VICTRELIS.xml:S1:1273:1	O
and	VICTRELIS.xml:S1:1276:3	O
Warnings	VICTRELIS.xml:S1:1281:8	O
and	VICTRELIS.xml:S1:1290:3	O
Precautions	VICTRELIS.xml:S1:1294:11	O
(	VICTRELIS.xml:S1:1306:1	O
5.5	VICTRELIS.xml:S1:1307:3	O
)	VICTRELIS.xml:S1:1310:1	O
]	VICTRELIS.xml:S1:1313:1	O

The	VICTRELIS.xml:S1:1321:3	O
most	VICTRELIS.xml:S1:1325:4	O
