6	VIMIZIM.xml:S1:4:1	O
ADVERSE	VIMIZIM.xml:S1:6:7	O
REACTIONS	VIMIZIM.xml:S1:14:9	O

Because	VIMIZIM.xml:S1:27:7	O
clinical	VIMIZIM.xml:S1:35:8	O
trials	VIMIZIM.xml:S1:44:6	O
are	VIMIZIM.xml:S1:51:3	O
conducted	VIMIZIM.xml:S1:55:9	O
under	VIMIZIM.xml:S1:65:5	O
widely	VIMIZIM.xml:S1:71:6	O
varying	VIMIZIM.xml:S1:78:7	O
conditions	VIMIZIM.xml:S1:86:10	O
,	VIMIZIM.xml:S1:96:1	O
adverse	VIMIZIM.xml:S1:98:7	O
reaction	VIMIZIM.xml:S1:106:8	O
rates	VIMIZIM.xml:S1:115:5	O
observed	VIMIZIM.xml:S1:121:8	O
in	VIMIZIM.xml:S1:130:2	O
the	VIMIZIM.xml:S1:133:3	O
clinical	VIMIZIM.xml:S1:137:8	O
trials	VIMIZIM.xml:S1:146:6	O
of	VIMIZIM.xml:S1:153:2	O
a	VIMIZIM.xml:S1:156:1	O
drug	VIMIZIM.xml:S1:158:4	O
cannot	VIMIZIM.xml:S1:163:6	O
be	VIMIZIM.xml:S1:170:2	O
directly	VIMIZIM.xml:S1:173:8	O
compared	VIMIZIM.xml:S1:182:8	O
to	VIMIZIM.xml:S1:191:2	O
rates	VIMIZIM.xml:S1:194:5	O
in	VIMIZIM.xml:S1:200:2	O
the	VIMIZIM.xml:S1:203:3	O
clinical	VIMIZIM.xml:S1:207:8	O
trials	VIMIZIM.xml:S1:216:6	O
of	VIMIZIM.xml:S1:223:2	O
another	VIMIZIM.xml:S1:226:7	O
drug	VIMIZIM.xml:S1:234:4	O
and	VIMIZIM.xml:S1:239:3	O
may	VIMIZIM.xml:S1:243:3	O
not	VIMIZIM.xml:S1:247:3	O
reflect	VIMIZIM.xml:S1:251:7	O
the	VIMIZIM.xml:S1:259:3	O
rates	VIMIZIM.xml:S1:263:5	O
observed	VIMIZIM.xml:S1:269:8	O
in	VIMIZIM.xml:S1:278:2	O
practice	VIMIZIM.xml:S1:281:8	O
.	VIMIZIM.xml:S1:289:1	O

The	VIMIZIM.xml:S1:295:3	O
following	VIMIZIM.xml:S1:299:9	O
serious	VIMIZIM.xml:S1:309:7	O
adverse	VIMIZIM.xml:S1:317:7	O
reactions	VIMIZIM.xml:S1:325:9	O
are	VIMIZIM.xml:S1:335:3	O
described	VIMIZIM.xml:S1:339:9	O
below	VIMIZIM.xml:S1:349:5	O
and	VIMIZIM.xml:S1:355:3	O
elsewhere	VIMIZIM.xml:S1:359:9	O
in	VIMIZIM.xml:S1:369:2	O
the	VIMIZIM.xml:S1:372:3	O
labeling	VIMIZIM.xml:S1:376:8	O
:	VIMIZIM.xml:S1:384:1	O

.	VIMIZIM.xml:S1:390:1	O

