6	VIZAMYL.xml:S1:4:1	O
ADVERSE	VIZAMYL.xml:S1:6:7	O
REACTIONS	VIZAMYL.xml:S1:14:9	O

EXCERPT	VIZAMYL.xml:S1:27:7	O
:	VIZAMYL.xml:S1:34:1	O
Most	VIZAMYL.xml:S1:38:4	O
commonly	VIZAMYL.xml:S1:43:8	O
reported	VIZAMYL.xml:S1:52:8	O
adverse	VIZAMYL.xml:S1:61:7	O
reactions	VIZAMYL.xml:S1:69:9	O
were	VIZAMYL.xml:S1:79:4	O
flushing	VIZAMYL.xml:S1:84:8	B-AdverseReaction
(	VIZAMYL.xml:S1:93:1	O
2%	VIZAMYL.xml:S1:94:2	O
)	VIZAMYL.xml:S1:96:1	O
,	VIZAMYL.xml:S1:97:1	O
headache	VIZAMYL.xml:S1:99:8	B-AdverseReaction
(	VIZAMYL.xml:S1:108:1	O
1%	VIZAMYL.xml:S1:109:2	O
)	VIZAMYL.xml:S1:111:1	O
,	VIZAMYL.xml:S1:112:1	O
increased	VIZAMYL.xml:S1:114:9	B-AdverseReaction
blood	VIZAMYL.xml:S1:124:5	I-AdverseReaction
pressure	VIZAMYL.xml:S1:130:8	I-AdverseReaction
(	VIZAMYL.xml:S1:139:1	O
2%	VIZAMYL.xml:S1:140:2	O
)	VIZAMYL.xml:S1:142:1	O
,	VIZAMYL.xml:S1:143:1	O
nausea	VIZAMYL.xml:S1:145:6	B-AdverseReaction
(	VIZAMYL.xml:S1:152:1	O
1%	VIZAMYL.xml:S1:153:2	O
)	VIZAMYL.xml:S1:155:1	O
,	VIZAMYL.xml:S1:156:1	O
and	VIZAMYL.xml:S1:158:3	O
dizziness	VIZAMYL.xml:S1:162:9	B-AdverseReaction
(	VIZAMYL.xml:S1:172:1	O
1%	VIZAMYL.xml:S1:173:2	O
)	VIZAMYL.xml:S1:175:1	O
.	VIZAMYL.xml:S1:176:1	O

To	VIZAMYL.xml:S1:184:2	O
report	VIZAMYL.xml:S1:187:6	O
SUSPECTED	VIZAMYL.xml:S1:194:9	O
ADVERSE	VIZAMYL.xml:S1:204:7	O
REACTIONS	VIZAMYL.xml:S1:212:9	O
,	VIZAMYL.xml:S1:221:1	O
contact	VIZAMYL.xml:S1:223:7	O
GE	VIZAMYL.xml:S1:231:2	O
Healthcare	VIZAMYL.xml:S1:234:10	O
at	VIZAMYL.xml:S1:245:2	O
1	VIZAMYL.xml:S1:248:1	O
-	VIZAMYL.xml:S1:249:1	O
800	VIZAMYL.xml:S1:250:3	O
-	VIZAMYL.xml:S1:253:1	O
654	VIZAMYL.xml:S1:254:3	O
-	VIZAMYL.xml:S1:257:1	O
0118	VIZAMYL.xml:S1:258:4	O
