6	VORAXAZE.xml:S1:4:1	O
ADVERSE	VORAXAZE.xml:S1:12:7	O
REACTIONS	VORAXAZE.xml:S1:20:9	O

Serious	VORAXAZE.xml:S1:33:7	B-Severity
allergic	VORAXAZE.xml:S1:41:8	B-AdverseReaction
reactions	VORAXAZE.xml:S1:50:9	I-AdverseReaction
,	VORAXAZE.xml:S1:59:1	O
including	VORAXAZE.xml:S1:61:9	O
anaphylactic	VORAXAZE.xml:S1:71:12	B-AdverseReaction
reactions	VORAXAZE.xml:S1:84:9	I-AdverseReaction
,	VORAXAZE.xml:S1:93:1	O
may	VORAXAZE.xml:S1:95:3	B-Factor
occur	VORAXAZE.xml:S1:99:5	O
.	VORAXAZE.xml:S1:104:1	O

The	VORAXAZE.xml:S1:106:3	O
most	VORAXAZE.xml:S1:110:4	O
common	VORAXAZE.xml:S1:115:6	O
adverse	VORAXAZE.xml:S1:122:7	O
reactions	VORAXAZE.xml:S1:130:9	O
(	VORAXAZE.xml:S1:140:1	O
incidence	VORAXAZE.xml:S1:141:9	O
1%	VORAXAZE.xml:S1:152:2	O
)	VORAXAZE.xml:S1:154:1	O
with	VORAXAZE.xml:S1:156:4	O
VORAXAZE	VORAXAZE.xml:S1:161:8	O
are	VORAXAZE.xml:S1:170:3	O
paraesthesias	VORAXAZE.xml:S1:174:13	B-AdverseReaction
,	VORAXAZE.xml:S1:187:1	O
flushing	VORAXAZE.xml:S1:189:8	B-AdverseReaction
,	VORAXAZE.xml:S1:197:1	O
nausea	VORAXAZE.xml:S1:199:6	B-AdverseReaction
and	VORAXAZE.xml:S1:206:3	O
or	VORAXAZE.xml:S1:210:2	O
vomiting	VORAXAZE.xml:S1:213:8	B-AdverseReaction
,	VORAXAZE.xml:S1:221:1	O
hypotension	VORAXAZE.xml:S1:223:11	B-AdverseReaction
,	VORAXAZE.xml:S1:234:1	O
and	VORAXAZE.xml:S1:236:3	O
headache	VORAXAZE.xml:S1:240:8	B-AdverseReaction
.	VORAXAZE.xml:S1:248:1	O

EXCERPT	VORAXAZE.xml:S1:256:7	O
:	VORAXAZE.xml:S1:263:1	O
In	VORAXAZE.xml:S1:267:2	O
clinical	VORAXAZE.xml:S1:270:8	O
trials	VORAXAZE.xml:S1:279:6	O
,	VORAXAZE.xml:S1:285:1	O
the	VORAXAZE.xml:S1:287:3	O
most	VORAXAZE.xml:S1:291:4	O
common	VORAXAZE.xml:S1:296:6	O
