6	XALKORI.xml:S1:4:1	O
ADVERSE	XALKORI.xml:S1:6:7	O
REACTIONS	XALKORI.xml:S1:14:9	O

The	XALKORI.xml:S1:27:3	O
following	XALKORI.xml:S1:31:9	O
adverse	XALKORI.xml:S1:41:7	O
reactions	XALKORI.xml:S1:49:9	O
are	XALKORI.xml:S1:59:3	O
discussed	XALKORI.xml:S1:63:9	O
in	XALKORI.xml:S1:73:2	O
greater	XALKORI.xml:S1:76:7	O
detail	XALKORI.xml:S1:84:6	O
in	XALKORI.xml:S1:91:2	O
other	XALKORI.xml:S1:94:5	O
sections	XALKORI.xml:S1:100:8	O
of	XALKORI.xml:S1:109:2	O
the	XALKORI.xml:S1:112:3	O
labeling	XALKORI.xml:S1:116:8	O
:	XALKORI.xml:S1:124:1	O

Hepatotoxicity	XALKORI.xml:S1:133:14	B-AdverseReaction
[	XALKORI.xml:S1:148:1	O
see	XALKORI.xml:S1:149:3	O
Warnings	XALKORI.xml:S1:154:8	O
and	XALKORI.xml:S1:163:3	O
Precautions	XALKORI.xml:S1:167:11	O
(	XALKORI.xml:S1:179:1	O
5.1	XALKORI.xml:S1:180:3	O
)	XALKORI.xml:S1:183:1	O
]	XALKORI.xml:S1:186:1	O

Interstitial	XALKORI.xml:S1:194:12	B-AdverseReaction
Lung	XALKORI.xml:S1:207:4	I-AdverseReaction
Disease	XALKORI.xml:S1:212:7	I-AdverseReaction
Pneumonitis	XALKORI.xml:S1:220:11	B-AdverseReaction
[	XALKORI.xml:S1:232:1	O
see	XALKORI.xml:S1:233:3	O
Warnings	XALKORI.xml:S1:238:8	O
and	XALKORI.xml:S1:247:3	O
Precautions	XALKORI.xml:S1:251:11	O
(	XALKORI.xml:S1:263:1	O
5.2	XALKORI.xml:S1:264:3	O
)	XALKORI.xml:S1:267:1	O
]	XALKORI.xml:S1:270:1	O

QT	XALKORI.xml:S1:278:2	B-AdverseReaction
Interval	XALKORI.xml:S1:281:8	I-AdverseReaction
Prolongation	XALKORI.xml:S1:290:12	I-AdverseReaction
[	XALKORI.xml:S1:303:1	O
see	XALKORI.xml:S1:304:3	O
Warnings	XALKORI.xml:S1:309:8	O
and	XALKORI.xml:S1:318:3	O
Precautions	XALKORI.xml:S1:322:11	O
(	XALKORI.xml:S1:334:1	O
5.3	XALKORI.xml:S1:335:3	O
)	XALKORI.xml:S1:338:1	O
]	XALKORI.xml:S1:341:1	O

Bradycardia	XALKORI.xml:S1:349:11	B-AdverseReaction
[	XALKORI.xml:S1:361:1	O
see	XALKORI.xml:S1:362:3	O
Warnings	XALKORI.xml:S1:367:8	O
and	XALKORI.xml:S1:376:3	O
Precautions	XALKORI.xml:S1:380:11	O
(	XALKORI.xml:S1:392:1	O
5.4	XALKORI.xml:S1:393:3	O
)	XALKORI.xml:S1:396:1	O
]	XALKORI.xml:S1:399:1	O

Severe	XALKORI.xml:S1:407:6	B-Severity
Visual	XALKORI.xml:S1:414:6	B-AdverseReaction
Loss	XALKORI.xml:S1:421:4	I-AdverseReaction
[	XALKORI.xml:S1:426:1	O
see	XALKORI.xml:S1:427:3	O
Warnings	XALKORI.xml:S1:432:8	O
and	XALKORI.xml:S1:441:3	O
Precautions	XALKORI.xml:S1:445:11	O
(	XALKORI.xml:S1:457:1	O
5.5	XALKORI.xml:S1:458:3	O
)	XALKORI.xml:S1:461:1	O
]	XALKORI.xml:S1:464:1	O

EXCERPT	XALKORI.xml:S1:474:7	O
:	XALKORI.xml:S1:481:1	O
The	XALKORI.xml:S1:485:3	O
most	XALKORI.xml:S1:489:4	O
common	XALKORI.xml:S1:494:6	O
adverse	XALKORI.xml:S1:501:7	O
reactions	XALKORI.xml:S1:509:9	O
(	XALKORI.xml:S1:519:1	O
25%	XALKORI.xml:S1:522:3	O
)	XALKORI.xml:S1:525:1	O
are	XALKORI.xml:S1:527:3	O
vision	XALKORI.xml:S1:531:6	B-AdverseReaction
disorders	XALKORI.xml:S1:538:9	I-AdverseReaction
,	XALKORI.xml:S1:547:1	O
diarrhea	XALKORI.xml:S1:549:8	B-AdverseReaction
,	XALKORI.xml:S1:557:1	O
nausea	XALKORI.xml:S1:559:6	B-AdverseReaction
,	XALKORI.xml:S1:565:1	O
vomiting	XALKORI.xml:S1:567:8	B-AdverseReaction
