6	XEOMIN.xml:S1:4:1	O
ADVERSE	XEOMIN.xml:S1:6:7	O
REACTIONS	XEOMIN.xml:S1:14:9	O

The	XEOMIN.xml:S1:27:3	O
following	XEOMIN.xml:S1:31:9	O
adverse	XEOMIN.xml:S1:41:7	O
reactions	XEOMIN.xml:S1:49:9	O
to	XEOMIN.xml:S1:59:2	O
XEOMIN	XEOMIN.xml:S1:62:6	O
are	XEOMIN.xml:S1:69:3	O
discussed	XEOMIN.xml:S1:73:9	O
in	XEOMIN.xml:S1:83:2	O
greater	XEOMIN.xml:S1:86:7	O
detail	XEOMIN.xml:S1:94:6	O
in	XEOMIN.xml:S1:101:2	O
other	XEOMIN.xml:S1:104:5	O
sections	XEOMIN.xml:S1:110:8	O
of	XEOMIN.xml:S1:119:2	O
the	XEOMIN.xml:S1:122:3	O
labeling	XEOMIN.xml:S1:126:8	O
:	XEOMIN.xml:S1:134:1	O

Hypersensitivity	XEOMIN.xml:S1:143:16	B-AdverseReaction
[	XEOMIN.xml:S1:160:1	O
see	XEOMIN.xml:S1:162:3	O
Contraindications	XEOMIN.xml:S1:167:17	O
(	XEOMIN.xml:S1:185:1	O
4	XEOMIN.xml:S1:186:1	O
)	XEOMIN.xml:S1:187:1	O
and	XEOMIN.xml:S1:190:3	O
Warnings	XEOMIN.xml:S1:195:8	O
and	XEOMIN.xml:S1:204:3	O
Precautions	XEOMIN.xml:S1:208:11	O
(	XEOMIN.xml:S1:220:1	O
5.3	XEOMIN.xml:S1:221:3	O
)	XEOMIN.xml:S1:224:1	O
]	XEOMIN.xml:S1:227:1	O

Dysphagia	XEOMIN.xml:S1:235:9	B-AdverseReaction
and	XEOMIN.xml:S1:245:3	O
Breathing	XEOMIN.xml:S1:249:9	B-AdverseReaction
Difficulties	XEOMIN.xml:S1:259:12	I-AdverseReaction
in	XEOMIN.xml:S1:272:2	O
Treatment	XEOMIN.xml:S1:275:9	O
of	XEOMIN.xml:S1:285:2	O
cervical	XEOMIN.xml:S1:288:8	O
dystonia	XEOMIN.xml:S1:297:8	O
[	XEOMIN.xml:S1:306:1	O
see	XEOMIN.xml:S1:308:3	O
Warnings	XEOMIN.xml:S1:313:8	O
and	XEOMIN.xml:S1:322:3	O
Precautions	XEOMIN.xml:S1:326:11	O
(	XEOMIN.xml:S1:338:1	O
5.4	XEOMIN.xml:S1:339:3	O
)	XEOMIN.xml:S1:342:1	O
]	XEOMIN.xml:S1:346:1	O

Spread	XEOMIN.xml:S1:353:6	B-AdverseReaction
of	XEOMIN.xml:S1:360:2	I-AdverseReaction
Effects	XEOMIN.xml:S1:363:7	I-AdverseReaction
from	XEOMIN.xml:S1:371:4	I-AdverseReaction
Toxin	XEOMIN.xml:S1:376:5	I-AdverseReaction
[	XEOMIN.xml:S1:382:1	O
see	XEOMIN.xml:S1:383:3	O
Warnings	XEOMIN.xml:S1:388:8	O
and	XEOMIN.xml:S1:397:3	O
Precautions	XEOMIN.xml:S1:401:11	O
(	XEOMIN.xml:S1:413:1	O
5.1	XEOMIN.xml:S1:414:3	O
)	XEOMIN.xml:S1:417:1	O
]	XEOMIN.xml:S1:420:1	O

EXCERPT	XEOMIN.xml:S1:430:7	O
:	XEOMIN.xml:S1:437:1	O
Cervical	XEOMIN.xml:S1:443:8	O
Dystonia	XEOMIN.xml:S1:452:8	O
:	XEOMIN.xml:S1:460:1	O
The	XEOMIN.xml:S1:463:3	O
most	XEOMIN.xml:S1:467:4	O
commonly	XEOMIN.xml:S1:472:8	O
observed	XEOMIN.xml:S1:481:8	O
adverse	XEOMIN.xml:S1:490:7	O
reactions	XEOMIN.xml:S1:498:9	O
(	XEOMIN.xml:S1:508:1	O
5%	XEOMIN.xml:S1:511:2	O
of	XEOMIN.xml:S1:514:2	O
patients	XEOMIN.xml:S1:517:8	O
and	XEOMIN.xml:S1:526:3	O
placebo	XEOMIN.xml:S1:532:7	O
)	XEOMIN.xml:S1:539:1	O
are	XEOMIN.xml:S1:541:3	O
dysphagia	XEOMIN.xml:S1:545:9	B-AdverseReaction
,	XEOMIN.xml:S1:554:1	O
neck	XEOMIN.xml:S1:556:4	B-AdverseReaction
pain	XEOMIN.xml:S1:561:4	I-AdverseReaction
,	XEOMIN.xml:S1:565:1	O
muscle	XEOMIN.xml:S1:567:6	B-AdverseReaction
weakness	XEOMIN.xml:S1:574:8	I-AdverseReaction
,	XEOMIN.xml:S1:582:1	O
injection	XEOMIN.xml:S1:584:9	B-AdverseReaction
site	XEOMIN.xml:S1:594:4	I-AdverseReaction
pain	XEOMIN.xml:S1:599:4	I-AdverseReaction
,	XEOMIN.xml:S1:603:1	O
and	XEOMIN.xml:S1:605:3	O
musculoskeletal	XEOMIN.xml:S1:609:15	B-AdverseReaction
pain	XEOMIN.xml:S1:625:4	I-AdverseReaction
(	XEOMIN.xml:S1:630:1	O
6.1	XEOMIN.xml:S1:633:3	O
)	XEOMIN.xml:S1:638:1	O
.	XEOMIN.xml:S1:639:1	O

Blepharospasm	XEOMIN.xml:S1:647:13	O

:	XEOMIN.xml:S1:660:1	O
The	XEOMIN.xml:S1:663:3	O
most	XEOMIN.xml:S1:667:4	O
commonly	XEOMIN.xml:S1:672:8	O
observed	XEOMIN.xml:S1:681:8	O
adverse	XEOMIN.xml:S1:690:7	O
reactions	XEOMIN.xml:S1:698:9	O
(	XEOMIN.xml:S1:708:1	O
5%	XEOMIN.xml:S1:711:2	O
of	XEOMIN.xml:S1:714:2	O
patients	XEOMIN.xml:S1:717:8	O
and	XEOMIN.xml:S1:726:3	O
placebo	XEOMIN.xml:S1:732:7	O
)	XEOMIN.xml:S1:739:1	O
are	XEOMIN.xml:S1:741:3	O
eyelid	XEOMIN.xml:S1:745:6	B-AdverseReaction
ptosis	XEOMIN.xml:S1:752:6	I-AdverseReaction
,	XEOMIN.xml:S1:758:1	O
dry	XEOMIN.xml:S1:760:3	B-AdverseReaction
eye	XEOMIN.xml:S1:764:3	I-AdverseReaction
,	XEOMIN.xml:S1:767:1	O
dry	XEOMIN.xml:S1:769:3	B-AdverseReaction
mouth	XEOMIN.xml:S1:773:5	I-AdverseReaction
,	XEOMIN.xml:S1:778:1	O
diarrhea	XEOMIN.xml:S1:780:8	B-AdverseReaction
,	XEOMIN.xml:S1:788:1	O
headache	XEOMIN.xml:S1:790:8	B-AdverseReaction
,	XEOMIN.xml:S1:798:1	O
visual	XEOMIN.xml:S1:800:6	B-AdverseReaction
impairment	XEOMIN.xml:S1:807:10	I-AdverseReaction
,	XEOMIN.xml:S1:817:1	O
dyspnea	XEOMIN.xml:S1:819:7	B-AdverseReaction
,	XEOMIN.xml:S1:826:1	O
nasopharyngitis	XEOMIN.xml:S1:828:15	B-AdverseReaction
,	XEOMIN.xml:S1:843:1	O
and	XEOMIN.xml:S1:845:3	O
respiratory	XEOMIN.xml:S1:849:11	B-AdverseReaction
tract	XEOMIN.xml:S1:861:5	I-AdverseReaction
infection	XEOMIN.xml:S1:867:9	I-AdverseReaction
(	XEOMIN.xml:S1:877:1	O
6.1	XEOMIN.xml:S1:880:3	O
)	XEOMIN.xml:S1:885:1	O
.	XEOMIN.xml:S1:886:1	O

Glabellar	XEOMIN.xml:S1:894:9	O
Lines	XEOMIN.xml:S1:904:5	O
:	XEOMIN.xml:S1:909:1	O
The	XEOMIN.xml:S1:912:3	O
most	XEOMIN.xml:S1:916:4	O
commonly	XEOMIN.xml:S1:921:8	O
observed	XEOMIN.xml:S1:930:8	O
adverse	XEOMIN.xml:S1:939:7	O
reaction	XEOMIN.xml:S1:947:8	O
(	XEOMIN.xml:S1:956:1	O
1%	XEOMIN.xml:S1:958:2	O
of	XEOMIN.xml:S1:961:2	O
patients	XEOMIN.xml:S1:964:8	O
and	XEOMIN.xml:S1:973:3	O
placebo	XEOMIN.xml:S1:979:7	O
)	XEOMIN.xml:S1:986:1	O
is	XEOMIN.xml:S1:988:2	O
headache	XEOMIN.xml:S1:991:8	B-AdverseReaction
(	XEOMIN.xml:S1:1000:1	O
6.1	XEOMIN.xml:S1:1003:3	O
)	XEOMIN.xml:S1:1008:1	O
.	XEOMIN.xml:S1:1009:1	O

To	XEOMIN.xml:S1:1017:2	O
report	XEOMIN.xml:S1:1020:6	O
SUSPECTED	XEOMIN.xml:S1:1027:9	O
ADVERSE	XEOMIN.xml:S1:1037:7	O
REACTIONS	XEOMIN.xml:S1:1045:9	O
,	XEOMIN.xml:S1:1054:1	O
contact	XEOMIN.xml:S1:1056:7	O
Merz	XEOMIN.xml:S1:1064:4	O
Pharmaceuticals	XEOMIN.xml:S1:1069:15	O
,	XEOMIN.xml:S1:1084:1	O
LLC	XEOMIN.xml:S1:1086:3	O
at	XEOMIN.xml:S1:1090:2	O
