6	XIAFLEX.xml:S1:4:1	O
ADVERSE	XIAFLEX.xml:S1:6:7	O
REACTIONS	XIAFLEX.xml:S1:14:9	O

The	XIAFLEX.xml:S1:27:3	O
following	XIAFLEX.xml:S1:31:9	O
serious	XIAFLEX.xml:S1:41:7	O
adverse	XIAFLEX.xml:S1:49:7	O
reactions	XIAFLEX.xml:S1:57:9	O
in	XIAFLEX.xml:S1:67:2	O
patients	XIAFLEX.xml:S1:70:8	O
with	XIAFLEX.xml:S1:79:4	O
Dupuytren	XIAFLEX.xml:S1:84:9	O
's	XIAFLEX.xml:S1:93:2	O
contracture	XIAFLEX.xml:S1:96:11	O
are	XIAFLEX.xml:S1:108:3	O
discussed	XIAFLEX.xml:S1:112:9	O
in	XIAFLEX.xml:S1:122:2	O
greater	XIAFLEX.xml:S1:125:7	O
detail	XIAFLEX.xml:S1:133:6	O
elsewhere	XIAFLEX.xml:S1:140:9	O
in	XIAFLEX.xml:S1:150:2	O
the	XIAFLEX.xml:S1:153:3	O
labeling	XIAFLEX.xml:S1:157:8	O
:	XIAFLEX.xml:S1:165:1	O

Tendon	XIAFLEX.xml:S1:174:6	B-AdverseReaction
ruptures	XIAFLEX.xml:S1:181:8	I-AdverseReaction
or	XIAFLEX.xml:S1:190:2	O
other	XIAFLEX.xml:S1:193:5	O
serious	XIAFLEX.xml:S1:199:7	B-Severity
injury	XIAFLEX.xml:S1:207:6	B-AdverseReaction
to	XIAFLEX.xml:S1:214:2	I-AdverseReaction
the	XIAFLEX.xml:S1:217:3	I-AdverseReaction
injected	XIAFLEX.xml:S1:221:8	I-AdverseReaction
extremity	XIAFLEX.xml:S1:230:9	I-AdverseReaction
[	XIAFLEX.xml:S1:242:1	O
see	XIAFLEX.xml:S1:243:3	O
Warnings	XIAFLEX.xml:S1:247:8	O
and	XIAFLEX.xml:S1:256:3	O
Precautions	XIAFLEX.xml:S1:260:11	O
(	XIAFLEX.xml:S1:272:1	O
5.1	XIAFLEX.xml:S1:273:3	O
)]	XIAFLEX.xml:S1:276:2	O

The	XIAFLEX.xml:S1:287:3	O
following	XIAFLEX.xml:S1:291:9	O
serious	XIAFLEX.xml:S1:301:7	O
adverse	XIAFLEX.xml:S1:309:7	O
reactions	XIAFLEX.xml:S1:317:9	O
in	XIAFLEX.xml:S1:327:2	O
patients	XIAFLEX.xml:S1:330:8	O
with	XIAFLEX.xml:S1:339:4	O
Peyronie	XIAFLEX.xml:S1:344:8	O
's	XIAFLEX.xml:S1:352:2	O
disease	XIAFLEX.xml:S1:355:7	O
are	XIAFLEX.xml:S1:363:3	O
discussed	XIAFLEX.xml:S1:367:9	O
in	XIAFLEX.xml:S1:377:2	O
greater	XIAFLEX.xml:S1:380:7	O
detail	XIAFLEX.xml:S1:388:6	O
elsewhere	XIAFLEX.xml:S1:395:9	O
in	XIAFLEX.xml:S1:405:2	O
the	XIAFLEX.xml:S1:408:3	O
labeling	XIAFLEX.xml:S1:412:8	O
:	XIAFLEX.xml:S1:420:1	O

Corporal	XIAFLEX.xml:S1:429:8	B-AdverseReaction

rupture	XIAFLEX.xml:S1:438:7	I-AdverseReaction
(	XIAFLEX.xml:S1:446:1	O
penile	XIAFLEX.xml:S1:447:6	B-AdverseReaction
fracture	XIAFLEX.xml:S1:454:8	I-AdverseReaction
)	XIAFLEX.xml:S1:462:1	O
and	XIAFLEX.xml:S1:464:3	O
severe	XIAFLEX.xml:S1:468:6	B-Severity
penile	XIAFLEX.xml:S1:475:6	B-AdverseReaction
hematoma	XIAFLEX.xml:S1:482:8	I-AdverseReaction
[	XIAFLEX.xml:S1:493:1	O
see	XIAFLEX.xml:S1:494:3	O
Warnings	XIAFLEX.xml:S1:498:8	O
and	XIAFLEX.xml:S1:507:3	O
Precautions	XIAFLEX.xml:S1:511:11	O
(	XIAFLEX.xml:S1:523:1	O
5.2	XIAFLEX.xml:S1:524:3	O
)]	XIAFLEX.xml:S1:527:2	O

In	XIAFLEX.xml:S1:538:2	O
other	XIAFLEX.xml:S1:541:5	O
XIAFLEX	XIAFLEX.xml:S1:547:7	O
-	XIAFLEX.xml:S1:554:1	O
treated	XIAFLEX.xml:S1:555:7	O
patients	XIAFLEX.xml:S1:563:8	O
,	XIAFLEX.xml:S1:571:1	O
a	XIAFLEX.xml:S1:573:1	O
combination	XIAFLEX.xml:S1:575:11	O
of	XIAFLEX.xml:S1:587:2	O
penile	XIAFLEX.xml:S1:590:6	B-AdverseReaction
ecchymoses	XIAFLEX.xml:S1:597:10	I-AdverseReaction
or	XIAFLEX.xml:S1:608:2	O
hematoma	XIAFLEX.xml:S1:611:8	I-AdverseReaction
