6	XTANDI.xml:S1:4:1	O
ADVERSE	XTANDI.xml:S1:6:7	O
REACTIONS	XTANDI.xml:S1:14:9	O

The	XTANDI.xml:S1:27:3	O
following	XTANDI.xml:S1:31:9	O
is	XTANDI.xml:S1:41:2	O
discussed	XTANDI.xml:S1:44:9	O
in	XTANDI.xml:S1:54:2	O
more	XTANDI.xml:S1:57:4	O
detail	XTANDI.xml:S1:62:6	O
in	XTANDI.xml:S1:69:2	O
other	XTANDI.xml:S1:72:5	O
sections	XTANDI.xml:S1:78:8	O
of	XTANDI.xml:S1:87:2	O
the	XTANDI.xml:S1:90:3	O
labeling	XTANDI.xml:S1:94:8	O
:	XTANDI.xml:S1:102:1	O

Seizure	XTANDI.xml:S1:113:7	B-AdverseReaction
[	XTANDI.xml:S1:121:1	O
see	XTANDI.xml:S1:122:3	O
Warnings	XTANDI.xml:S1:127:8	O
and	XTANDI.xml:S1:136:3	O
Precautions	XTANDI.xml:S1:140:11	O
(	XTANDI.xml:S1:153:1	O
5.1	XTANDI.xml:S1:156:3	O
)]	XTANDI.xml:S1:161:2	O

EXCERPT	XTANDI.xml:S1:172:7	O
:	XTANDI.xml:S1:179:1	O
The	XTANDI.xml:S1:183:3	O
most	XTANDI.xml:S1:187:4	O
common	XTANDI.xml:S1:192:6	O
adverse	XTANDI.xml:S1:199:7	O
reactions	XTANDI.xml:S1:207:9	O
(	XTANDI.xml:S1:217:1	O
10%	XTANDI.xml:S1:221:3	O
)	XTANDI.xml:S1:224:1	O
are	XTANDI.xml:S1:226:3	O
asthenia	XTANDI.xml:S1:230:8	B-AdverseReaction
fatigue	XTANDI.xml:S1:239:7	B-AdverseReaction
,	XTANDI.xml:S1:246:1	O
back	XTANDI.xml:S1:248:4	B-AdverseReaction
pain	XTANDI.xml:S1:253:4	I-AdverseReaction
,	XTANDI.xml:S1:257:1	O
decreased	XTANDI.xml:S1:259:9	B-AdverseReaction
appetite	XTANDI.xml:S1:269:8	I-AdverseReaction
,	XTANDI.xml:S1:277:1	O
constipation	XTANDI.xml:S1:279:12	B-AdverseReaction
,	XTANDI.xml:S1:291:1	O
arthralgia	XTANDI.xml:S1:293:10	B-AdverseReaction
,	XTANDI.xml:S1:303:1	O
diarrhea	XTANDI.xml:S1:305:8	B-AdverseReaction
,	XTANDI.xml:S1:313:1	O
hot	XTANDI.xml:S1:315:3	B-AdverseReaction
flush	XTANDI.xml:S1:319:5	I-AdverseReaction
,	XTANDI.xml:S1:324:1	O
upper	XTANDI.xml:S1:326:5	B-AdverseReaction
respiratory	XTANDI.xml:S1:332:11	I-AdverseReaction
tract	XTANDI.xml:S1:344:5	I-AdverseReaction
infection	XTANDI.xml:S1:350:9	I-AdverseReaction
,	XTANDI.xml:S1:359:1	O
peripheral	XTANDI.xml:S1:361:10	B-AdverseReaction
edema	XTANDI.xml:S1:372:5	I-AdverseReaction
,	XTANDI.xml:S1:377:1	O
