6	YERVOY.xml:S1:4:1	O
ADVERSE	YERVOY.xml:S1:9:7	O
REACTIONS	YERVOY.xml:S1:17:9	O

The	YERVOY.xml:S1:30:3	O
following	YERVOY.xml:S1:34:9	O
adverse	YERVOY.xml:S1:44:7	O
reactions	YERVOY.xml:S1:52:9	O
are	YERVOY.xml:S1:62:3	O
discussed	YERVOY.xml:S1:66:9	O
in	YERVOY.xml:S1:76:2	O
greater	YERVOY.xml:S1:79:7	O
detail	YERVOY.xml:S1:87:6	O
in	YERVOY.xml:S1:94:2	O
other	YERVOY.xml:S1:97:5	O
sections	YERVOY.xml:S1:103:8	O
of	YERVOY.xml:S1:112:2	O
the	YERVOY.xml:S1:115:3	O
labeling	YERVOY.xml:S1:119:8	O
.	YERVOY.xml:S1:127:1	O

?	YERVOY.xml:S1:136:1	O

Immune	YERVOY.xml:S1:139:6	B-AdverseReaction
-	YERVOY.xml:S1:145:1	I-AdverseReaction
mediated	YERVOY.xml:S1:146:8	I-AdverseReaction
enterocolitis	YERVOY.xml:S1:155:13	I-AdverseReaction
[	YERVOY.xml:S1:169:1	O
see	YERVOY.xml:S1:170:3	O
Warnings	YERVOY.xml:S1:175:8	O
and	YERVOY.xml:S1:184:3	O
Precautions	YERVOY.xml:S1:188:11	O
(	YERVOY.xml:S1:200:1	O
5.1	YERVOY.xml:S1:201:3	O
)	YERVOY.xml:S1:204:1	O
]	YERVOY.xml:S1:207:1	O
.	YERVOY.xml:S1:209:1	O

?	YERVOY.xml:S1:216:1	O

Immune	YERVOY.xml:S1:219:6	B-AdverseReaction
-	YERVOY.xml:S1:225:1	I-AdverseReaction
mediated	YERVOY.xml:S1:226:8	I-AdverseReaction
hepatitis	YERVOY.xml:S1:235:9	I-AdverseReaction
[	YERVOY.xml:S1:245:1	O
see	YERVOY.xml:S1:246:3	O
Warnings	YERVOY.xml:S1:251:8	O
and	YERVOY.xml:S1:260:3	O
Precautions	YERVOY.xml:S1:264:11	O
(	YERVOY.xml:S1:276:1	O
5.2	YERVOY.xml:S1:277:3	O
)	YERVOY.xml:S1:280:1	O
]	YERVOY.xml:S1:283:1	O
.	YERVOY.xml:S1:285:1	O

?	YERVOY.xml:S1:292:1	O

Immune	YERVOY.xml:S1:295:6	B-AdverseReaction
-	YERVOY.xml:S1:301:1	I-AdverseReaction
mediated	YERVOY.xml:S1:302:8	I-AdverseReaction
dermatitis	YERVOY.xml:S1:311:10	I-AdverseReaction
[	YERVOY.xml:S1:322:1	O
see	YERVOY.xml:S1:323:3	O
Warnings	YERVOY.xml:S1:328:8	O
and	YERVOY.xml:S1:337:3	O
Precautions	YERVOY.xml:S1:341:11	O
(	YERVOY.xml:S1:353:1	O
5.3	YERVOY.xml:S1:354:3	O
)	YERVOY.xml:S1:357:1	O
]	YERVOY.xml:S1:360:1	O
.	YERVOY.xml:S1:362:1	O
