6	ZERBAXA.xml:S1:4:1	O
ADVERSE	ZERBAXA.xml:S1:6:7	O
REACTIONS	ZERBAXA.xml:S1:14:9	O

The	ZERBAXA.xml:S1:27:3	O
following	ZERBAXA.xml:S1:31:9	O
serious	ZERBAXA.xml:S1:41:7	O
reactions	ZERBAXA.xml:S1:49:9	O
are	ZERBAXA.xml:S1:59:3	O
described	ZERBAXA.xml:S1:63:9	O
in	ZERBAXA.xml:S1:73:2	O
greater	ZERBAXA.xml:S1:76:7	O
detail	ZERBAXA.xml:S1:84:6	O
in	ZERBAXA.xml:S1:91:2	O
the	ZERBAXA.xml:S1:94:3	O
Warnings	ZERBAXA.xml:S1:98:8	O
and	ZERBAXA.xml:S1:107:3	O
Precautions	ZERBAXA.xml:S1:111:11	O
section	ZERBAXA.xml:S1:123:7	O
:	ZERBAXA.xml:S1:130:1	O

Hypersensitivity	ZERBAXA.xml:S1:139:16	B-AdverseReaction
reactions	ZERBAXA.xml:S1:156:9	I-AdverseReaction
[	ZERBAXA.xml:S1:166:1	O
see	ZERBAXA.xml:S1:167:3	O
Warnings	ZERBAXA.xml:S1:172:8	O
and	ZERBAXA.xml:S1:181:3	O
Precautions	ZERBAXA.xml:S1:185:11	O
(	ZERBAXA.xml:S1:197:1	O
5.2	ZERBAXA.xml:S1:198:3	O
)	ZERBAXA.xml:S1:201:1	O
]	ZERBAXA.xml:S1:204:1	O

Clostridium	ZERBAXA.xml:S1:213:11	B-AdverseReaction
difficile	ZERBAXA.xml:S1:225:9	I-AdverseReaction
-	ZERBAXA.xml:S1:235:1	I-AdverseReaction
associated	ZERBAXA.xml:S1:236:10	I-AdverseReaction
diarrhea	ZERBAXA.xml:S1:247:8	I-AdverseReaction
[	ZERBAXA.xml:S1:256:1	O
see	ZERBAXA.xml:S1:257:3	O
Warnings	ZERBAXA.xml:S1:262:8	O
and	ZERBAXA.xml:S1:271:3	O
Precautions	ZERBAXA.xml:S1:275:11	O
(	ZERBAXA.xml:S1:287:1	O
5.3	ZERBAXA.xml:S1:288:3	O
)	ZERBAXA.xml:S1:291:1	O
]	ZERBAXA.xml:S1:294:1	O

EXCERPT	ZERBAXA.xml:S1:304:7	O
:	ZERBAXA.xml:S1:311:1	O
The	ZERBAXA.xml:S1:315:3	O
most	ZERBAXA.xml:S1:319:4	O
common	ZERBAXA.xml:S1:324:6	O
adverse	ZERBAXA.xml:S1:331:7	O
reactions	ZERBAXA.xml:S1:339:9	O
(	ZERBAXA.xml:S1:349:1	O
5%	ZERBAXA.xml:S1:352:2	O
in	ZERBAXA.xml:S1:355:2	O
either	ZERBAXA.xml:S1:358:6	O
indication	ZERBAXA.xml:S1:365:10	O
)	ZERBAXA.xml:S1:375:1	O
are	ZERBAXA.xml:S1:377:3	O
nausea	ZERBAXA.xml:S1:381:6	B-AdverseReaction
,	ZERBAXA.xml:S1:387:1	O
diarrhea	ZERBAXA.xml:S1:389:8	B-AdverseReaction
,	ZERBAXA.xml:S1:397:1	O
headache	ZERBAXA.xml:S1:399:8	B-AdverseReaction
and	ZERBAXA.xml:S1:408:3	O
pyrexia	ZERBAXA.xml:S1:412:7	B-AdverseReaction
.	ZERBAXA.xml:S1:419:1	O

(	ZERBAXA.xml:S1:421:1	O
6.1	ZERBAXA.xml:S1:424:3	O
)	ZERBAXA.xml:S1:429:1	O
To	ZERBAXA.xml:S1:432:2	O
report	ZERBAXA.xml:S1:435:6	O
SUSPECTED	ZERBAXA.xml:S1:442:9	O
ADVERSE	ZERBAXA.xml:S1:452:7	O
REACTIONS	ZERBAXA.xml:S1:460:9	O
,	ZERBAXA.xml:S1:469:1	O
contact	ZERBAXA.xml:S1:471:7	O
Merck	ZERBAXA.xml:S1:479:5	O
Sharp	ZERBAXA.xml:S1:485:5	O
Dohme	ZERBAXA.xml:S1:493:5	O
Corp	ZERBAXA.xml:S1:499:4	O
.	ZERBAXA.xml:S1:503:1	O
,	ZERBAXA.xml:S1:504:1	O
a	ZERBAXA.xml:S1:506:1	O
subsidiary	ZERBAXA.xml:S1:508:10	O
of	ZERBAXA.xml:S1:519:2	O
Merck	ZERBAXA.xml:S1:522:5	O
Co	ZERBAXA.xml:S1:530:2	O
.	ZERBAXA.xml:S1:532:1	O
,	ZERBAXA.xml:S1:533:1	O
Inc	ZERBAXA.xml:S1:535:3	O
.	ZERBAXA.xml:S1:538:1	O
,	ZERBAXA.xml:S1:539:1	O
at	ZERBAXA.xml:S1:541:2	O
1	ZERBAXA.xml:S1:544:1	O
-	ZERBAXA.xml:S1:545:1	O
877	ZERBAXA.xml:S1:546:3	O
-	ZERBAXA.xml:S1:549:1	O
888	ZERBAXA.xml:S1:550:3	O
-	ZERBAXA.xml:S1:553:1	O
4231	ZERBAXA.xml:S1:554:4	O
or	ZERBAXA.xml:S1:559:2	O
FDA	ZERBAXA.xml:S1:562:3	O
at	ZERBAXA.xml:S1:566:2	O
1	ZERBAXA.xml:S1:569:1	O
-	ZERBAXA.xml:S1:570:1	O
800	ZERBAXA.xml:S1:571:3	O
-	ZERBAXA.xml:S1:574:1	O
FDA	ZERBAXA.xml:S1:575:3	O
-	ZERBAXA.xml:S1:578:1	O
1088	ZERBAXA.xml:S1:579:4	O
or	ZERBAXA.xml:S1:584:2	O
www	ZERBAXA.xml:S1:587:3	O
.	ZERBAXA.xml:S1:590:1	O
fda	ZERBAXA.xml:S1:591:3	O
.	ZERBAXA.xml:S1:594:1	O
gov	ZERBAXA.xml:S1:595:3	O
medwatch	ZERBAXA.xml:S1:599:8	O
.	ZERBAXA.xml:S1:607:1	O

6.1	ZERBAXA.xml:S1:619:3	O

Clinical	ZERBAXA.xml:S1:623:8	O

Trial	ZERBAXA.xml:S1:632:5	O
Experience	ZERBAXA.xml:S1:638:10	O

Because	ZERBAXA.xml:S1:652:7	O
clinical	ZERBAXA.xml:S1:660:8	O
trials	ZERBAXA.xml:S1:669:6	O
are	ZERBAXA.xml:S1:676:3	O
conducted	ZERBAXA.xml:S1:680:9	O
under	ZERBAXA.xml:S1:690:5	O
widely	ZERBAXA.xml:S1:696:6	O
varying	ZERBAXA.xml:S1:703:7	O
conditions	ZERBAXA.xml:S1:711:10	O
,	ZERBAXA.xml:S1:721:1	O
adverse	ZERBAXA.xml:S1:723:7	O
reaction	ZERBAXA.xml:S1:731:8	O
rates	ZERBAXA.xml:S1:740:5	O
observed	ZERBAXA.xml:S1:746:8	O
in	ZERBAXA.xml:S1:755:2	O
the	ZERBAXA.xml:S1:758:3	O
clinical	ZERBAXA.xml:S1:762:8	O
trials	ZERBAXA.xml:S1:771:6	O
of	ZERBAXA.xml:S1:778:2	O
a	ZERBAXA.xml:S1:781:1	O
drug	ZERBAXA.xml:S1:783:4	O
cannot	ZERBAXA.xml:S1:788:6	O
be	ZERBAXA.xml:S1:795:2	O
directly	ZERBAXA.xml:S1:798:8	O
compared	ZERBAXA.xml:S1:807:8	O
to	ZERBAXA.xml:S1:816:2	O
rates	ZERBAXA.xml:S1:819:5	O
in	ZERBAXA.xml:S1:825:2	O
the	ZERBAXA.xml:S1:828:3	O
clinical	ZERBAXA.xml:S1:832:8	O
trials	ZERBAXA.xml:S1:841:6	O
of	ZERBAXA.xml:S1:848:2	O
another	ZERBAXA.xml:S1:851:7	O
drug	ZERBAXA.xml:S1:859:4	O
and	ZERBAXA.xml:S1:864:3	O
also	ZERBAXA.xml:S1:868:4	O
may	ZERBAXA.xml:S1:873:3	O
not	ZERBAXA.xml:S1:877:3	O
reflect	ZERBAXA.xml:S1:881:7	O
rates	ZERBAXA.xml:S1:889:5	O
observed	ZERBAXA.xml:S1:895:8	O
in	ZERBAXA.xml:S1:904:2	O
practice	ZERBAXA.xml:S1:907:8	O
.	ZERBAXA.xml:S1:915:1	O

ZERBAXA	ZERBAXA.xml:S1:921:7	O
was	ZERBAXA.xml:S1:929:3	O
evaluated	ZERBAXA.xml:S1:933:9	O
in	ZERBAXA.xml:S1:943:2	O
Phase	ZERBAXA.xml:S1:946:5	O
3	ZERBAXA.xml:S1:952:1	O
comparator	ZERBAXA.xml:S1:954:10	O
-	ZERBAXA.xml:S1:964:1	O
controlled	ZERBAXA.xml:S1:965:10	O
clinical	ZERBAXA.xml:S1:976:8	O
trials	ZERBAXA.xml:S1:985:6	O
of	ZERBAXA.xml:S1:992:2	O
cIAI	ZERBAXA.xml:S1:995:4	O
and	ZERBAXA.xml:S1:1000:3	O
cUTI	ZERBAXA.xml:S1:1004:4	O
,	ZERBAXA.xml:S1:1008:1	O
which	ZERBAXA.xml:S1:1010:5	O
included	ZERBAXA.xml:S1:1016:8	O
a	ZERBAXA.xml:S1:1025:1	O
total	ZERBAXA.xml:S1:1027:5	O
of	ZERBAXA.xml:S1:1033:2	O
1015	ZERBAXA.xml:S1:1036:4	O
patients	ZERBAXA.xml:S1:1041:8	O
treated	ZERBAXA.xml:S1:1050:7	O
with	ZERBAXA.xml:S1:1058:4	O
ZERBAXA	ZERBAXA.xml:S1:1063:7	O
and	ZERBAXA.xml:S1:1071:3	O
