6	ZYKADIA.xml:S1:6:1	O
ADVERSE	ZYKADIA.xml:S1:12:7	O
REACTIONS	ZYKADIA.xml:S1:20:9	O

The	ZYKADIA.xml:S1:35:3	O
following	ZYKADIA.xml:S1:39:9	O
adverse	ZYKADIA.xml:S1:49:7	O
reactions	ZYKADIA.xml:S1:57:9	O
are	ZYKADIA.xml:S1:67:3	O
discussed	ZYKADIA.xml:S1:71:9	O
in	ZYKADIA.xml:S1:81:2	O
greater	ZYKADIA.xml:S1:84:7	O
detail	ZYKADIA.xml:S1:92:6	O
in	ZYKADIA.xml:S1:99:2	O
other	ZYKADIA.xml:S1:102:5	O
sections	ZYKADIA.xml:S1:108:8	O
of	ZYKADIA.xml:S1:117:2	O
the	ZYKADIA.xml:S1:120:3	O
labeling	ZYKADIA.xml:S1:124:8	O
:	ZYKADIA.xml:S1:132:1	O

Severe	ZYKADIA.xml:S1:141:6	B-Severity
or	ZYKADIA.xml:S1:148:2	O
Persistent	ZYKADIA.xml:S1:151:10	B-Severity
Gastrointestinal	ZYKADIA.xml:S1:162:16	B-AdverseReaction
Toxicity	ZYKADIA.xml:S1:179:8	I-AdverseReaction
[	ZYKADIA.xml:S1:188:1	O
see	ZYKADIA.xml:S1:189:3	O
Warnings	ZYKADIA.xml:S1:193:8	O
and	ZYKADIA.xml:S1:202:3	O
Precautions	ZYKADIA.xml:S1:206:11	O
(	ZYKADIA.xml:S1:218:1	O
5.1	ZYKADIA.xml:S1:219:3	O
)]	ZYKADIA.xml:S1:222:2	O

Hepatotoxicity	ZYKADIA.xml:S1:231:14	B-AdverseReaction
[	ZYKADIA.xml:S1:246:1	O
see	ZYKADIA.xml:S1:247:3	O
Warnings	ZYKADIA.xml:S1:251:8	O
and	ZYKADIA.xml:S1:260:3	O
Precautions	ZYKADIA.xml:S1:264:11	O
(	ZYKADIA.xml:S1:276:1	O
5.2	ZYKADIA.xml:S1:277:3	O
)]	ZYKADIA.xml:S1:280:2	O

Interstitial	ZYKADIA.xml:S1:289:12	B-AdverseReaction
Lung	ZYKADIA.xml:S1:302:4	I-AdverseReaction
Disease	ZYKADIA.xml:S1:307:7	I-AdverseReaction
Pneumonitis	ZYKADIA.xml:S1:315:11	B-AdverseReaction
[	ZYKADIA.xml:S1:327:1	O
see	ZYKADIA.xml:S1:328:3	O
Warnings	ZYKADIA.xml:S1:332:8	O
and	ZYKADIA.xml:S1:341:3	O
Precautions	ZYKADIA.xml:S1:345:11	O
(	ZYKADIA.xml:S1:357:1	O
5.3	ZYKADIA.xml:S1:358:3	O
)]	ZYKADIA.xml:S1:361:2	O

QT	ZYKADIA.xml:S1:370:2	B-AdverseReaction
Interval	ZYKADIA.xml:S1:373:8	I-AdverseReaction
Prolongation	ZYKADIA.xml:S1:382:12	I-AdverseReaction
[	ZYKADIA.xml:S1:395:1	O
see	ZYKADIA.xml:S1:396:3	O
Warnings	ZYKADIA.xml:S1:400:8	O
and	ZYKADIA.xml:S1:409:3	O
Precautions	ZYKADIA.xml:S1:413:11	O
(	ZYKADIA.xml:S1:425:1	O
5.4	ZYKADIA.xml:S1:426:3	O
)	ZYKADIA.xml:S1:429:1	O
and	ZYKADIA.xml:S1:431:3	O
Clinical	ZYKADIA.xml:S1:435:8	O
Pharmacology	ZYKADIA.xml:S1:444:12	O
(	ZYKADIA.xml:S1:457:1	O
12.2	ZYKADIA.xml:S1:458:4	O
)]	ZYKADIA.xml:S1:462:2	O

Hyperglycemia	ZYKADIA.xml:S1:471:13	B-AdverseReaction
[	ZYKADIA.xml:S1:485:1	O
see	ZYKADIA.xml:S1:486:3	O
Warnings	ZYKADIA.xml:S1:490:8	O
and	ZYKADIA.xml:S1:499:3	O
Precautions	ZYKADIA.xml:S1:503:11	O
(	ZYKADIA.xml:S1:515:1	O
5.5	ZYKADIA.xml:S1:516:3	O
)]	ZYKADIA.xml:S1:519:2	O

Bradycardia	ZYKADIA.xml:S1:528:11	B-AdverseReaction
[	ZYKADIA.xml:S1:540:1	O
see	ZYKADIA.xml:S1:541:3	O
Warnings	ZYKADIA.xml:S1:545:8	O
and	ZYKADIA.xml:S1:554:3	O
Precautions	ZYKADIA.xml:S1:558:11	O
(	ZYKADIA.xml:S1:570:1	O
5.6	ZYKADIA.xml:S1:571:3	O
)	ZYKADIA.xml:S1:574:1	O
and	ZYKADIA.xml:S1:576:3	O
Clinical	ZYKADIA.xml:S1:580:8	O
Pharmacology	ZYKADIA.xml:S1:589:12	O
(	ZYKADIA.xml:S1:602:1	O
12.2	ZYKADIA.xml:S1:603:4	O
)]	ZYKADIA.xml:S1:607:2	O

Pancreatitis	ZYKADIA.xml:S1:616:12	B-AdverseReaction
[	ZYKADIA.xml:S1:629:1	O
see	ZYKADIA.xml:S1:630:3	O
Warnings	ZYKADIA.xml:S1:634:8	O
and	ZYKADIA.xml:S1:643:3	O
Precautions	ZYKADIA.xml:S1:647:11	O
(	ZYKADIA.xml:S1:659:1	O
5.7	ZYKADIA.xml:S1:660:3	O
)]	ZYKADIA.xml:S1:663:2	O

EXCERPT	ZYKADIA.xml:S1:674:7	O
:	ZYKADIA.xml:S1:681:1	O
The	ZYKADIA.xml:S1:685:3	O
most	ZYKADIA.xml:S1:689:4	O
common	ZYKADIA.xml:S1:694:6	O
adverse	ZYKADIA.xml:S1:701:7	O
reactions	ZYKADIA.xml:S1:709:9	O
(	ZYKADIA.xml:S1:719:1	O
incidence	ZYKADIA.xml:S1:720:9	O
of	ZYKADIA.xml:S1:730:2	O
at	ZYKADIA.xml:S1:733:2	O
least	ZYKADIA.xml:S1:736:5	O
25%	ZYKADIA.xml:S1:742:3	O
)	ZYKADIA.xml:S1:745:1	O
are	ZYKADIA.xml:S1:747:3	O
diarrhea	ZYKADIA.xml:S1:751:8	B-AdverseReaction
,	ZYKADIA.xml:S1:759:1	O
nausea	ZYKADIA.xml:S1:761:6	B-AdverseReaction
,	ZYKADIA.xml:S1:767:1	O
elevated	ZYKADIA.xml:S1:769:8	B-AdverseReaction
transaminases	ZYKADIA.xml:S1:778:13	I-AdverseReaction
,	ZYKADIA.xml:S1:791:1	O
vomiting	ZYKADIA.xml:S1:793:8	B-AdverseReaction
,	ZYKADIA.xml:S1:801:1	O
abdominal	ZYKADIA.xml:S1:803:9	B-AdverseReaction
pain	ZYKADIA.xml:S1:813:4	I-AdverseReaction
,	ZYKADIA.xml:S1:817:1	O
fatigue	ZYKADIA.xml:S1:819:7	B-AdverseReaction
,	ZYKADIA.xml:S1:826:1	O
decreased	ZYKADIA.xml:S1:828:9	B-AdverseReaction
appetite	ZYKADIA.xml:S1:838:8	I-AdverseReaction
,	ZYKADIA.xml:S1:846:1	O
and	ZYKADIA.xml:S1:848:3	O
constipation	ZYKADIA.xml:S1:852:12	B-AdverseReaction
.	ZYKADIA.xml:S1:864:1	O

(	ZYKADIA.xml:S1:866:1	O
6	ZYKADIA.xml:S1:869:1	O
)	ZYKADIA.xml:S1:872:1	O

To	ZYKADIA.xml:S1:880:2	O

report	ZYKADIA.xml:S1:883:6	O
SUSPECTED	ZYKADIA.xml:S1:890:9	O
ADVERSE	ZYKADIA.xml:S1:900:7	O
REACTIONS	ZYKADIA.xml:S1:908:9	O
,	ZYKADIA.xml:S1:917:1	O
contact	ZYKADIA.xml:S1:919:7	O
Novartis	ZYKADIA.xml:S1:927:8	O
Pharmaceuticals	ZYKADIA.xml:S1:936:15	O
Corporation	ZYKADIA.xml:S1:952:11	O
at	ZYKADIA.xml:S1:964:2	O
1	ZYKADIA.xml:S1:967:1	O
-	ZYKADIA.xml:S1:968:1	O
888	ZYKADIA.xml:S1:969:3	O
-	ZYKADIA.xml:S1:972:1	O
669	ZYKADIA.xml:S1:973:3	O
-	ZYKADIA.xml:S1:976:1	O
6682	ZYKADIA.xml:S1:977:4	O
or	ZYKADIA.xml:S1:982:2	O
FDA	ZYKADIA.xml:S1:985:3	O
at	ZYKADIA.xml:S1:989:2	O
1	ZYKADIA.xml:S1:992:1	O
-	ZYKADIA.xml:S1:993:1	O
800	ZYKADIA.xml:S1:994:3	O
-	ZYKADIA.xml:S1:997:1	O
FDA	ZYKADIA.xml:S1:998:3	O
-	ZYKADIA.xml:S1:1001:1	O
1088	ZYKADIA.xml:S1:1002:4	O
or	ZYKADIA.xml:S1:1007:2	O
www	ZYKADIA.xml:S1:1011:3	O
.	ZYKADIA.xml:S1:1014:1	O
fda	ZYKADIA.xml:S1:1015:3	O
.	ZYKADIA.xml:S1:1018:1	O
gov	ZYKADIA.xml:S1:1019:3	O
medwatch	ZYKADIA.xml:S1:1023:8	O
.	ZYKADIA.xml:S1:1033:1	O

6.1	ZYKADIA.xml:S1:1045:3	O

Clinical	ZYKADIA.xml:S1:1053:8	O
Trials	ZYKADIA.xml:S1:1062:6	O
Experience	ZYKADIA.xml:S1:1069:10	O

Because	ZYKADIA.xml:S1:1083:7	O
clinical	ZYKADIA.xml:S1:1091:8	O
trials	ZYKADIA.xml:S1:1100:6	O
are	ZYKADIA.xml:S1:1107:3	O
conducted	ZYKADIA.xml:S1:1111:9	O
under	ZYKADIA.xml:S1:1121:5	O
widely	ZYKADIA.xml:S1:1127:6	O
varying	ZYKADIA.xml:S1:1134:7	O
conditions	ZYKADIA.xml:S1:1142:10	O
,	ZYKADIA.xml:S1:1152:1	O
adverse	ZYKADIA.xml:S1:1154:7	O
reaction	ZYKADIA.xml:S1:1162:8	O
rates	ZYKADIA.xml:S1:1171:5	O
observed	ZYKADIA.xml:S1:1177:8	O
in	ZYKADIA.xml:S1:1186:2	O
the	ZYKADIA.xml:S1:1189:3	O
clinical	ZYKADIA.xml:S1:1193:8	O
trials	ZYKADIA.xml:S1:1202:6	O
of	ZYKADIA.xml:S1:1209:2	O
a	ZYKADIA.xml:S1:1212:1	O
drug	ZYKADIA.xml:S1:1214:4	O
cannot	ZYKADIA.xml:S1:1219:6	O
be	ZYKADIA.xml:S1:1226:2	O
directly	ZYKADIA.xml:S1:1229:8	O
compared	ZYKADIA.xml:S1:1238:8	O
to	ZYKADIA.xml:S1:1247:2	O
rates	ZYKADIA.xml:S1:1250:5	O
in	ZYKADIA.xml:S1:1256:2	O
the	ZYKADIA.xml:S1:1259:3	O
clinical	ZYKADIA.xml:S1:1263:8	O
trials	ZYKADIA.xml:S1:1272:6	O
of	ZYKADIA.xml:S1:1279:2	O
another	ZYKADIA.xml:S1:1282:7	O
drug	ZYKADIA.xml:S1:1290:4	O
and	ZYKADIA.xml:S1:1295:3	O
may	ZYKADIA.xml:S1:1299:3	O
not	ZYKADIA.xml:S1:1303:3	O
reflect	ZYKADIA.xml:S1:1307:7	O
the	ZYKADIA.xml:S1:1315:3	O
rates	ZYKADIA.xml:S1:1319:5	O
observed	ZYKADIA.xml:S1:1325:8	O
