6	ZYTIGA.xml:S1:4:1	O
ADVERSE	ZYTIGA.xml:S1:6:7	O
REACTIONS	ZYTIGA.xml:S1:14:9	O

The	ZYTIGA.xml:S1:27:3	O
following	ZYTIGA.xml:S1:31:9	O
are	ZYTIGA.xml:S1:41:3	O
discussed	ZYTIGA.xml:S1:45:9	O
in	ZYTIGA.xml:S1:55:2	O
more	ZYTIGA.xml:S1:58:4	O
detail	ZYTIGA.xml:S1:63:6	O
in	ZYTIGA.xml:S1:70:2	O
other	ZYTIGA.xml:S1:73:5	O
sections	ZYTIGA.xml:S1:79:8	O
of	ZYTIGA.xml:S1:88:2	O
the	ZYTIGA.xml:S1:91:3	O
labeling	ZYTIGA.xml:S1:95:8	O
:	ZYTIGA.xml:S1:103:1	O

Hypertension	ZYTIGA.xml:S1:112:12	B-AdverseReaction
,	ZYTIGA.xml:S1:124:1	O
Hypokalemia	ZYTIGA.xml:S1:126:11	B-AdverseReaction
,	ZYTIGA.xml:S1:137:1	O
and	ZYTIGA.xml:S1:139:3	O
Fluid	ZYTIGA.xml:S1:143:5	B-AdverseReaction
Retention	ZYTIGA.xml:S1:149:9	I-AdverseReaction
due	ZYTIGA.xml:S1:159:3	O
to	ZYTIGA.xml:S1:163:2	O
Mineralocorticoid	ZYTIGA.xml:S1:166:17	B-AdverseReaction
Excess	ZYTIGA.xml:S1:184:6	I-AdverseReaction
[	ZYTIGA.xml:S1:191:1	O
seeWarnings	ZYTIGA.xml:S1:192:11	O
and	ZYTIGA.xml:S1:204:3	O
Precautions	ZYTIGA.xml:S1:208:11	O
(	ZYTIGA.xml:S1:220:1	O
5.1	ZYTIGA.xml:S1:221:3	O
)]	ZYTIGA.xml:S1:224:2	O
.	ZYTIGA.xml:S1:227:1	O

Adrenocortical	ZYTIGA.xml:S1:234:14	B-AdverseReaction
Insufficiency	ZYTIGA.xml:S1:249:13	I-AdverseReaction
[	ZYTIGA.xml:S1:263:1	O
seeWarnings	ZYTIGA.xml:S1:264:11	O
and	ZYTIGA.xml:S1:276:3	O
Precautions	ZYTIGA.xml:S1:280:11	O
(	ZYTIGA.xml:S1:292:1	O
5.2	ZYTIGA.xml:S1:293:3	O
)]	ZYTIGA.xml:S1:296:2	O
.	ZYTIGA.xml:S1:299:1	O

Hepatotoxicity	ZYTIGA.xml:S1:306:14	B-AdverseReaction
[	ZYTIGA.xml:S1:321:1	O
seeWarnings	ZYTIGA.xml:S1:322:11	O
and	ZYTIGA.xml:S1:334:3	O
Precautions	ZYTIGA.xml:S1:338:11	O
(	ZYTIGA.xml:S1:350:1	O
5.3	ZYTIGA.xml:S1:351:3	O
)]	ZYTIGA.xml:S1:354:2	O
.	ZYTIGA.xml:S1:357:1	O

EXCERPT	ZYTIGA.xml:S1:366:7	O
:	ZYTIGA.xml:S1:373:1	O
The	ZYTIGA.xml:S1:377:3	O
most	ZYTIGA.xml:S1:381:4	O
common	ZYTIGA.xml:S1:386:6	O
adverse	ZYTIGA.xml:S1:393:7	O
reactions	ZYTIGA.xml:S1:401:9	O
(	ZYTIGA.xml:S1:411:1	O
