6	TAFINLAR.xml:S1:4:1	O	O
ADVERSE	TAFINLAR.xml:S1:6:7	O	O
REACTIONS	TAFINLAR.xml:S1:14:9	O	O

The	TAFINLAR.xml:S1:27:3	O	O
following	TAFINLAR.xml:S1:31:9	O	O
adverse	TAFINLAR.xml:S1:41:7	O	O
reactions	TAFINLAR.xml:S1:49:9	O	O
are	TAFINLAR.xml:S1:59:3	O	O
discussed	TAFINLAR.xml:S1:63:9	O	O
in	TAFINLAR.xml:S1:73:2	O	O
greater	TAFINLAR.xml:S1:76:7	O	O
detail	TAFINLAR.xml:S1:84:6	O	O
in	TAFINLAR.xml:S1:91:2	O	O
another	TAFINLAR.xml:S1:94:7	O	O
section	TAFINLAR.xml:S1:102:7	O	O
of	TAFINLAR.xml:S1:110:2	O	O
the	TAFINLAR.xml:S1:113:3	O	O
label	TAFINLAR.xml:S1:117:5	O	O
:	TAFINLAR.xml:S1:122:1	O	O

New	TAFINLAR.xml:S1:133:3	O	B-AdverseReaction
Primary	TAFINLAR.xml:S1:137:7	B-AdverseReaction	I-AdverseReaction
Malignancies	TAFINLAR.xml:S1:145:12	I-AdverseReaction	I-AdverseReaction
[	TAFINLAR.xml:S1:158:1	O	O
see	TAFINLAR.xml:S1:159:3	O	O
Warnings	TAFINLAR.xml:S1:163:8	O	O
and	TAFINLAR.xml:S1:172:3	O	O
Precautions	TAFINLAR.xml:S1:176:11	O	O
(	TAFINLAR.xml:S1:188:1	O	O
5.1	TAFINLAR.xml:S1:189:3	O	O
)]	TAFINLAR.xml:S1:192:2	O	O

Tumor	TAFINLAR.xml:S1:203:5	B-AdverseReaction	O
Promotion	TAFINLAR.xml:S1:209:9	I-AdverseReaction	O
in	TAFINLAR.xml:S1:219:2	I-AdverseReaction	O
BRAF	TAFINLAR.xml:S1:222:4	I-AdverseReaction	O
Wild	TAFINLAR.xml:S1:227:4	I-AdverseReaction	O
-	TAFINLAR.xml:S1:231:1	I-AdverseReaction	O
Type	TAFINLAR.xml:S1:232:4	I-AdverseReaction	I-AdverseReaction
Melanoma	TAFINLAR.xml:S1:237:8	I-AdverseReaction	I-AdverseReaction
[	TAFINLAR.xml:S1:246:1	O	O
see	TAFINLAR.xml:S1:247:3	O	O
Warnings	TAFINLAR.xml:S1:251:8	O	O
and	TAFINLAR.xml:S1:260:3	O	O
Precautions	TAFINLAR.xml:S1:264:11	O	O
(	TAFINLAR.xml:S1:276:1	O	O
5.2	TAFINLAR.xml:S1:277:3	O	O
)]	TAFINLAR.xml:S1:280:2	O	O

Hemorrhage	TAFINLAR.xml:S1:291:10	B-AdverseReaction	B-AdverseReaction
[	TAFINLAR.xml:S1:302:1	O	O
see	TAFINLAR.xml:S1:303:3	O	O
Warnings	TAFINLAR.xml:S1:307:8	O	O
and	TAFINLAR.xml:S1:316:3	O	O
Precautions	TAFINLAR.xml:S1:320:11	O	O
(	TAFINLAR.xml:S1:332:1	O	O
5.3	TAFINLAR.xml:S1:333:3	O	O
)]	TAFINLAR.xml:S1:336:2	O	O

Venous	TAFINLAR.xml:S1:347:6	B-AdverseReaction	B-AdverseReaction
Thromboembolism	TAFINLAR.xml:S1:354:15	I-AdverseReaction	I-AdverseReaction
[	TAFINLAR.xml:S1:370:1	O	O
see	TAFINLAR.xml:S1:371:3	O	O
Warnings	TAFINLAR.xml:S1:375:8	O	O
and	TAFINLAR.xml:S1:384:3	O	O
Precautions	TAFINLAR.xml:S1:388:11	O	O
(	TAFINLAR.xml:S1:400:1	O	O
5.4	TAFINLAR.xml:S1:401:3	O	O
)]	TAFINLAR.xml:S1:404:2	O	O

Cardiomyopathy	TAFINLAR.xml:S1:415:14	B-AdverseReaction	B-AdverseReaction
[	TAFINLAR.xml:S1:430:1	O	O
see	TAFINLAR.xml:S1:431:3	O	O
Warnings	TAFINLAR.xml:S1:435:8	O	O
and	TAFINLAR.xml:S1:444:3	O	O
Precautions	TAFINLAR.xml:S1:448:11	O	O
(	TAFINLAR.xml:S1:460:1	O	O
5.5	TAFINLAR.xml:S1:461:3	O	O
)]	TAFINLAR.xml:S1:464:2	O	O

Ocular	TAFINLAR.xml:S1:475:6	B-AdverseReaction	B-AdverseReaction
Toxicities	TAFINLAR.xml:S1:482:10	I-AdverseReaction	I-AdverseReaction
[	TAFINLAR.xml:S1:493:1	O	O
see	TAFINLAR.xml:S1:494:3	O	O
Warnings	TAFINLAR.xml:S1:498:8	O	O
and	TAFINLAR.xml:S1:507:3	O	O
Precautions	TAFINLAR.xml:S1:511:11	O	O
(	TAFINLAR.xml:S1:523:1	O	O
5.6	TAFINLAR.xml:S1:524:3	O	O
)]	TAFINLAR.xml:S1:527:2	O	O

Serious	TAFINLAR.xml:S1:538:7	B-Severity	B-Severity
Febrile	TAFINLAR.xml:S1:546:7	B-AdverseReaction	B-AdverseReaction
Reactions	TAFINLAR.xml:S1:554:9	I-AdverseReaction	I-AdverseReaction
[	TAFINLAR.xml:S1:564:1	O	O
see	TAFINLAR.xml:S1:565:3	O	O
Warnings	TAFINLAR.xml:S1:569:8	O	O
and	TAFINLAR.xml:S1:578:3	O	O
Precautions	TAFINLAR.xml:S1:582:11	O	O
(	TAFINLAR.xml:S1:594:1	O	O
5.7	TAFINLAR.xml:S1:595:3	O	O
)]	TAFINLAR.xml:S1:598:2	O	O

Serious	TAFINLAR.xml:S1:609:7	B-Severity	B-Severity
Skin	TAFINLAR.xml:S1:617:4	B-AdverseReaction	B-AdverseReaction
Toxicity	TAFINLAR.xml:S1:622:8	I-AdverseReaction	I-AdverseReaction
[	TAFINLAR.xml:S1:631:1	O	O
see	TAFINLAR.xml:S1:632:3	O	O
Warnings	TAFINLAR.xml:S1:636:8	O	O
and	TAFINLAR.xml:S1:645:3	O	O
Precautions	TAFINLAR.xml:S1:649:11	O	O
(	TAFINLAR.xml:S1:661:1	O	O
5.8	TAFINLAR.xml:S1:662:3	O	O
)]	TAFINLAR.xml:S1:665:2	O	O

Hyperglycemia	TAFINLAR.xml:S1:676:13	B-AdverseReaction	B-AdverseReaction
[	TAFINLAR.xml:S1:690:1	O	O
see	TAFINLAR.xml:S1:691:3	O	O
Warnings	TAFINLAR.xml:S1:695:8	O	O
and	TAFINLAR.xml:S1:704:3	O	O
Precautions	TAFINLAR.xml:S1:708:11	O	O
(	TAFINLAR.xml:S1:720:1	O	O
5.9	TAFINLAR.xml:S1:721:3	O	O
)]	TAFINLAR.xml:S1:724:2	O	O

Glucose	TAFINLAR.xml:S1:735:7	B-AdverseReaction	O
-	TAFINLAR.xml:S1:742:1	I-AdverseReaction	O
6	TAFINLAR.xml:S1:743:1	I-AdverseReaction	O
-	TAFINLAR.xml:S1:744:1	I-AdverseReaction	O
Phosphate	TAFINLAR.xml:S1:745:9	I-AdverseReaction	O
Dehydrogenase	TAFINLAR.xml:S1:755:13	I-AdverseReaction	O
Deficiency	TAFINLAR.xml:S1:769:10	I-AdverseReaction	O
[	TAFINLAR.xml:S1:780:1	O	O
see	TAFINLAR.xml:S1:781:3	O	O
Warnings	TAFINLAR.xml:S1:785:8	O	O
and	TAFINLAR.xml:S1:794:3	O	O
Precautions	TAFINLAR.xml:S1:798:11	O	O
(	TAFINLAR.xml:S1:810:1	O	O
5.10	TAFINLAR.xml:S1:811:4	O	O
)]	TAFINLAR.xml:S1:815:2	O	O

Most	TAFINLAR.xml:S1:828:4	O	O
common	TAFINLAR.xml:S1:833:6	O	O
adverse	TAFINLAR.xml:S1:840:7	O	O
reactions	TAFINLAR.xml:S1:848:9	O	O
(	TAFINLAR.xml:S1:858:1	O	O
20%	TAFINLAR.xml:S1:861:3	O	O
)	TAFINLAR.xml:S1:864:1	O	O
for	TAFINLAR.xml:S1:866:3	O	O
TAFINLAR	TAFINLAR.xml:S1:870:8	O	O
as	TAFINLAR.xml:S1:879:2	O	O
a	TAFINLAR.xml:S1:882:1	O	O
single	TAFINLAR.xml:S1:884:6	O	O
agent	TAFINLAR.xml:S1:891:5	O	O
are	TAFINLAR.xml:S1:897:3	O	O
hyperkeratosis	TAFINLAR.xml:S1:901:14	B-AdverseReaction	O
,	TAFINLAR.xml:S1:915:1	O	O
headache	TAFINLAR.xml:S1:917:8	B-AdverseReaction	B-AdverseReaction
,	TAFINLAR.xml:S1:925:1	O	O
pyrexia	TAFINLAR.xml:S1:927:7	B-AdverseReaction	B-AdverseReaction
,	TAFINLAR.xml:S1:934:1	O	O
arthralgia	TAFINLAR.xml:S1:936:10	B-AdverseReaction	B-AdverseReaction
,	TAFINLAR.xml:S1:946:1	O	O
papilloma	TAFINLAR.xml:S1:948:9	B-AdverseReaction	B-AdverseReaction
,	TAFINLAR.xml:S1:957:1	O	O
alopecia	TAFINLAR.xml:S1:959:8	B-AdverseReaction	B-AdverseReaction
,	TAFINLAR.xml:S1:967:1	O	O
and	TAFINLAR.xml:S1:969:3	O	O
palmar	TAFINLAR.xml:S1:973:6	B-AdverseReaction	B-AdverseReaction
-	TAFINLAR.xml:S1:979:1	I-AdverseReaction	I-AdverseReaction
plantar	TAFINLAR.xml:S1:980:7	I-AdverseReaction	I-AdverseReaction
erythrodysesthesia	TAFINLAR.xml:S1:988:18	I-AdverseReaction	I-AdverseReaction
syndrome	TAFINLAR.xml:S1:1007:8	I-AdverseReaction	I-AdverseReaction
.	TAFINLAR.xml:S1:1015:1	O	O

(	TAFINLAR.xml:S1:1017:1	O	O
6.1	TAFINLAR.xml:S1:1020:3	O	O
)	TAFINLAR.xml:S1:1025:1	O	O

Most	TAFINLAR.xml:S1:1034:4	O	O
common	TAFINLAR.xml:S1:1039:6	O	O
adverse	TAFINLAR.xml:S1:1046:7	O	O
reactions	TAFINLAR.xml:S1:1054:9	O	O
(	TAFINLAR.xml:S1:1064:1	O	O
20%	TAFINLAR.xml:S1:1067:3	O	O
)	TAFINLAR.xml:S1:1070:1	O	O
for	TAFINLAR.xml:S1:1072:3	O	O
TAFINLAR	TAFINLAR.xml:S1:1076:8	O	O
in	TAFINLAR.xml:S1:1085:2	O	O
combination	TAFINLAR.xml:S1:1088:11	O	O
with	TAFINLAR.xml:S1:1100:4	O	O
trametinib	TAFINLAR.xml:S1:1105:10	O	O
are	TAFINLAR.xml:S1:1116:3	O	O
pyrexia	TAFINLAR.xml:S1:1120:7	B-AdverseReaction	B-AdverseReaction
,	TAFINLAR.xml:S1:1127:1	O	O
chills	TAFINLAR.xml:S1:1129:6	B-AdverseReaction	B-AdverseReaction
