6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	VBG	following	following	follow	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
prescribing	VBG	prescribing	prescribing	prescrib	N	O
information	NN	information	information	inform	N	O
:	:	:	:	:	N	O

Peripheral	NNP	peripheral	peripheral	peripher	N	B-AdverseReaction
Neuropathy	NNP	neuropathy	neuropathy	neuropathi	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Anaphylaxis	NNP	anaphylaxis	anaphylaxis	anaphylaxi	Y	B-AdverseReaction
and	CC	and	and	and	N	O
Infusion	NNP	infusion	infusion	infus	Y	B-AdverseReaction
Reactions	NNP	reactions	reaction	reaction	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Hematologic	NNP	hematologic	hematologic	hematolog	N	B-AdverseReaction
Toxicities	NNP	toxicities	toxicity	toxic	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Serious	JJ	serious	serious	seriou	N	B-Severity
Infections	NNS	infections	infection	infect	N	B-AdverseReaction
and	CC	and	and	and	N	O
Opportunistic	JJ	opportunistic	opportunistic	opportunist	N	B-AdverseReaction
Infections	NNS	infections	infection	infect	N	I-AdverseReaction
[	VBP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNS	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Tumor	NNP	tumor	tumor	tumor	N	B-AdverseReaction
Lysis	NNP	lysis	lysis	lysi	N	I-AdverseReaction
Syndrome	NNP	syndrome	syndrome	syndrom	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Increased	VBN	increased	increased	increas	N	B-AdverseReaction
Toxicity	NN	toxicity	toxicity	toxic	N	I-AdverseReaction
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
Presence	NNP	presence	presence	presenc	N	O
of	IN	of	of	of	N	O
Severe	NNP	severe	severe	sever	N	O
Renal	NNP	renal	renal	renal	N	O
Impairment	NNP	impairment	impairment	impair	N	O
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.6	CD	5.6	5.6	5.6	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Increased	VBN	increased	increased	increas	N	B-AdverseReaction
Toxicity	NN	toxicity	toxicity	toxic	N	I-AdverseReaction
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
Presence	NNP	presence	presence	presenc	N	O
of	IN	of	of	of	N	O
Moderate	NNP	moderate	moderate	moder	N	O
or	CC	or	or	or	N	O
Severe	NNP	severe	severe	sever	N	O
Hepatic	NNP	hepatic	hepatic	hepat	N	O
Impairment	NNP	impairment	impairment	impair	N	O
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.7	CD	5.7	5.7	5.7	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

