6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Serious	JJ	serious	serious	seriou	N	B-Severity
hypersensitivity	NN	hypersensitivity	hypersensitivity	hypersensit	Y	B-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
have	VBP	have	have	have	N	O
been	VBN	been	been	been	N	O
reported	VBN	reported	reported	report	N	O
following	VBG	following	following	follow	N	O
AdreView	NNP	adreview	adreview	adreview	N	O
administration	NN	administration	administration	administr	N	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
dizziness	NN	dizziness	dizziness	dizzi	Y	B-AdverseReaction
,	,	,	,	,	N	O
rash	NN	rash	rash	rash	Y	B-AdverseReaction
,	,	,	,	,	N	O
pruritis	NN	pruritis	pruritis	pruriti	N	B-AdverseReaction
,	,	,	,	,	N	O
flushing	NN	flushing	flushing	flush	Y	B-AdverseReaction
,	,	,	,	,	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
injection	NN	injection	injection	inject	Y	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
hemorrhage	NN	hemorrhage	hemorrhage	hemorrhag	Y	I-AdverseReaction
occurred	VBD	occurred	occurred	occur	N	O
in	IN	in	in	in	N	O
1.3%	CD	1.3%	1.3%	1.3%	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
,	,	,	,	,	N	O
6.2	CD	6.2	6.2	6.2	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
GE	NNP	ge	ge	ge	N	O
Healthcare	NNP	healthcare	healthcare	healthcar	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
654	CD	654	654	654	N	O
-	:	-	-	-	N	O
0118	CD	0118	0118	0118	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
.	.	.	.	.	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Study	NNP	study	study	studi	N	O
Experience	NNP	experience	experience	experi	N	O

Because	IN	because	because	becaus	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
are	VBP	are	are	are	N	O
conducted	VBN	conducted	conducted	conduct	N	O
under	IN	under	under	under	N	O
widely	RB	widely	widely	wide	N	O
varying	VBG	varying	varying	vari	N	O
conditions	NNS	conditions	condition	condit	N	O
,	,	,	,	,	N	O
adverse	JJ	adverse	adverse	advers	N	O
reaction	NN	reaction	reaction	reaction	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
a	DT	a	a	a	N	O
drug	NN	drug	drug	drug	N	O
cannot	NN	cannot	cannot	cannot	N	O
be	VB	be	be	be	N	O
directly	RB	directly	directly	directli	N	O
compared	VBN	compared	compared	compar	N	O
to	TO	to	to	to	N	O
rates	NNS	rates	rate	rate	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
another	DT	another	another	anoth	N	O
drug	NN	drug	drug	drug	N	O
and	CC	and	and	and	N	O
may	MD	may	may	may	N	O
not	RB	not	not	not	N	O
reflect	VB	reflect	reflect	reflect	N	O
the	DT	the	the	the	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
practice	NN	practice	practice	practic	N	O
.	.	.	.	.	N	O

During	IN	during	during	dure	N	O
