6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

L	NNP	l	l	l	N	O
ong	MD	ong	ong	ong	N	O
-	:	-	-	-	N	O
acting	VBG	acting	acting	act	N	O
beta	NN	beta	beta	beta	N	O
2	CD	2	2	2	N	O
-	:	-	-	-	N	O
adrenergic	NN	adrenergic	adrenergic	adrenerg	N	O
agonists	NNS	agonists	agonist	agonist	N	O
,	,	,	,	,	N	O
such	JJ	such	such	such	N	O
as	IN	as	a	as	N	O
A	NNP	a	a	a	N	O
RCAPTA	NNP	rcapta	rcapta	rcapta	N	O
NEOHALER	NNP	neohaler	neohaler	neohal	N	O
,	,	,	,	,	N	O
increase	VB	increase	increase	increas	N	O
the	DT	the	the	the	N	O
risk	NN	risk	risk	risk	N	B-Factor
of	IN	of	of	of	N	O
asthma	JJ	asthma	asthma	asthma	Y	B-AdverseReaction
-	:	-	-	-	N	O
related	VBN	related	related	relat	N	O
death	NN	death	death	death	Y	B-AdverseReaction
.	.	.	.	.	N	O

ARCAPTA	NNP	arcapta	arcapta	arcapta	N	O
NEOHALER	NNP	neohaler	neohaler	neohal	N	O
is	VBZ	is	is	is	N	O
not	RB	not	not	not	N	O
indicated	VBN	indicated	indicated	indic	N	O
for	IN	for	for	for	N	O
the	DT	the	the	the	N	O
treatment	NN	treatment	treatment	treatment	N	O
of	IN	of	of	of	N	O
asthma	JJ	asthma	asthma	asthma	Y	O
[	NNP	[	[	[	N	O
See	NNP	see	see	see	N	O
B	NNP	b	b	b	N	O
oxed	VBD	oxed	oxed	oxe	N	O
Warning	NNP	warning	warning	warn	N	O
and	CC	and	and	and	N	O
W	NNP	w	w	w	N	O
arning	NN	arning	arning	arn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O
.	.	.	.	.	N	O

EXCERPT	NNS	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Most	JJS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
2%	CD	2%	2%	2%	N	O
and	CC	and	and	and	N	O
more	JJR	more	more	more	N	O
common	JJ	common	common	common	N	O
than	IN	than	than	than	N	O
placebo	NN	placebo	placebo	placebo	N	O
)	)	)	)	)	N	O
are	VBP	are	are	are	N	O
cough	JJ	cough	cough	cough	Y	B-AdverseReaction
,	,	,	,	,	N	O
oropharyngeal	JJ	oropharyngeal	oropharyngeal	oropharyng	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
nasopharyngitis	NN	nasopharyngitis	nasopharyngitis	nasopharyng	Y	B-AdverseReaction
,	,	,	,	,	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
and	CC	and	and	and	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6	CD	6	6	6	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Novartis	NNP	novartis	novartis	novarti	N	O
Pharmaceuticals	NNP	pharmaceuticals	pharmaceutical	pharmaceut	N	O
Corporation	NNP	corporation	corporation	corpor	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
888	CD	888	888	888	N	O
-	:	-	-	-	N	O
669	CD	669	669	669	N	O
-	:	-	-	-	N	O
6682	CD	6682	6682	6682	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
