6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	VBG	following	following	follow	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
described	VBN	described	described	describ	N	O
in	IN	in	in	in	N	O
more	JJR	more	more	more	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
prescribing	NN	prescribing	prescribing	prescrib	N	O
information	NN	information	information	inform	N	O
.	.	.	.	.	N	O

Hematologic	NNP	hematologic	hematologic	hematolog	N	B-AdverseReaction
Toxicity	NNP	toxicity	toxicity	toxic	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Infection	NN	infection	infection	infect	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O

Hepatotoxicity	NNP	hepatotoxicity	hepatotoxicity	hepatotox	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

Tumor	NNP	tumor	tumor	tumor	N	B-AdverseReaction
Lysis	NNP	lysis	lysis	lysi	N	I-AdverseReaction
Syndrome	NNP	syndrome	syndrome	syndrom	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)]	NN	)]	)]	)]	N	O

Gastrointestinal	NNP	gastrointestinal	gastrointestinal	gastrointestin	N	B-AdverseReaction
Toxicity	NNP	toxicity	toxicity	toxic	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)]	NN	)]	)]	)]	N	O

The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
observed	VBN	observed	observed	observ	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
trial	NN	trial	trial	trial	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
with	IN	with	with	with	N	O
relapsed	JJ	relapsed	relapsed	relaps	N	O
or	CC	or	or	or	N	O
refractory	JJ	refractory	refractory	refractori	N	O
PTCL	NNP	ptcl	ptcl	ptcl	N	O
treated	VBD	treated	treated	treat	N	O
with	IN	with	with	with	N	O
Beleodaq	NNP	beleodaq	beleodaq	beleodaq	N	O
were	VBD	were	were	were	N	O
nausea	RB	nausea	nausea	nausea	Y	B-AdverseReaction
,	,	,	,	,	N	O
fatigue	NN	fatigue	fatigue	fatigu	Y	B-AdverseReaction
,	,	,	,	,	N	O
pyrexia	NN	pyrexia	pyrexia	pyrexia	Y	B-AdverseReaction
,	,	,	,	,	N	O
anemia	NN	anemia	anemia	anemia	Y	B-AdverseReaction
,	,	,	,	,	N	O
