6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

Because	IN	because	because	becaus	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
are	VBP	are	are	are	N	O
conducted	VBN	conducted	conducted	conduct	N	O
under	IN	under	under	under	N	O
widely	RB	widely	widely	wide	N	O
varying	VBG	varying	varying	vari	N	O
conditions	NNS	conditions	condition	condit	N	O
,	,	,	,	,	N	O
adverse	JJ	adverse	adverse	advers	N	O
reaction	NN	reaction	reaction	reaction	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
one	CD	one	one	one	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trial	NN	trial	trial	trial	N	O
of	IN	of	of	of	N	O
a	DT	a	a	a	N	O
drug	NN	drug	drug	drug	N	O
cannot	NN	cannot	cannot	cannot	N	O
be	VB	be	be	be	N	O
directly	RB	directly	directly	directli	N	O
compared	VBN	compared	compared	compar	N	O
with	IN	with	with	with	N	O
the	DT	the	the	the	N	O
rates	NNS	rates	rate	rate	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
same	JJ	same	same	same	N	O
or	CC	or	or	or	N	O
another	DT	another	another	anoth	N	O
drug	NN	drug	drug	drug	N	O
and	CC	and	and	and	N	O
may	MD	may	may	may	N	O
not	RB	not	not	not	N	O
reflect	VB	reflect	reflect	reflect	N	O
the	DT	the	the	the	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
practice	NN	practice	practice	practic	N	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
data	NNS	data	data	data	N	O
described	VBD	described	described	describ	N	O
below	IN	below	below	below	N	O
reflect	NN	reflect	reflect	reflect	N	O
exposure	NN	exposure	exposure	exposur	N	O
to	TO	to	to	to	N	O
Besivance	NNP	besivance	besivance	besiv	N	O
in	IN	in	in	in	N	O
approximately	RB	approximately	approximately	approxim	N	O
1	CD	1	1	1	N	O
,	,	,	,	,	N	O
000	CD	000	000	000	N	O
patients	NNS	patients	patient	patient	N	O
between	IN	between	between	between	N	O
1	CD	1	1	1	N	O
and	CC	and	and	and	N	O
98	CD	98	98	98	N	O
years	NNS	years	year	year	N	O
old	JJ	old	old	old	N	O
with	IN	with	with	with	N	O
clinical	JJ	clinical	clinical	clinic	N	O
signs	NNS	signs	sign	sign	N	O
and	CC	and	and	and	N	O
symptoms	NNS	symptoms	symptom	symptom	N	O
of	IN	of	of	of	N	O
bacterial	JJ	bacterial	bacterial	bacteri	N	O
conjunctivitis	NN	conjunctivitis	conjunctivitis	conjunct	Y	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
frequently	RB	frequently	frequently	frequent	N	O
reported	VBD	reported	reported	report	N	O
ocular	JJ	ocular	ocular	ocular	N	B-AdverseReaction
adverse	JJ	adverse	adverse	advers	N	I-AdverseReaction
reaction	NN	reaction	reaction	reaction	N	I-AdverseReaction
was	VBD	was	wa	wa	N	O
conjunctival	JJ	conjunctival	conjunctival	conjunctiv	N	B-AdverseReaction
redness	NN	redness	redness	red	Y	I-AdverseReaction
,	,	,	,	,	N	O
reported	VBN	reported	reported	report	N	O
in	IN	in	in	in	N	O
approximately	RB	approximately	approximately	approxim	N	O
2%	CD	2%	2%	2%	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
.	.	.	.	.	N	O

Other	JJ	other	other	other	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
reported	VBN	reported	reported	report	N	O
in	IN	in	in	in	N	O
patients	NNS	patients	patient	patient	N	O
receiving	VBG	receiving	receiving	receiv	N	O
Besivance	NNP	besivance	besivance	besiv	N	O
occurring	VBG	occurring	occurring	occur	N	O
in	IN	in	in	in	N	O
