6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

LABA	NNP	laba	laba	laba	N	O
,	,	,	,	,	N	O
such	JJ	such	such	such	N	O
as	IN	as	a	as	N	O
vilanterol	NN	vilanterol	vilanterol	vilanterol	N	O
,	,	,	,	,	N	O
one	CD	one	one	one	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
active	JJ	active	active	activ	N	O
ingredients	NNS	ingredients	ingredient	ingredi	N	O
in	IN	in	in	in	N	O
BREO	NNP	breo	breo	breo	N	O
ELLIPTA	NNP	ellipta	ellipta	ellipta	N	O
,	,	,	,	,	N	O
increase	VB	increase	increase	increas	N	O
the	DT	the	the	the	N	O
risk	NN	risk	risk	risk	N	B-Factor
of	IN	of	of	of	N	O
asthma	JJ	asthma	asthma	asthma	Y	O
-	:	-	-	-	N	O
related	VBN	related	related	relat	N	O
death	NN	death	death	death	Y	B-AdverseReaction
.	.	.	.	.	N	O

Currently	RB	currently	currently	current	N	O
available	JJ	available	available	avail	N	O
data	NNS	data	data	data	N	O
are	VBP	are	are	are	N	O
inadequate	JJ	inadequate	inadequate	inadequ	N	O
to	TO	to	to	to	N	O
determine	VB	determine	determine	determin	N	O
whether	IN	whether	whether	whether	N	O
concurrent	NN	concurrent	concurrent	concurr	N	O
use	NN	use	use	use	N	O
of	IN	of	of	of	N	O
inhaled	JJ	inhaled	inhaled	inhal	N	O
corticosteroids	NNS	corticosteroids	corticosteroid	corticosteroid	N	O
or	CC	or	or	or	N	O
other	JJ	other	other	other	N	O
long	JJ	long	long	long	N	O
-	:	-	-	-	N	O
term	NN	term	term	term	N	O
asthma	NNS	asthma	asthma	asthma	Y	O
control	NN	control	control	control	N	O
drugs	NNS	drugs	drug	drug	N	O
mitigates	VBZ	mitigates	mitigates	mitig	N	O
the	DT	the	the	the	N	O
increased	VBN	increased	increased	increas	N	O
risk	NN	risk	risk	risk	N	O
of	IN	of	of	of	N	O
asthma	JJ	asthma	asthma	asthma	Y	O
-	:	-	-	-	N	O
related	VBN	related	related	relat	N	O
death	NN	death	death	death	Y	B-AdverseReaction
from	IN	from	from	from	N	O
LABA	NNP	laba	laba	laba	N	B-DrugClass
.	.	.	.	.	N	O

Available	JJ	available	available	avail	N	O
data	NNS	data	data	data	N	O
from	IN	from	from	from	N	O
controlled	JJ	controlled	controlled	control	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
suggest	VBP	suggest	suggest	suggest	N	O
that	IN	that	that	that	N	O
LABA	NNP	laba	laba	laba	N	O
increase	VB	increase	increase	increas	N	O
the	DT	the	the	the	N	O
risk	NN	risk	risk	risk	N	O
of	IN	of	of	of	N	O
asthma	JJ	asthma	asthma	asthma	Y	O
-	:	-	-	-	N	O
related	JJ	related	related	relat	N	O
hospitalization	NN	hospitalization	hospitalization	hospit	Y	O
in	IN	in	in	in	N	O
pediatric	JJ	pediatric	pediatric	pediatr	N	O
and	CC	and	and	and	N	O
adolescent	JJ	adolescent	adolescent	adolesc	N	O
patients	NNS	patients	patient	patient	N	O
.	.	.	.	.	N	O

Data	NNS	data	data	data	N	O
from	IN	from	from	from	N	O
a	DT	a	a	a	N	O
large	JJ	large	large	larg	N	O
placebo	NN	placebo	placebo	placebo	N	O
-	:	-	-	-	N	O
controlled	VBD	controlled	controlled	control	N	O
US	PRP	us	u	us	N	O
trial	NN	trial	trial	trial	N	O
that	WDT	that	that	that	N	O
compared	VBN	compared	compared	compar	N	O
the	DT	the	the	the	N	O
safety	NN	safety	safety	safeti	N	O
of	IN	of	of	of	N	O
another	DT	another	another	anoth	N	O
LABA	NNP	laba	laba	laba	N	B-DrugClass
(	(	(	(	(	N	O
salmeterol	NN	salmeterol	salmeterol	salmeterol	N	O
)	)	)	)	)	N	O
or	CC	or	or	or	N	O
placebo	NN	placebo	placebo	placebo	N	O
added	VBN	added	added	ad	N	O
to	TO	to	to	to	N	O
usual	JJ	usual	usual	usual	N	O
asthma	NN	asthma	asthma	asthma	Y	O
therapy	NN	therapy	therapy	therapi	N	O
showed	VBD	showed	showed	show	N	O
an	DT	an	an	an	N	O
increase	NN	increase	increase	increas	N	O
in	IN	in	in	in	N	O
asthma	JJ	asthma	asthma	asthma	Y	O
-	:	-	-	-	N	O
related	JJ	related	related	relat	N	O
deaths	NNS	deaths	death	death	N	B-AdverseReaction
in	IN	in	in	in	N	O
subjects	NNS	subjects	subject	subject	N	O
receiving	VBG	receiving	receiving	receiv	N	O
salmeterol	NN	salmeterol	salmeterol	salmeterol	N	O
.	.	.	.	.	N	O

[	NNS	[	[	[	N	O
See	NNP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)	)	)	)	)	N	O
.	.	.	.	.	N	O
]	NN	]	]	]	N	O

