EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
in	IN	in	in	in	N	O
13%	CD	13%	13%	13%	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
are	VBP	are	are	are	N	O
:	:	:	:	:	N	O
Infections	NNS	infections	infection	infect	N	B-AdverseReaction
,	,	,	,	,	N	O
vomiting	VBG	vomiting	vomiting	vomit	Y	B-AdverseReaction
,	,	,	,	,	N	O
abdominal	JJ	abdominal	abdominal	abdomin	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
pyrexia	NN	pyrexia	pyrexia	pyrexia	Y	B-AdverseReaction
,	,	,	,	,	N	O
tonsilitis	NN	tonsilitis	tonsilitis	tonsil	N	B-AdverseReaction
,	,	,	,	,	N	O
anemia	NN	anemia	anemia	anemia	Y	B-AdverseReaction
,	,	,	,	,	N	O
ear	JJ	ear	ear	ear	N	B-AdverseReaction
infection	NN	infection	infection	infect	Y	I-AdverseReaction
,	,	,	,	,	N	O
diarrhea	NN	diarrhea	diarrhea	diarrhea	Y	B-AdverseReaction
,	,	,	,	,	N	O
nasopharyngitis	NN	nasopharyngitis	nasopharyngitis	nasopharyng	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Accredo	NNP	accredo	accredo	accredo	N	O
Health	NNP	health	health	health	N	O
Group	NNP	group	group	group	N	O
Inc	NNP	inc	inc	inc	N	O
.	.	.	.	.	N	O

at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
888	CD	888	888	888	N	O
-	:	-	-	-	N	O
454	CD	454	454	454	N	O
-	:	-	-	-	N	O
8860	CD	8860	8860	8860	N	O
,	,	,	,	,	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
.	.	.	.	.	N	O

6	CD	6	6	6	N	O

ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O

6.1	CD	6.1	6.1	6.1	N	O
Retrospective	JJ	retrospective	retrospective	retrospect	N	O
Case	NNP	case	case	case	N	O
Series	NNP	series	series	seri	N	O
Experience	NNP	experience	experience	experi	N	O

The	DT	the	the	the	N	O

most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
occurring	VBG	occurring	occurring	occur	N	O
in	IN	in	in	in	N	O
13%	CD	13%	13%	13%	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
)	)	)	)	)	N	O
,	,	,	,	,	N	O
regardless	RB	regardless	regardless	regardless	N	O
of	IN	of	of	of	N	O
causality	NN	causality	causality	causal	N	O
,	,	,	,	,	N	O
are	VBP	are	are	are	N	O
:	:	:	:	:	N	O
Infections	NNS	infections	infection	infect	N	B-AdverseReaction
,	,	,	,	,	N	O
vomiting	VBG	vomiting	vomiting	vomit	Y	B-AdverseReaction
,	,	,	,	,	N	O
abdominal	JJ	abdominal	abdominal	abdomin	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
pyrexia	NN	pyrexia	pyrexia	pyrexia	Y	B-AdverseReaction
,	,	,	,	,	N	O
tonsilitis	NN	tonsilitis	tonsilitis	tonsil	N	B-AdverseReaction
