6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

Exclusive	NNP	exclusive	exclusive	exclus	N	O
of	IN	of	of	of	N	O
an	DT	an	an	an	N	O
uncommon	JJ	uncommon	uncommon	uncommon	N	O
,	,	,	,	,	N	O
mild	JJ	mild	mild	mild	N	B-Severity
injection	NN	injection	injection	inject	Y	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
reaction	NN	reaction	reaction	reaction	N	I-AdverseReaction
,	,	,	,	,	N	O
no	DT	no	no	no	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
to	TO	to	to	to	N	O
11	CD	11	11	11	N	O
C	NNP	c	c	c	N	O
-	:	-	-	-	N	O
choline	NN	choline	choline	cholin	N	O
have	VBP	have	have	have	N	O
been	VBN	been	been	been	N	O
reported	VBN	reported	reported	report	N	O
.	.	.	.	.	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Exclusive	NN	exclusive	exclusive	exclus	N	O
of	IN	of	of	of	N	O
an	DT	an	an	an	N	O
uncommon	JJ	uncommon	uncommon	uncommon	N	O
,	,	,	,	,	N	O
mild	JJ	mild	mild	mild	N	B-Severity
injection	NN	injection	injection	inject	Y	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
reaction	NN	reaction	reaction	reaction	N	I-AdverseReaction
,	,	,	,	,	N	O
no	DT	no	no	no	N	O
other	JJ	other	other	other	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
have	VBP	have	have	have	N	O
been	VBN	been	been	been	N	O
reported	VBN	reported	reported	report	N	O
(	(	(	(	(	N	O
6	CD	6	6	6	N	O
)	)	)	)	)	N	O
.	.	.	.	.	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	JJ	contact	contact	contact	N	O
Division	NNP	division	division	divis	N	O
of	IN	of	of	of	N	O
Nuclear	NNP	nuclear	nuclear	nuclear	N	O
Medicine	NNP	medicine	medicine	medicin	N	O
,	,	,	,	,	N	O
Department	NNP	department	department	depart	N	O
of	IN	of	of	of	N	O
Radiology	NNP	radiology	radiology	radiolog	N	O
,	,	,	,	,	N	O
Mayo	NNP	mayo	mayo	mayo	N	O
Clinic	NNP	clinic	clinic	clinic	N	O
at	IN	at	at	at	N	O
507	CD	507	507	507	N	O
-	:	-	-	-	N	O
284	CD	284	284	284	N	O
-	:	-	-	-	N	O
2511	CD	2511	2511	2511	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
5	CD	5	5	5	N	O
WARNINGS	NNP	warnings	warning	warn	N	O
AND	NNP	and	and	and	N	O
PRECAUTIONS	NNP	precautions	precaution	precaut	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Imaging	JJ	imaging	imaging	imag	N	O
errors	NNS	errors	error	error	N	O
have	VBP	have	have	have	N	O
been	VBN	been	been	been	N	O
reported	VBN	reported	reported	report	N	O
;	:	;	;	;	N	O
blood	NN	blood	blood	blood	N	O
PSA	NNP	psa	psa	psa	Y	O
levels	NNS	levels	level	level	N	O
2	CD	2	2	2	N	O
ng	RB	ng	ng	ng	N	O
mL	NNS	ml	ml	ml	N	O
have	VBP	have	have	have	N	O
been	VBN	been	been	been	N	O
