6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Hypersensitivity	NN	hypersensitivity	hypersensitivity	hypersensit	Y	B-AdverseReaction
and	CC	and	and	and	N	O
injection	NN	injection	injection	inject	Y	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
have	VBP	have	have	have	N	O
been	VBN	been	been	been	N	O
reported	VBN	reported	reported	report	N	O
following	JJ	following	following	follow	N	O
DaTscan	JJ	datscan	datscan	datscan	N	O
administration	NN	administration	administration	administr	N	O
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.2	CD	6.2	6.2	6.2	N	O
)	)	)	)	)	N	O
In	IN	in	in	in	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
,	,	,	,	,	N	O
the	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
,	,	,	,	,	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
,	,	,	,	,	N	O
vertigo	NN	vertigo	vertigo	vertigo	Y	B-AdverseReaction
,	,	,	,	,	N	O
dry	JJ	dry	dry	dri	N	B-AdverseReaction
mouth	NN	mouth	mouth	mouth	N	I-AdverseReaction
or	CC	or	or	or	N	O
dizziness	NN	dizziness	dizziness	dizzi	Y	B-AdverseReaction
occurred	VBD	occurred	occurred	occur	N	O
in	IN	in	in	in	N	O
1%	CD	1%	1%	1%	N	O
of	IN	of	of	of	N	O
subjects	NNS	subjects	subject	subject	N	O
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
GE	NNP	ge	ge	ge	N	O
Healthcare	NNP	healthcare	healthcare	healthcar	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
654	CD	654	654	654	N	O
-	:	-	-	-	N	O
0118	CD	0118	0118	0118	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
.	.	.	.	.	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Study	NNP	study	study	studi	N	O
Experience	NNP	experience	experience	experi	N	O

The	DT	the	the	the	N	O
data	NN	data	data	data	N	O
from	IN	from	from	from	N	O
clinical	JJ	clinical	clinical	clinic	N	O
studies	NNS	studies	study	studi	N	O
reflect	VBP	reflect	reflect	reflect	N	O
exposure	NN	exposure	exposure	exposur	N	O
to	TO	to	to	to	N	O
DaTscan	NNP	datscan	datscan	datscan	N	O
in	IN	in	in	in	N	O
942	CD	942	942	942	N	O
subjects	NNS	subjects	subject	subject	N	O
with	IN	with	with	with	N	O
a	DT	a	a	a	N	O
mean	JJ	mean	mean	mean	N	O
age	NN	age	age	age	N	O
of	IN	of	of	of	N	O
66	CD	66	66	66	N	O
years	NNS	years	year	year	N	O
(	(	(	(	(	N	O
range	VB	range	range	rang	N	O
25	CD	25	25	25	N	O
to	TO	to	to	to	N	O
90	CD	90	90	90	N	O
years	NNS	years	year	year	N	O
)	)	)	)	)	N	O
.	.	.	.	.	N	O

Among	IN	among	among	among	N	O
these	DT	these	these	these	N	O
subjects	NNS	subjects	subject	subject	N	O
,	,	,	,	,	N	O
42%	CD	42%	42%	42%	N	O
were	VBD	were	were	were	N	O
women	NNS	women	woman	women	N	O
and	CC	and	and	and	N	O
99%	CD	99%	99%	99%	N	O
Caucasian	JJ	caucasian	caucasian	caucasian	N	O
.	.	.	.	.	N	O

Because	IN	because	because	becaus	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
are	VBP	are	are	are	N	O
conducted	VBN	conducted	conducted	conduct	N	O
under	IN	under	under	under	N	O
widely	RB	widely	widely	wide	N	O
