6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

GBCAs	NNP	gbcas	gbcas	gbca	N	B-DrugClass
have	VBP	have	have	have	N	O
been	VBN	been	been	been	N	O
associated	VBN	associated	associated	associ	N	O
with	IN	with	with	with	N	O
a	DT	a	a	a	N	O
risk	NN	risk	risk	risk	N	O
for	IN	for	for	for	N	O
NSF	NNP	nsf	nsf	nsf	N	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

NSF	NNP	nsf	nsf	nsf	N	B-AdverseReaction
has	VBZ	has	ha	ha	N	O
not	RB	not	not	not	N	B-Negation
been	VBN	been	been	been	N	O
reported	VBN	reported	reported	report	N	O
in	IN	in	in	in	N	O
patients	NNS	patients	patient	patient	N	O
with	IN	with	with	with	N	O
a	DT	a	a	a	N	O
clear	JJ	clear	clear	clear	N	O
history	NN	history	history	histori	N	O
of	IN	of	of	of	N	O
exposure	NN	exposure	exposure	exposur	N	O
to	TO	to	to	to	N	O
DOTAREM	NNP	dotarem	dotarem	dotarem	N	O
alone	RB	alone	alone	alon	N	O
.	.	.	.	.	N	O

Hypersensitivity	NNP	hypersensitivity	hypersensitivity	hypersensit	Y	B-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
and	CC	and	and	and	N	O
acute	JJ	acute	acute	acut	N	B-AdverseReaction
kidney	NN	kidney	kidney	kidney	N	I-AdverseReaction
injury	NN	injury	injury	injuri	Y	I-AdverseReaction
are	VBP	are	are	are	N	O
described	VBN	described	described	describ	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)	)	)	)	)	N	O
and	CC	and	and	and	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
frequent	JJ	frequent	frequent	frequent	N	O
(	(	(	(	(	N	O
0.2%	CD	0.2%	0.2%	0.2%	N	O
)	)	)	)	)	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
in	IN	in	in	in	N	O
clinical	JJ	clinical	clinical	clinic	N	O
studies	NNS	studies	study	studi	N	O
were	VBD	were	were	were	N	O
nausea	RB	nausea	nausea	nausea	Y	B-AdverseReaction
,	,	,	,	,	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
,	,	,	,	,	N	O
injection	NN	injection	injection	inject	Y	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
injection	NN	injection	injection	inject	Y	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
coldness	NN	coldness	coldness	cold	Y	I-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
burning	VBG	burning	burning	burn	N	B-AdverseReaction
sensation	NN	sensation	sensation	sensat	N	I-AdverseReaction
.	.	.	.	.	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
