6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

Adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
associated	VBN	associated	associated	associ	N	O
with	IN	with	with	with	N	O
ophthalmic	JJ	ophthalmic	ophthalmic	ophthalm	N	B-DrugClass
steroids	NNS	steroids	steroid	steroid	N	I-DrugClass
include	VBP	include	include	includ	N	O
elevated	JJ	elevated	elevated	elev	N	B-AdverseReaction
intraocular	JJ	intraocular	intraocular	intraocular	N	I-AdverseReaction
pressure	NN	pressure	pressure	pressur	N	I-AdverseReaction
,	,	,	,	,	N	O
which	WDT	which	which	which	N	O
may	MD	may	may	may	N	O
be	VB	be	be	be	N	O
associated	VBN	associated	associated	associ	N	O
with	IN	with	with	with	N	O
optic	JJ	optic	optic	optic	N	B-AdverseReaction
nerve	NN	nerve	nerve	nerv	N	I-AdverseReaction
damage	NN	damage	damage	damag	N	I-AdverseReaction
,	,	,	,	,	N	O
visual	JJ	visual	visual	visual	N	B-AdverseReaction
acuity	NN	acuity	acuity	acuiti	N	I-AdverseReaction
and	CC	and	and	and	N	O
field	NN	field	field	field	N	I-AdverseReaction
defects	NNS	defects	defect	defect	N	I-AdverseReaction
,	,	,	,	,	N	O
posterior	JJ	posterior	posterior	posterior	N	B-AdverseReaction
subcapsular	JJ	subcapsular	subcapsular	subcapsular	N	I-AdverseReaction
cataract	NN	cataract	cataract	cataract	Y	I-AdverseReaction
formation	NN	formation	formation	format	N	I-AdverseReaction
;	:	;	;	;	N	O
secondary	JJ	secondary	secondary	secondari	N	B-AdverseReaction
ocular	JJ	ocular	ocular	ocular	N	I-AdverseReaction
infection	NN	infection	infection	infect	Y	I-AdverseReaction
from	IN	from	from	from	N	O
pathogens	NNS	pathogens	pathogen	pathogen	N	O
including	VBG	including	including	includ	N	O
herpes	NNS	herpes	herpes	herp	N	I-AdverseReaction
simplex	JJ	simplex	simplex	simplex	N	I-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
perforation	NN	perforation	perforation	perfor	Y	B-AdverseReaction
of	IN	of	of	of	N	I-AdverseReaction
the	DT	the	the	the	N	I-AdverseReaction
globe	NN	globe	globe	globe	N	I-AdverseReaction
where	WRB	where	where	where	N	O
there	EX	there	there	there	N	O
is	VBZ	is	is	is	N	O
thinning	VBG	thinning	thinning	thin	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
cornea	NN	cornea	cornea	cornea	N	O
or	CC	or	or	or	N	O
sclera	NN	sclera	sclera	sclera	N	O
.	.	.	.	.	N	O

6.1	CD	6.1	6.1	6.1	N	O
Ocular	JJ	ocular	ocular	ocular	N	O
Surgery	NN	surgery	surgery	surgeri	Y	O

Ocular	JJ	ocular	ocular	ocular	N	B-AdverseReaction
adverse	JJ	adverse	adverse	advers	N	I-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
occurring	VBG	occurring	occurring	occur	N	O
in	IN	in	in	in	N	O
5	CD	5	5	5	N	O
-	:	-	-	-	N	O
15%	CD	15%	15%	15%	N	O
of	IN	of	of	of	N	O
subjects	NNS	subjects	subject	subject	N	O
in	IN	in	in	in	N	O
clinical	JJ	clinical	clinical	clinic	N	O
studies	NNS	studies	study	studi	N	O
with	IN	with	with	with	N	O
DUREZOL	NNP	durezol	durezol	durezol	N	O
included	VBD	included	included	includ	N	O
corneal	JJ	corneal	corneal	corneal	N	B-AdverseReaction
edema	NN	edema	edema	edema	Y	I-AdverseReaction
,	,	,	,	,	N	O
ciliary	JJ	ciliary	ciliary	ciliari	N	B-AdverseReaction
and	CC	and	and	and	N	O
conjunctival	JJ	conjunctival	conjunctival	conjunctiv	N	B-AdverseReaction
hyperemia	NN	hyperemia	hyperemia	hyperemia	Y	I-AdverseReaction
,	,	,	,	,	N	O
eye	NN	eye	eye	eye	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
photophobia	NN	photophobia	photophobia	photophobia	Y	B-AdverseReaction
,	,	,	,	,	N	O
posterior	JJ	posterior	posterior	posterior	N	B-AdverseReaction
capsule	NN	capsule	capsule	capsul	N	I-AdverseReaction
opacification	NN	opacification	opacification	opacif	N	I-AdverseReaction
,	,	,	,	,	N	O
anterior	JJ	anterior	anterior	anterior	N	B-AdverseReaction
chamber	NN	chamber	chamber	chamber	N	I-AdverseReaction
cells	NNS	cells	cell	cell	N	I-AdverseReaction
,	,	,	,	,	N	O
anterior	JJ	anterior	anterior	anterior	N	B-AdverseReaction
chamber	NN	chamber	chamber	chamber	N	I-AdverseReaction
flare	NN	flare	flare	flare	N	I-AdverseReaction
,	,	,	,	,	N	O
conjunctival	NN	conjunctival	conjunctival	conjunctiv	N	B-AdverseReaction
edema	NN	edema	edema	edema	Y	I-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
