6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	VBG	following	following	follow	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
below	IN	below	below	below	N	O
and	CC	and	and	and	N	O
elsewhere	RB	elsewhere	elsewhere	elsewher	N	O
in	IN	in	in	in	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Distant	JJ	distant	distant	distant	N	B-AdverseReaction
Spread	NNP	spread	spread	spread	N	I-AdverseReaction
of	IN	of	of	of	N	I-AdverseReaction
Toxin	NNP	toxin	toxin	toxin	N	I-AdverseReaction
Effect	NNP	effect	effect	effect	N	I-AdverseReaction
[	NNP	[	[	[	N	O
seeBoxed	VBD	seeboxed	seeboxed	seebox	N	O
Warning	NNP	warning	warning	warn	N	O
]	NN	]	]	]	N	O

Lack	NN	lack	lack	lack	N	O
of	IN	of	of	of	N	O
Interchangeability	NNP	interchangeability	interchangeability	interchang	N	O
between	IN	between	between	between	N	O
Botulinum	NNP	botulinum	botulinum	botulinum	N	O
Toxin	NNP	toxin	toxin	toxin	N	O
Products	NNP	products	product	product	N	O
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Spread	NN	spread	spread	spread	N	B-AdverseReaction
of	IN	of	of	of	N	I-AdverseReaction
Effects	NNS	effects	effect	effect	N	I-AdverseReaction
from	IN	from	from	from	N	I-AdverseReaction
Toxin	NNP	toxin	toxin	toxin	N	I-AdverseReaction
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Dysphagia	NNP	dysphagia	dysphagia	dysphagia	Y	B-AdverseReaction
and	CC	and	and	and	N	O
Breathing	NNP	breathing	breathing	breath	N	B-AdverseReaction
Difficulties	NNP	difficulties	difficulty	difficulti	N	I-AdverseReaction
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

Facial	JJ	facial	facial	facial	N	O
Anatomy	NNP	anatomy	anatomy	anatomi	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
Treatment	NNP	treatment	treatment	treatment	N	O
of	IN	of	of	of	N	O
Glabellar	NNP	glabellar	glabellar	glabellar	N	O
Lines	NNP	lines	line	line	N	O
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)]	NN	)]	)]	)]	N	O

Pre	NNP	pre	pre	pre	N	O
-	:	-	-	-	N	O
existing	VBG	existing	existing	exist	N	O
Neuromuscular	JJ	neuromuscular	neuromuscular	neuromuscular	N	O
Disorders	NNS	disorders	disorder	disord	N	O
[	VBP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)]	NN	)]	)]	)]	N	O

Human	NNP	human	human	human	N	O
Albumin	NNP	albumin	albumin	albumin	Y	O
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
