6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	VBG	following	following	follow	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactionsare	NN	reactionsare	reactionsare	reactionsar	N	O
discussed	VBN	discussed	discussed	discuss	N	O
elsewhere	RB	elsewhere	elsewhere	elsewher	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Nephrogenic	JJ	nephrogenic	nephrogenic	nephrogen	N	B-AdverseReaction
systemic	JJ	systemic	systemic	system	N	I-AdverseReaction
fibrosis	NN	fibrosis	fibrosis	fibrosi	Y	I-AdverseReaction
(	(	(	(	(	N	O
NSF	NNP	nsf	nsf	nsf	N	B-AdverseReaction
)	)	)	)	)	N	O
[	VBD	[	[	[	N	O
see	VB	see	see	see	N	O
Boxed	NNP	boxed	boxed	box	N	O
Warning	NNP	warning	warning	warn	N	O
and	CC	and	and	and	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Hypersensitivity	NNP	hypersensitivity	hypersensitivity	hypersensit	Y	B-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
[	VBP	[	[	[	N	O
see	VB	see	see	see	N	O
Contraindications	NNP	contraindications	contraindication	contraind	N	O
(	(	(	(	(	N	O
4	CD	4	4	4	N	O
)	)	)	)	)	N	O
and	CC	and	and	and	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O

EXCERPT	NNS	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Most	JJS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
incidence	VB	incidence	incidence	incid	N	O
0.5%	CD	0.5%	0.5%	0.5%	N	O
)	)	)	)	)	N	O
are	VBP	are	are	are	N	O
nausea	JJ	nausea	nausea	nausea	Y	B-AdverseReaction
,	,	,	,	,	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
,	,	,	,	,	N	O
feeling	VBG	feeling	feeling	feel	N	B-AdverseReaction
hot	JJ	hot	hot	hot	N	I-AdverseReaction
,	,	,	,	,	N	O
dizziness	NN	dizziness	dizziness	dizzi	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
back	RB	back	back	back	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
(	(	(	(	(	N	O
6	CD	6	6	6	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O

report	NN	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Bayer	NNP	bayer	bayer	bayer	N	O
HealthCare	NNP	healthcare	healthcare	healthcar	N	O
Pharmaceuticals	NNP	pharmaceuticals	pharmaceutical	pharmaceut	N	O
Inc	NNP	inc	inc	inc	N	O
.	.	.	.	.	N	O

at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
888	CD	888	888	888	N	O
-	:	-	-	-	N	O
84	CD	84	84	84	N	O
-	:	-	-	-	N	O
BAYER	NNP	bayer	bayer	bayer	N	O
(	(	(	(	(	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
888	CD	888	888	888	N	O
-	:	-	-	-	N	O
842	CD	842	842	842	N	O
-	:	-	-	-	N	O
2937	CD	2937	2937	2937	N	O
)	)	)	)	)	N	O
