6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5	CD	5	5	5	N	O
)	)	)	)	)	N	O
section	NN	section	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Endophthalmitis	NN	endophthalmitis	endophthalmitis	endophthalm	Y	B-AdverseReaction
and	CC	and	and	and	N	O
retinal	JJ	retinal	retinal	retin	N	B-AdverseReaction
detachments	NNS	detachments	detachment	detach	N	I-AdverseReaction

Increased	VBN	increased	increased	increas	N	B-AdverseReaction
intraocular	JJ	intraocular	intraocular	intraocular	N	I-AdverseReaction
pressure	NN	pressure	pressure	pressur	N	I-AdverseReaction

Thromboembolic	JJ	thromboembolic	thromboembolic	thromboembol	N	B-AdverseReaction
events	NNS	events	event	event	N	I-AdverseReaction

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
5%	CD	5%	5%	5%	N	O
)	)	)	)	)	N	O
reported	VBN	reported	reported	report	N	O
in	IN	in	in	in	N	O
patients	NNS	patients	patient	patient	N	O
receiving	VBG	receiving	receiving	receiv	N	O
EYLEA	NNP	eylea	eylea	eylea	N	O
were	VBD	were	were	were	N	O
conjunctival	JJ	conjunctival	conjunctival	conjunctiv	N	B-AdverseReaction
hemorrhage	NN	hemorrhage	hemorrhage	hemorrhag	Y	I-AdverseReaction
,	,	,	,	,	N	O
eye	NN	eye	eye	eye	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
cataract	NN	cataract	cataract	cataract	Y	B-AdverseReaction
,	,	,	,	,	N	O
vitreous	JJ	vitreous	vitreous	vitreou	N	B-AdverseReaction
floaters	NNS	floaters	floater	floater	Y	I-AdverseReaction
,	,	,	,	,	N	O
intraocular	JJ	intraocular	intraocular	intraocular	N	B-AdverseReaction
pressure	NN	pressure	pressure	pressur	N	I-AdverseReaction
increased	VBN	increased	increased	increas	N	I-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
vitreous	JJ	vitreous	vitreous	vitreou	N	B-AdverseReaction
detachment	NN	detachment	detachment	detach	Y	I-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O

report	NN	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Regeneron	NNP	regeneron	regeneron	regeneron	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
855	CD	855	855	855	N	O
-	:	-	-	-	N	O
395	CD	395	395	395	N	O
-	:	-	-	-	N	O
3248	CD	3248	3248	3248	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
.	.	.	.	.	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Trials	NNS	trials	trial	trial	N	O
Experience	NN	experience	experience	experi	N	O

Because	IN	because	because	becaus	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
are	VBP	are	are	are	N	O
conducted	VBN	conducted	conducted	conduct	N	O
under	IN	under	under	under	N	O
widely	RB	widely	widely	wide	N	O
varying	VBG	varying	varying	vari	N	O
conditions	NNS	conditions	condition	condit	N	O
,	,	,	,	,	N	O
adverse	JJ	adverse	adverse	advers	N	O
