6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
(	(	(	(	(	N	O
incidence	JJ	incidence	incidence	incid	N	O
5%	CD	5%	5%	5%	N	O
)	)	)	)	)	N	O
chromaturia	NN	chromaturia	chromaturia	chromaturia	Y	B-AdverseReaction
,	,	,	,	,	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
,	,	,	,	,	N	O
vomiting	VBG	vomiting	vomiting	vomit	Y	B-AdverseReaction
and	CC	and	and	and	N	O
abdominal	JJ	abdominal	abdominal	abdomin	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
alanine	JJ	alanine	alanine	alanin	N	B-AdverseReaction
aminotransferase	NN	aminotransferase	aminotransferase	aminotransferas	N	I-AdverseReaction
increased	VBD	increased	increased	increas	N	I-AdverseReaction
,	,	,	,	,	N	O
arthralgia	NN	arthralgia	arthralgia	arthralgia	Y	B-AdverseReaction
and	CC	and	and	and	N	O
neutropenia	NN	neutropenia	neutropenia	neutropenia	Y	B-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
,	,	,	,	,	N	O
6	CD	6	6	6	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O

report	NN	report	report	report	N	O

SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
ApoPharma	NNP	apopharma	apopharma	apopharma	N	O
Inc	NNP	inc	inc	inc	N	O
.	.	.	.	.	N	O

at	IN	at	at	at	N	O
:	:	:	:	:	N	O
Telephone	NN	telephone	telephone	telephon	N	O
:	:	:	:	:	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
866	CD	866	866	866	N	O
-	:	-	-	-	N	O
949	CD	949	949	949	N	O
-	:	-	-	-	N	O
0995	CD	0995	0995	0995	N	O

Email	NN	email	email	email	N	O
:	:	:	:	:	N	O
medicalsafety	NN	medicalsafety	medicalsafety	medicalsafeti	N	O
apopharma	NN	apopharma	apopharma	apopharma	N	O
.	.	.	.	.	N	O
com	NN	com	com	com	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	NN	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Trial	NNP	trial	trial	trial	N	O
Experience	NN	experience	experience	experi	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
also	RB	also	also	also	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O
Agranulocytosis	NNP	agranulocytosis	agranulocytosis	agranulocytosi	Y	B-AdverseReaction
Neutropenia	NNP	neutropenia	neutropenia	neutropenia	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
