6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
commonly	RB	commonly	commonly	commonli	N	O
reported	VBD	reported	reported	report	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
were	VBD	were	were	were	N	O
injection	JJ	injection	injection	inject	Y	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
,	,	,	,	,	N	O
which	WDT	which	which	which	N	O
occurred	VBD	occurred	occurred	occur	N	O
in	IN	in	in	in	N	O
almost	RB	almost	almost	almost	N	O
all	DT	all	all	all	N	O
patients	NNS	patients	patient	patient	N	O
(	(	(	(	(	N	O
97%	CD	97%	97%	97%	N	O
)	)	)	)	)	N	O
in	IN	in	in	in	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
.	.	.	.	.	N	O

Other	JJ	other	other	other	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
occurring	VBG	occurring	occurring	occur	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
than	IN	than	than	than	N	O
1%	CD	1%	1%	1%	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
included	JJ	included	included	includ	N	O
pyrexia	NN	pyrexia	pyrexia	pyrexia	Y	B-AdverseReaction
,	,	,	,	,	N	O
transaminase	JJ	transaminase	transaminase	transaminas	N	B-AdverseReaction
increase	NN	increase	increase	increas	N	I-AdverseReaction
,	,	,	,	,	N	O
dizziness	NN	dizziness	dizziness	dizzi	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
rash	NN	rash	rash	rash	Y	B-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Shire	NNP	shire	shire	shire	N	O
Human	NNP	human	human	human	N	O
Genetic	NNP	genetic	genetic	genet	N	O
Therapies	NNS	therapies	therapy	therapi	N	O
at	IN	at	at	at	N	O
the	DT	the	the	the	N	O
OnePath	NNP	onepath	onepath	onepath	N	O
(	(	(	(	(	N	O
r	NN	r	r	r	N	O
)	)	)	)	)	N	O
phone	NN	phone	phone	phone	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
866	CD	866	866	866	N	O
-	:	-	-	-	N	O
888	CD	888	888	888	N	O
-	:	-	-	-	N	O
0660	CD	0660	0660	0660	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	NN	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Trials	NNS	trials	trial	trial	N	O
Experience	NN	experience	experience	experi	N	O

The	DT	the	the	the	N	O
safety	NN	safety	safety	safeti	N	O
of	IN	of	of	of	N	O
icatibant	NN	icatibant	icatibant	icatib	N	O
was	VBD	was	wa	wa	N	O
evaluated	VBN	evaluated	evaluated	evalu	N	O
in	IN	in	in	in	N	O
three	CD	three	three	three	N	O
controlled	JJ	controlled	controlled	control	N	O
trials	NNS	trials	trial	trial	N	O
that	WDT	that	that	that	N	O
included	VBD	included	included	includ	N	O
223	CD	223	223	223	N	O
patients	NNS	patients	patient	patient	N	O
who	WP	who	who	who	N	O
received	VBD	received	received	receiv	N	O
FIRAZYR	NNP	firazyr	firazyr	firazyr	N	O
30	CD	30	30	30	N	O
mg	NN	mg	mg	mg	N	O
(	(	(	(	(	N	O
n	JJ	n	n	n	N	O
113	CD	113	113	113	N	O
)	)	)	)	)	N	O
,	,	,	,	,	N	O
placebo	FW	placebo	placebo	placebo	N	O
(	(	(	(	(	N	O
n	IN	n	n	n	N	O
75	CD	75	75	75	N	O
)	)	)	)	)	N	O
,	,	,	,	,	N	O
or	CC	or	or	or	N	O
comparator	NN	comparator	comparator	compar	N	O
(	(	(	(	(	N	O
n	JJ	n	n	n	N	O
38	CD	38	38	38	N	O
