6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

6.1	CD	6.1	6.1	6.1	N	O
Clinical	JJ	clinical	clinical	clinic	N	O
Trials	NNS	trials	trial	trial	N	O
Experience	NN	experience	experience	experi	N	O

Because	IN	because	because	becaus	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
are	VBP	are	are	are	N	O
conducted	VBN	conducted	conducted	conduct	N	O
under	IN	under	under	under	N	O
widely	RB	widely	widely	wide	N	O
varying	VBG	varying	varying	vari	N	O
conditions	NNS	conditions	condition	condit	N	O
,	,	,	,	,	N	O
adverse	JJ	adverse	adverse	advers	N	O
reaction	NN	reaction	reaction	reaction	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
a	DT	a	a	a	N	O
drug	NN	drug	drug	drug	N	O
cannot	NN	cannot	cannot	cannot	N	O
be	VB	be	be	be	N	O
directly	RB	directly	directly	directli	N	O
compared	VBN	compared	compared	compar	N	O
to	TO	to	to	to	N	O
rates	NNS	rates	rate	rate	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
another	DT	another	another	anoth	N	O
drug	NN	drug	drug	drug	N	O
and	CC	and	and	and	N	O
may	MD	may	may	may	N	O
not	RB	not	not	not	N	O
reflect	VB	reflect	reflect	reflect	N	O
the	DT	the	the	the	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
practice	NN	practice	practice	practic	N	O
.	.	.	.	.	N	O

A	DT	a	a	a	N	O
total	NN	total	total	total	N	O
of	IN	of	of	of	N	O
696	CD	696	696	696	N	O
HIV	NNP	hiv	hiv	hiv	N	O
-	:	-	-	-	N	O
positive	JJ	positive	positive	posit	N	O
patients	NNS	patients	patient	patient	N	O
in	IN	in	in	in	N	O
three	CD	three	three	three	N	O
placebo	NN	placebo	placebo	placebo	N	O
-	:	-	-	-	N	O
controlled	VBN	controlled	controlled	control	N	O
trials	NNS	trials	trial	trial	N	O
received	VBD	received	received	receiv	N	O
FULYZAQ	NNP	fulyzaq	fulyzaq	fulyzaq	N	O
for	IN	for	for	for	N	O
a	DT	a	a	a	N	O
mean	JJ	mean	mean	mean	N	O
duration	NN	duration	duration	durat	N	O
of	IN	of	of	of	N	O
78	CD	78	78	78	N	O
days	NNS	days	day	day	N	O
.	.	.	.	.	N	O

Of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
total	JJ	total	total	total	N	O
population	NN	population	population	popul	N	O
across	IN	across	across	across	N	O
the	DT	the	the	the	N	O
three	CD	three	three	three	N	O
trials	NNS	trials	trial	trial	N	O
,	,	,	,	,	N	O
229	CD	229	229	229	N	O
patients	NNS	patients	patient	patient	N	O
received	VBD	received	received	receiv	N	O
a	DT	a	a	a	N	O
dose	NN	dose	dose	dose	N	O
of	IN	of	of	of	N	O
125	CD	125	125	125	N	O
mg	NN	mg	mg	mg	N	O
twice	RB	twice	twice	twice	N	O
a	DT	a	a	a	N	O
day	NN	day	day	day	N	O
for	IN	for	for	for	N	O
a	DT	a	a	a	N	O
mean	JJ	mean	mean	mean	N	O
duration	NN	duration	duration	durat	N	O
of	IN	of	of	of	N	O
141	CD	141	141	141	N	O
days	NNS	days	day	day	N	O
,	,	,	,	,	N	O
69	CD	69	69	69	N	O
patients	NNS	patients	patient	patient	N	O
received	VBD	received	received	receiv	N	O
a	DT	a	a	a	N	O
dose	NN	dose	dose	dose	N	O
of	IN	of	of	of	N	O
250	CD	250	250	250	N	O
mg	NN	mg	mg	mg	N	O
twice	RB	twice	twice	twice	N	O
a	DT	a	a	a	N	O
day	NN	day	day	day	N	O
for	IN	for	for	for	N	O
a	DT	a	a	a	N	O
