6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	VBG	following	following	follow	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
described	VBN	described	described	describ	N	O
elsewhere	RB	elsewhere	elsewhere	elsewher	N	O
in	IN	in	in	in	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Bradyarrhythmia	NNP	bradyarrhythmia	bradyarrhythmia	bradyarrhythmia	Y	B-AdverseReaction
and	CC	and	and	and	N	O
Atrioventricular	NNP	atrioventricular	atrioventricular	atrioventricular	N	B-AdverseReaction
Blocks	NNP	blocks	block	block	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Infections	NNS	infections	infection	infect	N	B-AdverseReaction
[	VBP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNS	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O

Progressive	JJ	progressive	progressive	progress	N	B-AdverseReaction
multifocal	JJ	multifocal	multifocal	multifoc	N	I-AdverseReaction
leukoencephalopathy	NN	leukoencephalopathy	leukoencephalopathy	leukoencephalopathi	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

Macular	JJ	macular	macular	macular	N	B-AdverseReaction
Edema	NNP	edema	edema	edema	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)]	NN	)]	)]	)]	N	O

Posterior	NNP	posterior	posterior	posterior	N	B-AdverseReaction
Reversible	NNP	reversible	reversible	revers	N	I-AdverseReaction
Encephalopathy	NNP	encephalopathy	encephalopathy	encephalopathi	Y	I-AdverseReaction
Syndrome	NNP	syndrome	syndrome	syndrom	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)]	NN	)]	)]	)]	N	O

Respiratory	JJ	respiratory	respiratory	respiratori	N	B-AdverseReaction
Effects	NNS	effects	effect	effect	N	I-AdverseReaction
[	VBP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNS	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.6	CD	5.6	5.6	5.6	N	O
)]	NN	)]	)]	)]	N	O

Liver	NNP	liver	liver	liver	N	B-AdverseReaction
Injury	NNP	injury	injury	injuri	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.7	CD	5.7	5.7	5.7	N	O
)]	NN	)]	)]	)]	N	O

EXCERPT	NNS	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Most	JJS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
incidence	NN	incidence	incidence	incid	N	O
10%	CD	10%	10%	10%	N	O
and	CC	and	and	and	N	O
placebo	NN	placebo	placebo	placebo	N	O
)	)	)	)	)	N	O
:	:	:	:	:	N	O
Headache	NN	headache	headache	headach	Y	B-AdverseReaction
,	,	,	,	,	N	O
liver	JJ	liver	liver	liver	N	B-AdverseReaction
transaminase	NN	transaminase	transaminase	transaminas	N	I-AdverseReaction
elevation	NN	elevation	elevation	elev	N	I-AdverseReaction
,	,	,	,	,	N	O
diarrhea	NN	diarrhea	diarrhea	diarrhea	Y	B-AdverseReaction
,	,	,	,	,	N	O
cough	NN	cough	cough	cough	Y	B-AdverseReaction
,	,	,	,	,	N	O
influenza	NN	influenza	influenza	influenza	Y	B-AdverseReaction
,	,	,	,	,	N	O
