6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Diarrhea	NNP	diarrhea	diarrhea	diarrhea	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Bullous	JJ	bullous	bullous	bullou	N	B-AdverseReaction
and	CC	and	and	and	N	O
Exfoliative	JJ	exfoliative	exfoliative	exfoli	N	B-AdverseReaction
Skin	NNP	skin	skin	skin	N	I-AdverseReaction
Disorders	NNP	disorders	disorder	disord	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O

Interstitial	JJ	interstitial	interstitial	interstiti	N	B-AdverseReaction
Lung	NNP	lung	lung	lung	N	I-AdverseReaction
Disease	NNP	disease	disease	diseas	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

Hepatic	JJ	hepatic	hepatic	hepat	N	B-AdverseReaction
Toxicity	NNP	toxicity	toxicity	toxic	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)]	NN	)]	)]	)]	N	O

Keratitis	NNP	keratitis	keratitis	kerat	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)]	NN	)]	)]	)]	N	O

EXCERPT	NNS	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Most	JJS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
20%	CD	20%	20%	20%	N	O
)	)	)	)	)	N	O
are	VBP	are	are	are	N	O
diarrhea	JJ	diarrhea	diarrhea	diarrhea	Y	B-AdverseReaction
,	,	,	,	,	N	O
rash	JJ	rash	rash	rash	Y	B-AdverseReaction
dermatitis	NN	dermatitis	dermatitis	dermat	Y	B-AdverseReaction
acneiform	NN	acneiform	acneiform	acneiform	N	I-AdverseReaction
,	,	,	,	,	N	O
stomatitis	NN	stomatitis	stomatitis	stomat	Y	B-AdverseReaction
,	,	,	,	,	N	O
paronychia	NN	paronychia	paronychia	paronychia	Y	B-AdverseReaction
,	,	,	,	,	N	O
dry	JJ	dry	dry	dri	N	B-AdverseReaction
skin	NN	skin	skin	skin	N	I-AdverseReaction
,	,	,	,	,	N	O
decreased	VBN	decreased	decreased	decreas	N	B-AdverseReaction
