6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

Three	CD	three	three	three	N	O
hundred	VBD	hundred	hundred	hundr	N	O
ninety	SYM	ninety	ninety	nineti	N	O
-	:	-	-	-	N	O
five	CD	five	five	five	N	O
patients	NNS	patients	patient	patient	N	O
,	,	,	,	,	N	O
including	VBG	including	including	includ	N	O
approximately	RB	approximately	approximately	approxim	N	O
250	CD	250	250	250	N	O
children	NNS	children	child	children	N	O
(	(	(	(	(	N	O
aged	VBN	aged	aged	age	N	O
2	CD	2	2	2	N	O
to	TO	to	to	to	N	O
17	CD	17	17	17	N	O
years	NNS	years	year	year	N	O
)	)	)	)	)	N	O
have	VBP	have	have	have	N	O
been	VBN	been	been	been	N	O
treated	VBN	treated	treated	treat	N	O
with	IN	with	with	with	N	O
ILARIS	NNP	ilaris	ilaris	ilari	N	O
in	IN	in	in	in	N	O
interventional	JJ	interventional	interventional	intervent	N	O
trials	NNS	trials	trial	trial	N	O
in	IN	in	in	in	N	O
CAPS	NNP	caps	cap	cap	N	O
or	CC	or	or	or	N	O
SJIA	NNP	sjia	sjia	sjia	N	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
frequently	RB	frequently	frequently	frequent	N	O
reported	VBD	reported	reported	report	N	O
adverse	JJ	adverse	adverse	advers	N	O
drug	NN	drug	drug	drug	N	O
reactions	NNS	reactions	reaction	reaction	N	O
were	VBD	were	were	were	N	O
infections	NNS	infections	infection	infect	N	B-AdverseReaction
predominantly	RB	predominantly	predominantly	predominantli	N	O
of	IN	of	of	of	N	I-AdverseReaction
the	DT	the	the	the	N	I-AdverseReaction
upper	JJ	upper	upper	upper	N	I-AdverseReaction
respiratory	NN	respiratory	respiratory	respiratori	N	I-AdverseReaction
tract	NN	tract	tract	tract	N	I-AdverseReaction
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
majority	NN	majority	majority	major	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
events	NNS	events	event	event	N	O
were	VBD	were	were	were	N	O
mild	JJ	mild	mild	mild	N	B-Severity
to	TO	to	to	to	N	I-Severity
moderate	VB	moderate	moderate	moder	N	I-Severity
although	IN	although	although	although	N	O
serious	JJ	serious	serious	seriou	N	B-Severity
infections	NNS	infections	infection	infect	N	B-AdverseReaction
were	VBD	were	were	were	N	O
observed	VBN	observed	observed	observ	N	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
type	NN	type	type	type	N	O
and	CC	and	and	and	N	O
frequency	NN	frequency	frequency	frequenc	N	O
of	IN	of	of	of	N	O
adverse	JJ	adverse	adverse	advers	N	O
drug	NN	drug	drug	drug	N	O
reactions	NNS	reactions	reaction	reaction	N	O
appeared	VBD	appeared	appeared	appear	N	O
to	TO	to	to	to	N	O
be	VB	be	be	be	N	O
consistent	JJ	consistent	consistent	consist	N	O
over	IN	over	over	over	N	O
time	NN	time	time	time	N	O
.	.	.	.	.	N	O

Opportunistic	JJ	opportunistic	opportunistic	opportunist	N	B-AdverseReaction
infections	NNS	infections	infection	infect	N	I-AdverseReaction
have	VBP	have	have	have	N	O
also	RB	also	also	also	N	O
been	VBN	been	been	been	N	O
reported	VBN	reported	reported	report	N	O
in	IN	in	in	in	N	O
patients	NNS	patients	patient	patient	N	O
treated	VBN	treated	treated	treat	N	O
with	IN	with	with	with	N	O
ILARIS	NNP	ilaris	ilaris	ilari	N	O
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
CAPS	NN	caps	cap	cap	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
