6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

Because	IN	because	because	becaus	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
are	VBP	are	are	are	N	O
conducted	VBN	conducted	conducted	conduct	N	O
under	IN	under	under	under	N	O
widely	RB	widely	widely	wide	N	O
varying	VBG	varying	varying	vari	N	O
conditions	NNS	conditions	condition	condit	N	O
,	,	,	,	,	N	O
adverse	JJ	adverse	adverse	advers	N	O
reaction	NN	reaction	reaction	reaction	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
a	DT	a	a	a	N	O
drug	NN	drug	drug	drug	N	O
cannot	NN	cannot	cannot	cannot	N	O
be	VB	be	be	be	N	O
directly	RB	directly	directly	directli	N	O
compared	VBN	compared	compared	compar	N	O
to	TO	to	to	to	N	O
rates	NNS	rates	rate	rate	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
another	DT	another	another	anoth	N	O
drug	NN	drug	drug	drug	N	O
and	CC	and	and	and	N	O
may	MD	may	may	may	N	O
not	RB	not	not	not	N	O
reflect	VB	reflect	reflect	reflect	N	O
the	DT	the	the	the	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
clinical	JJ	clinical	clinical	clinic	N	O
practice	NN	practice	practice	practic	N	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
safety	NN	safety	safety	safeti	N	O
of	IN	of	of	of	N	O
INLYTA	NNP	inlyta	inlyta	inlyta	N	O
has	VBZ	has	ha	ha	N	O
been	VBN	been	been	been	N	O
evaluated	VBN	evaluated	evaluated	evalu	N	O
in	IN	in	in	in	N	O
715	CD	715	715	715	N	O
patients	NNS	patients	patient	patient	N	O
in	IN	in	in	in	N	O
monotherapy	NN	monotherapy	monotherapy	monotherapi	N	O
studies	NNS	studies	study	studi	N	O
,	,	,	,	,	N	O
which	WDT	which	which	which	N	O
included	VBD	included	included	includ	N	O
537	CD	537	537	537	N	O
patients	NNS	patients	patient	patient	N	O
with	IN	with	with	with	N	O
advanced	JJ	advanced	advanced	advanc	N	O
RCC	NNP	rcc	rcc	rcc	N	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
data	NN	data	data	data	N	O
described	VBD	described	described	describ	N	O
[	JJ	[	[	[	N	O
seeAdverse	JJ	seeadverse	seeadverse	seeadvers	N	O
Reactions	NNP	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)]	NN	)]	)]	)]	N	O
reflect	NN	reflect	reflect	reflect	N	O
exposure	NN	exposure	exposure	exposur	N	O
to	TO	to	to	to	N	O
INLYTA	NNP	inlyta	inlyta	inlyta	N	O
in	IN	in	in	in	N	O
359	CD	359	359	359	N	O
patients	NNS	patients	patient	patient	N	O
with	IN	with	with	with	N	O
advanced	JJ	advanced	advanced	advanc	N	O
RCC	NNP	rcc	rcc	rcc	N	O
who	WP	who	who	who	N	O
participated	VBD	participated	participated	particip	N	O
in	IN	in	in	in	N	O
a	DT	a	a	a	N	O
randomized	JJ	randomized	randomized	random	N	O
clinical	JJ	clinical	clinical	clinic	N	O
study	NN	study	study	studi	N	O
versus	NN	versus	versus	versu	N	O
sorafenib	NN	sorafenib	sorafenib	sorafenib	N	O
[	NNP	[	[	[	N	O
seeClinical	JJ	seeclinical	seeclinical	seeclin	N	O
Studies	NNP	studies	study	studi	N	O
(	(	(	(	(	N	O
14	CD	14	14	14	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
risks	NNS	risks	risk	risk	N	B-Factor
,	,	,	,	,	N	O
including	VBG	including	including	includ	N	O
appropriate	JJ	appropriate	appropriate	appropri	N	O
action	NN	action	action	action	N	O
to	TO	to	to	to	N	O
be	VB	be	be	be	N	O
taken	VBN	taken	taken	taken	N	O
,	,	,	,	,	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
label	NN	label	label	label	N	O
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
-	:	-	-	-	N	O
