6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
important	JJ	important	important	import	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
described	VBN	described	described	describ	N	O
below	IN	below	below	below	N	O
and	CC	and	and	and	N	O
elsewhere	RB	elsewhere	elsewhere	elsewher	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Hypotension	NNP	hypotension	hypotension	hypotens	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Impairment	NN	impairment	impairment	impair	N	B-AdverseReaction
in	IN	in	in	in	N	I-AdverseReaction
Renal	NNP	renal	renal	renal	N	I-AdverseReaction
Function	NNP	function	function	function	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Hyperkalemia	NNP	hyperkalemia	hyperkalemia	hyperkalemia	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Hypoglycemia	NN	hypoglycemia	hypoglycemia	hypoglycemia	Y	B-AdverseReaction
with	IN	with	with	with	N	O
Concomitant	NNP	concomitant	concomitant	concomit	N	O
Use	NNP	use	use	use	N	O
with	IN	with	with	with	N	O
Insulin	NNP	insulin	insulin	insulin	Y	O
and	CC	and	and	and	N	O
Insulin	NNP	insulin	insulin	insulin	Y	O
Secretagogues	NNP	secretagogues	secretagogues	secretagogu	N	O
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Genital	NNP	genital	genital	genit	N	B-AdverseReaction
Mycotic	NNP	mycotic	mycotic	mycot	N	I-AdverseReaction
Infections	NNP	infections	infection	infect	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Hypersensitivity	NNP	hypersensitivity	hypersensitivity	hypersensit	Y	B-AdverseReaction
Reactions	NNP	reactions	reaction	reaction	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.6	CD	5.6	5.6	5.6	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Bone	NNP	bone	bone	bone	N	B-AdverseReaction
Fracture	NNP	fracture	fracture	fractur	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.7	CD	5.7	5.7	5.7	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Increases	NNS	increases	increase	increas	N	B-AdverseReaction
in	IN	in	in	in	N	I-AdverseReaction
Low	NNP	low	low	low	N	I-AdverseReaction
-	:	-	-	-	N	I-AdverseReaction
Density	NN	density	density	densiti	N	I-AdverseReaction
Lipoprotein	NNP	lipoprotein	lipoprotein	lipoprotein	N	I-AdverseReaction
(	(	(	(	(	N	O
LDL	NNP	ldl	ldl	ldl	Y	O
-	:	-	-	-	N	O
C	NNP	c	c	c	N	O
)	)	)	)	)	N	O
[	VBD	[	[	[	N	O
see	JJ	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.8	CD	5.8	5.8	5.8	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

