6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	VBG	following	following	follow	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
with	IN	with	with	with	N	O
the	DT	the	the	the	N	O
use	NN	use	use	use	N	O
of	IN	of	of	of	N	O
COCs	NNP	cocs	cocs	coc	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
elsewhere	RB	elsewhere	elsewhere	elsewher	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Serious	JJ	serious	serious	seriou	N	B-Severity
cardiovascular	JJ	cardiovascular	cardiovascular	cardiovascular	N	B-AdverseReaction
events	NNS	events	event	event	N	I-AdverseReaction
and	CC	and	and	and	N	O
stroke	VBD	stroke	stroke	stroke	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VB	see	see	see	N	O
Boxed	NNP	boxed	boxed	box	N	O
Warning	NNP	warning	warning	warn	N	O
and	CC	and	and	and	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Vascular	JJ	vascular	vascular	vascular	N	B-AdverseReaction
events	NNS	events	event	event	N	I-AdverseReaction
[	JJ	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNS	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Liver	NNP	liver	liver	liver	N	B-AdverseReaction
disease	NN	disease	disease	diseas	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

Adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
commonly	RB	commonly	commonly	commonli	N	O
reported	VBN	reported	reported	report	N	O
by	IN	by	by	by	N	O
COC	NNP	coc	coc	coc	N	O
users	NNS	users	user	user	N	O
are	VBP	are	are	are	N	O
:	:	:	:	:	N	O

Irregular	JJ	irregular	irregular	irregular	N	B-AdverseReaction

uterine	JJ	uterine	uterine	uterin	N	I-AdverseReaction
bleeding	NN	bleeding	bleeding	bleed	Y	I-AdverseReaction

Nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction

Breast	NNP	breast	breast	breast	N	B-AdverseReaction
tenderness	NN	tenderness	tenderness	tender	Y	I-AdverseReaction

Headache	NN	headache	headache	headach	Y	B-AdverseReaction

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
2%	CD	2%	2%	2%	N	O
)	)	)	)	)	N	O
in	IN	in	in	in	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
for	IN	for	for	for	N	O
Natazia	NNP	natazia	natazia	natazia	N	O
are	VBP	are	are	are	N	O
headaches	NNS	headaches	headache	headach	N	B-AdverseReaction
,	,	,	,	,	N	O
irregular	JJ	irregular	irregular	irregular	N	B-AdverseReaction
uterine	NN	uterine	uterine	uterin	N	I-AdverseReaction
bleeding	NN	bleeding	bleeding	bleed	Y	I-AdverseReaction
,	,	,	,	,	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
(	(	(	(	(	N	O
including	VBG	including	including	includ	N	O
