6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
with	IN	with	with	with	N	O
NORTHERA	NNP	northera	northera	northera	N	O
are	VBP	are	are	are	N	O
included	VBN	included	included	includ	N	O
in	IN	in	in	in	N	O
more	JJR	more	more	more	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
section	NN	section	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
label	NN	label	label	label	N	O
:	:	:	:	:	N	O

Supine	NNP	supine	supine	supin	N	B-AdverseReaction
Hypertension	NNP	hypertension	hypertension	hypertens	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Hyperpyrexia	NNP	hyperpyrexia	hyperpyrexia	hyperpyrexia	Y	B-AdverseReaction
and	CC	and	and	and	N	O
Confusion	NNP	confusion	confusion	confus	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O

May	NNP	may	may	may	N	B-Factor
exacerbate	VB	exacerbate	exacerbate	exacerb	N	B-AdverseReaction
existing	VBG	existing	existing	exist	N	O
ischemic	JJ	ischemic	ischemic	ischem	N	I-AdverseReaction
heart	NN	heart	heart	heart	N	I-AdverseReaction
disease	NN	disease	disease	diseas	N	I-AdverseReaction
,	,	,	,	,	N	O
arrhythmias	NN	arrhythmias	arrhythmia	arrhythmia	N	I-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
congestive	JJ	congestive	congestive	congest	N	I-AdverseReaction
heart	NN	heart	heart	heart	N	I-AdverseReaction
failure	NN	failure	failure	failur	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Headache	NNP	headache	headache	headach	Y	B-AdverseReaction
,	,	,	,	,	N	O
dizziness	NN	dizziness	dizziness	dizzi	Y	B-AdverseReaction
,	,	,	,	,	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
,	,	,	,	,	N	O
hypertension	NN	hypertension	hypertension	hypertens	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
fatigue	NN	fatigue	fatigue	fatigu	Y	B-AdverseReaction
(	(	(	(	(	N	O
greater	JJR	greater	greater	greater	N	O
than	IN	than	than	than	N	O
5%	CD	5%	5%	5%	N	O
)	)	)	)	)	N	O
(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O

report	NN	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Lundbeck	NNP	lundbeck	lundbeck	lundbeck	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
455	CD	455	455	455	N	O
-	:	-	-	-	N	O
1141	CD	1141	1141	1141	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
.	.	.	.	.	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Trials	NNS	trials	trial	trial	N	O
Experience	NN	experience	experience	experi	N	O

Because	IN	because	because	becaus	N	O
