6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
reported	VBN	reported	reported	report	N	O
with	IN	with	with	with	N	O
NULOJIX	NNP	nulojix	nulojix	nulojix	N	O
are	VBP	are	are	are	N	O
:	:	:	:	:	N	O

PTLD	NNP	ptld	ptld	ptld	N	B-AdverseReaction
,	,	,	,	,	N	O
predominantly	RB	predominantly	predominantly	predominantli	N	O
CNS	NNP	cns	cns	cn	N	B-AdverseReaction
PTLD	NNP	ptld	ptld	ptld	N	I-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
other	JJ	other	other	other	N	O
malignancies	NNS	malignancies	malignancy	malign	N	B-AdverseReaction
[	VBP	[	[	[	N	O
see	VB	see	see	see	N	O
Boxed	NNP	boxed	boxed	box	N	O
Warning	NNP	warning	warning	warn	N	O
and	CC	and	and	and	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
,	,	,	,	,	N	O
5.3	CD	5.3	5.3	5.3	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Serious	JJ	serious	serious	seriou	N	B-Severity
infections	NNS	infections	infection	infect	N	B-AdverseReaction
,	,	,	,	,	N	O
including	VBG	including	including	includ	N	O
JC	NNP	jc	jc	jc	N	B-AdverseReaction
virus	NN	virus	virus	viru	N	I-AdverseReaction
-	:	-	-	-	N	O
associated	VBN	associated	associated	associ	N	O
PML	NNP	pml	pml	pml	N	B-AdverseReaction
and	CC	and	and	and	N	O
polyoma	VB	polyoma	polyoma	polyoma	N	B-AdverseReaction
virus	NN	virus	virus	viru	N	I-AdverseReaction
nephropathy	JJ	nephropathy	nephropathy	nephropathi	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
,	,	,	,	,	N	O
5.5	CD	5.5	5.5	5.5	N	O
,	,	,	,	,	N	O
5.6	CD	5.6	5.6	5.6	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

EXCERPT	NNS	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Most	JJS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
20%	CD	20%	20%	20%	N	O
on	IN	on	on	on	N	O
NULOJIX	NNP	nulojix	nulojix	nulojix	N	O
treatment	NN	treatment	treatment	treatment	N	O
)	)	)	)	)	N	O
are	VBP	are	are	are	N	O
anemia	JJ	anemia	anemia	anemia	Y	B-AdverseReaction
,	,	,	,	,	N	O
diarrhea	NN	diarrhea	diarrhea	diarrhea	Y	B-AdverseReaction
,	,	,	,	,	N	O
urinary	JJ	urinary	urinary	urinari	N	B-AdverseReaction
tract	NN	tract	tract	tract	N	I-AdverseReaction
infection	NN	infection	infection	infect	Y	I-AdverseReaction
,	,	,	,	,	N	O
peripheral	JJ	peripheral	peripheral	peripher	N	B-AdverseReaction
edema	NN	edema	edema	edema	Y	I-AdverseReaction
,	,	,	,	,	N	O
constipation	NN	constipation	constipation	constip	Y	B-AdverseReaction
,	,	,	,	,	N	O
hypertension	NN	hypertension	hypertension	hypertens	Y	B-AdverseReaction
,	,	,	,	,	N	O
pyrexia	NN	pyrexia	pyrexia	pyrexia	Y	B-AdverseReaction
,	,	,	,	,	N	O
graft	NN	graft	graft	graft	N	B-AdverseReaction
dysfunction	NN	dysfunction	dysfunction	dysfunct	N	I-AdverseReaction
,	,	,	,	,	N	O
cough	NN	cough	cough	cough	Y	B-AdverseReaction
,	,	,	,	,	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
,	,	,	,	,	N	O
vomiting	VBG	vomiting	vomiting	vomit	Y	B-AdverseReaction
,	,	,	,	,	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
,	,	,	,	,	N	O
hypokalemia	NN	hypokalemia	hypokalemia	hypokalemia	Y	B-AdverseReaction
,	,	,	,	,	N	O
hyperkalemia	NN	hyperkalemia	hyperkalemia	hyperkalemia	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
leukopenia	NN	leukopenia	leukopenia	leukopenia	Y	B-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O

report	NN	report	report	report	N	O
