6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

Clinically	RB	clinically	clinically	clinic	N	O
significant	JJ	significant	significant	signific	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
that	WDT	that	that	that	N	O
appear	VBP	appear	appear	appear	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
labeling	VBG	labeling	labeling	label	N	O
include	VBP	include	include	includ	N	O
the	DT	the	the	the	N	O
following	NN	following	following	follow	N	O
:	:	:	:	:	N	O

Somnolence	NN	somnolence	somnolence	somnol	Y	B-AdverseReaction
or	CC	or	or	or	N	O
Sedation	NNP	sedation	sedation	sedat	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Potentiation	NN	potentiation	potentiation	potenti	N	B-AdverseReaction
of	IN	of	of	of	N	I-AdverseReaction
Sedation	NN	sedation	sedation	sedat	Y	I-AdverseReaction
from	IN	from	from	from	N	O
Concomitant	NNP	concomitant	concomitant	concomit	N	O
Use	NNP	use	use	use	N	O
with	IN	with	with	with	N	O
Central	NNP	central	central	central	N	O
Nervous	NNP	nervous	nervous	nervou	Y	O
System	NNP	system	system	system	N	O
Depressants	NNP	depressants	depressant	depress	N	O
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O

Withdrawal	NNP	withdrawal	withdrawal	withdraw	N	O
Symptoms	NNP	symptoms	symptom	symptom	N	O
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

Serious	JJ	serious	serious	seriou	N	B-Severity
Dermatological	NNP	dermatological	dermatological	dermatolog	N	B-AdverseReaction
Reactions	NNP	reactions	reaction	reaction	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Contraindications	NNP	contraindications	contraindication	contraind	N	O
(	(	(	(	(	N	O
4	CD	4	4	4	N	O
)	)	)	)	)	N	O
,	,	,	,	,	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)]	NN	)]	)]	)]	N	O

Physical	JJ	physical	physical	physic	N	B-AdverseReaction
and	CC	and	and	and	N	O
Psychological	JJ	psychological	psychological	psycholog	N	B-AdverseReaction
Dependence	NNP	dependence	dependence	depend	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)]	NN	)]	)]	)]	N	O

Suicidal	NNP	suicidal	suicidal	suicid	N	B-AdverseReaction
Behavior	NNP	behavior	behavior	behavior	N	I-AdverseReaction
and	CC	and	and	and	N	O
Ideation	NNP	ideation	ideation	ideat	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.6	CD	5.6	5.6	5.6	N	O
)]	NN	)]	)]	)]	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
that	WDT	that	that	that	N	O
occurred	VBD	occurred	occurred	occur	N	O
at	IN	at	at	at	N	O
least	JJS	least	least	least	N	O
10%	CD	10%	10%	10%	N	O
more	JJR	more	more	more	N	O
frequently	RB	frequently	frequently	frequent	N	O
than	IN	than	than	than	N	O
placebo	NN	placebo	placebo	placebo	N	O
in	IN	in	in	in	N	O
any	DT	any	any	ani	N	O
ONFI	NNP	onfi	onfi	onfi	N	O
dose	NN	dose	dose	dose	N	O
included	VBD	included	included	includ	N	O
constipation	NN	constipation	constipation	constip	Y	B-AdverseReaction
,	,	,	,	,	N	O
somnolence	NN	somnolence	somnolence	somnol	Y	B-AdverseReaction
or	CC	or	or	or	N	O
