6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
more	JJR	more	more	more	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Use	NNP	use	use	use	N	O
in	IN	in	in	in	N	O
Elderly	JJ	elderly	elderly	elderli	Y	O
Patients	NNS	patients	patient	patient	N	O
with	IN	with	with	with	N	O
Dementia	NNP	dementia	dementia	dementia	Y	O
-	:	-	-	-	N	O
Related	JJ	related	related	relat	N	O
Psychosis	NNP	psychosis	psychosis	psychosi	Y	O
[	NNP	[	[	[	N	O
seeBoxed	VBD	seeboxed	seeboxed	seebox	N	O
Warningand	NNP	warningand	warningand	warningand	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
and5	NN	and5	and5	and5	N	O
.	.	.	.	.	N	O
2	CD	2	2	2	N	O
)]	NN	)]	)]	)]	N	O

Neuroleptic	JJ	neuroleptic	neuroleptic	neurolept	N	B-AdverseReaction
Malignant	NNP	malignant	malignant	malign	N	I-AdverseReaction
Syndrome	NNP	syndrome	syndrome	syndrom	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

Tardive	JJ	tardive	tardive	tardiv	N	B-AdverseReaction
Dyskinesia	NNP	dyskinesia	dyskinesia	dyskinesia	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)]	NN	)]	)]	)]	N	O

Metabolic	NNP	metabolic	metabolic	metabol	N	B-AdverseReaction
Changes	NNP	changes	change	chang	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)]	NN	)]	)]	)]	N	O

Hypersensitivity	NNP	hypersensitivity	hypersensitivity	hypersensit	Y	B-AdverseReaction
Reactions	NNP	reactions	reaction	reaction	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Contraindications	NNP	contraindications	contraindication	contraind	N	O
,	,	,	,	,	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.6	CD	5.6	5.6	5.6	N	O
)	)	)	)	)	N	O
and	CC	and	and	and	N	O
Patient	NNP	patient	patient	patient	N	O
Counseling	NNP	counseling	counseling	counsel	N	O
Information	NNP	information	information	inform	N	O
(	(	(	(	(	N	O
17	CD	17	17	17	N	O
)]	NN	)]	)]	)]	N	O

Application	NNP	application	application	applic	N	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
including	VBG	including	including	includ	N	O
oral	JJ	oral	oral	oral	N	I-AdverseReaction
ulcers	NNS	ulcers	ulcer	ulcer	N	I-AdverseReaction
,	,	,	,	,	N	O
blisters	NNS	blisters	blister	blister	Y	I-AdverseReaction
,	,	,	,	,	N	O
peeling	VBG	peeling	peeling	peel	Y	I-AdverseReaction
sloughing	NN	sloughing	sloughing	slough	Y	I-AdverseReaction
and	CC	and	and	and	N	O
inflammation	NN	inflammation	inflammation	inflamm	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Adverse	JJ	adverse	adverse	advers	N	O
Reactions	NNP	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
6.2	CD	6.2	6.2	6.2	N	O
)]	NN	)]	)]	)]	N	O

Orthostatic	JJ	orthostatic	orthostatic	orthostat	N	B-AdverseReaction
Hypotension	NNP	hypotension	hypotension	hypotens	Y	I-AdverseReaction
,	,	,	,	,	N	O
Syncope	NNP	syncope	syncope	syncop	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
other	JJ	other	other	other	N	O
