6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
another	DT	another	another	anoth	N	O
section	NN	section	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
label	NN	label	label	label	N	O
:	:	:	:	:	N	O

New	NNP	new	new	new	N	O
Primary	NNP	primary	primary	primari	N	B-AdverseReaction
Malignancies	NNP	malignancies	malignancy	malign	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

Tumor	NN	tumor	tumor	tumor	N	B-AdverseReaction
Promotion	NNP	promotion	promotion	promot	Y	I-AdverseReaction
in	IN	in	in	in	N	I-AdverseReaction
BRAF	NNP	braf	braf	braf	N	I-AdverseReaction
Wild	NNP	wild	wild	wild	N	I-AdverseReaction
-	:	-	-	-	N	I-AdverseReaction
Type	NN	type	type	type	N	I-AdverseReaction
Melanoma	NNP	melanoma	melanoma	melanoma	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O

Hemorrhage	NN	hemorrhage	hemorrhage	hemorrhag	Y	B-AdverseReaction
[	VBD	[	[	[	N	O
see	JJ	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O

Venous	JJ	venous	venous	venou	N	B-AdverseReaction
Thromboembolism	NNP	thromboembolism	thromboembolism	thromboembol	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)]	NN	)]	)]	)]	N	O

Cardiomyopathy	JJ	cardiomyopathy	cardiomyopathy	cardiomyopathi	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.5	CD	5.5	5.5	5.5	N	O
)]	NN	)]	)]	)]	N	O

Ocular	JJ	ocular	ocular	ocular	N	B-AdverseReaction
Toxicities	NNS	toxicities	toxicity	toxic	N	I-AdverseReaction
[	VBP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNS	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.6	CD	5.6	5.6	5.6	N	O
)]	NN	)]	)]	)]	N	O

Serious	JJ	serious	serious	seriou	N	B-Severity
Febrile	NNP	febrile	febrile	febril	N	B-AdverseReaction
Reactions	NNP	reactions	reaction	reaction	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.7	CD	5.7	5.7	5.7	N	O
)]	NN	)]	)]	)]	N	O

Serious	JJ	serious	serious	seriou	N	B-Severity
