6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
important	JJ	important	important	import	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
are	VBP	are	are	are	N	O
described	VBN	described	described	describ	N	O
elsewhere	RB	elsewhere	elsewhere	elsewher	N	O
in	IN	in	in	in	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Anaphylaxis	NNP	anaphylaxis	anaphylaxis	anaphylaxi	Y	B-AdverseReaction
and	CC	and	and	and	N	O
Angioedema	NNP	angioedema	angioedema	angioedema	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

Progressive	JJ	progressive	progressive	progress	N	B-AdverseReaction
multifocal	JJ	multifocal	multifocal	multifoc	N	I-AdverseReaction
leukoencephalopathy	NN	leukoencephalopathy	leukoencephalopathy	leukoencephalopathi	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

Lymphopenia	NNP	lymphopenia	lymphopenia	lymphopenia	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

Flushing	VBG	flushing	flushing	flush	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

EXCERPT	NNS	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Most	JJS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
incidence	NN	incidence	incidence	incid	N	O
10%	CD	10%	10%	10%	N	O
and	CC	and	and	and	N	O
2%	CD	2%	2%	2%	N	O
placebo	NN	placebo	placebo	placebo	N	O
)	)	)	)	)	N	O
were	VBD	were	were	were	N	O
flushing	VBG	flushing	flushing	flush	Y	B-AdverseReaction
,	,	,	,	,	N	O
abdominal	JJ	abdominal	abdominal	abdomin	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
diarrhea	NN	diarrhea	diarrhea	diarrhea	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O

report	NN	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Biogen	NNP	biogen	biogen	biogen	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
456	CD	456	456	456	N	O
-	:	-	-	-	N	O
