6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
frequently	RB	frequently	frequently	frequent	N	O
reported	VBD	reported	reported	report	N	O
adverse	JJ	adverse	adverse	advers	N	O
events	NNS	events	event	event	N	O
(	(	(	(	(	N	O
4%	CD	4%	4%	4%	N	O
)	)	)	)	)	N	O
for	IN	for	for	for	N	O
Toviaz	NNP	toviaz	toviaz	toviaz	N	O
were	VBD	were	were	were	N	O
:	:	:	:	:	N	O
dry	JJ	dry	dry	dri	N	B-AdverseReaction
mouth	NN	mouth	mouth	mouth	N	I-AdverseReaction
(	(	(	(	(	N	O
placebo	NN	placebo	placebo	placebo	N	O
,	,	,	,	,	N	O
7%	CD	7%	7%	7%	N	O
;	:	;	;	;	N	O
Toviaz	NNP	toviaz	toviaz	toviaz	N	O
4	CD	4	4	4	N	O
mg	NN	mg	mg	mg	N	O
,	,	,	,	,	N	O
19%	CD	19%	19%	19%	N	O
;	:	;	;	;	N	O
Toviaz	NNP	toviaz	toviaz	toviaz	N	O
8	CD	8	8	8	N	O
mg	NN	mg	mg	mg	N	O
,	,	,	,	,	N	O
35%	CD	35%	35%	35%	N	O
)	)	)	)	)	N	O
and	CC	and	and	and	N	O
constipation	NN	constipation	constipation	constip	Y	B-AdverseReaction
(	(	(	(	(	N	O
placebo	NN	placebo	placebo	placebo	N	O
,	,	,	,	,	N	O
2%	CD	2%	2%	2%	N	O
;	:	;	;	;	N	O
Toviaz	NNP	toviaz	toviaz	toviaz	N	O
4	CD	4	4	4	N	O
mg	NN	mg	mg	mg	N	O
,	,	,	,	,	N	O
4%	CD	4%	4%	4%	N	O
;	:	;	;	;	N	O
Toviaz	NNP	toviaz	toviaz	toviaz	N	O
8	CD	8	8	8	N	O
mg	NN	mg	mg	mg	N	O
,	,	,	,	,	N	O
6%	CD	6%	6%	6%	N	O
)	)	)	)	)	N	O
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6	CD	6	6	6	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Pfizer	NNP	pfizer	pfizer	pfizer	N	O
Inc	NNP	inc	inc	inc	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
438	CD	438	438	438	N	O
-	:	-	-	-	N	O
1985	CD	1985	1985	1985	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
.	.	.	.	.	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Trials	NNS	trials	trial	trial	N	O
Experience	NN	experience	experience	experi	N	O

The	DT	the	the	the	N	O
safety	NN	safety	safety	safeti	N	O
of	IN	of	of	of	N	O
Toviaz	NNP	toviaz	toviaz	toviaz	N	O
was	VBD	was	wa	wa	N	O
evaluated	VBN	evaluated	evaluated	evalu	N	O
in	IN	in	in	in	N	O
Phase	NNP	phase	phase	phase	N	O
2	CD	2	2	2	N	O
and	CC	and	and	and	N	O
3	CD	3	3	3	N	O
controlled	JJ	controlled	controlled	control	N	O
trials	NNS	trials	trial	trial	N	O
