6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
occurring	VBG	occurring	occurring	occur	N	O
in	IN	in	in	in	N	O
at	IN	at	at	at	N	O
least	JJS	least	least	least	N	O
1%	CD	1%	1%	1%	N	O
of	IN	of	of	of	N	O
ULORIC	NNP	uloric	uloric	ulor	N	O
-	:	-	-	-	N	O
treated	VBD	treated	treated	treat	N	O
patients	NNS	patients	patient	patient	N	O
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
at	IN	at	at	at	N	O
least	JJS	least	least	least	N	O
0.5%	CD	0.5%	0.5%	0.5%	N	O
greater	JJR	greater	greater	greater	N	O
than	IN	than	than	than	N	O
placebo	NN	placebo	placebo	placebo	N	O
,	,	,	,	,	N	O
are	VBP	are	are	are	N	O
liver	JJ	liver	liver	liver	N	B-AdverseReaction
function	NN	function	function	function	N	I-AdverseReaction
abnormalities	NNS	abnormalities	abnormality	abnorm	N	I-AdverseReaction
,	,	,	,	,	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
,	,	,	,	,	N	O
arthralgia	NN	arthralgia	arthralgia	arthralgia	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
rash	NN	rash	rash	rash	Y	B-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O

report	NN	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
Takeda	NNP	takeda	takeda	takeda	N	O
Pharmaceuticals	NNP	pharmaceuticals	pharmaceutical	pharmaceut	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
877	CD	877	877	877	N	O
-	:	-	-	-	N	O
TAKEDA	NNP	takeda	takeda	takeda	N	O
-	:	-	-	-	N	O
7	CD	7	7	7	N	O
(	(	(	(	(	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
877	CD	877	877	877	N	O
-	:	-	-	-	N	O
825	CD	825	825	825	N	O
-	:	-	-	-	N	O
3327	CD	3327	3327	3327	N	O
)	)	)	)	)	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
.	.	.	.	.	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Trials	NNS	trials	trial	trial	N	O
Experience	NN	experience	experience	experi	N	O

Because	IN	because	because	becaus	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
are	VBP	are	are	are	N	O
conducted	VBN	conducted	conducted	conduct	N	O
under	IN	under	under	under	N	O
widely	RB	widely	widely	wide	N	O
varying	VBG	varying	varying	vari	N	O
conditions	NNS	conditions	condition	condit	N	O
,	,	,	,	,	N	O
adverse	JJ	adverse	adverse	advers	N	O
reaction	NN	reaction	reaction	reaction	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
a	DT	a	a	a	N	O
