6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

EXCERPT	NNS	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Most	JJS	most	most	most	N	O
commonly	RB	commonly	commonly	commonli	N	O
reported	VBD	reported	reported	report	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
were	VBD	were	were	were	N	O
flushing	VBG	flushing	flushing	flush	Y	B-AdverseReaction
(	(	(	(	(	N	O
2%	CD	2%	2%	2%	N	O
)	)	)	)	)	N	O
,	,	,	,	,	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
(	(	(	(	(	N	O
1%	CD	1%	1%	1%	N	O
)	)	)	)	)	N	O
,	,	,	,	,	N	O
increased	VBD	increased	increased	increas	N	B-AdverseReaction
blood	NN	blood	blood	blood	N	I-AdverseReaction
pressure	NN	pressure	pressure	pressur	N	I-AdverseReaction
(	(	(	(	(	N	O
2%	CD	2%	2%	2%	N	O
)	)	)	)	)	N	O
,	,	,	,	,	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
(	(	(	(	(	N	O
1%	CD	1%	1%	1%	N	O
)	)	)	)	)	N	O
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
dizziness	NN	dizziness	dizziness	dizzi	Y	B-AdverseReaction
(	(	(	(	(	N	O
1%	CD	1%	1%	1%	N	O
)	)	)	)	)	N	O
.	.	.	.	.	N	O

To	TO	to	to	to	N	O
report	VB	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
contact	NN	contact	contact	contact	N	O
GE	NNP	ge	ge	ge	N	O
Healthcare	NNP	healthcare	healthcare	healthcar	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
654	CD	654	654	654	N	O
-	:	-	-	-	N	O
0118	CD	0118	0118	0118	N	O
or	CC	or	or	or	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
gov	JJ	gov	gov	gov	N	O
medwatch	NN	medwatch	medwatch	medwatch	N	O
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6	CD	6	6	6	N	O
)	)	)	)	)	N	O

6.1	CD	6.1	6.1	6.1	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
Trials	NNS	trials	trial	trial	N	O
Experience	NN	experience	experience	experi	N	O

Clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
are	VBP	are	are	are	N	O
conducted	VBN	conducted	conducted	conduct	N	O
under	IN	under	under	under	N	O
widely	RB	widely	widely	wide	N	O
varying	VBG	varying	varying	vari	N	O
conditions	NNS	conditions	condition	condit	N	O
and	CC	and	and	and	N	O
adverse	JJ	adverse	adverse	advers	N	O
reaction	NN	reaction	reaction	reaction	N	O
rates	NNS	rates	rate	rate	N	O
observed	VBD	observed	observed	observ	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
of	IN	of	of	of	N	O
Vizamyl	NNP	vizamyl	vizamyl	vizamyl	N	O
cannot	NN	cannot	cannot	cannot	N	O
be	VB	be	be	be	N	O
directly	RB	directly	directly	directli	N	O
compared	VBN	compared	compared	compar	N	O
to	TO	to	to	to	N	O
rates	NNS	rates	rate	rate	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
clinical	JJ	clinical	clinical	clinic	N	O
