6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

Serious	JJ	serious	serious	seriou	N	B-Severity
allergic	JJ	allergic	allergic	allerg	N	B-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
,	,	,	,	,	N	O
including	VBG	including	including	includ	N	O
anaphylactic	JJ	anaphylactic	anaphylactic	anaphylact	N	B-AdverseReaction
reactions	NNS	reactions	reaction	reaction	N	I-AdverseReaction
,	,	,	,	,	N	O
may	MD	may	may	may	N	B-Factor
occur	VB	occur	occur	occur	N	O
.	.	.	.	.	N	O

The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
incidence	VB	incidence	incidence	incid	N	O
1%	CD	1%	1%	1%	N	O
)	)	)	)	)	N	O
with	IN	with	with	with	N	O
VORAXAZE	NNP	voraxaze	voraxaze	voraxaz	N	O
are	VBP	are	are	are	N	O
paraesthesias	JJ	paraesthesias	paraesthesia	paraesthesia	N	B-AdverseReaction
,	,	,	,	,	N	O
flushing	JJ	flushing	flushing	flush	Y	B-AdverseReaction
,	,	,	,	,	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
and	CC	and	and	and	N	O
or	CC	or	or	or	N	O
vomiting	NN	vomiting	vomiting	vomit	Y	B-AdverseReaction
,	,	,	,	,	N	O
hypotension	NN	hypotension	hypotension	hypotens	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
.	.	.	.	.	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
In	IN	in	in	in	N	O
clinical	JJ	clinical	clinical	clinic	N	O
trials	NNS	trials	trial	trial	N	O
,	,	,	,	,	N	O
the	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
related	JJ	related	related	relat	N	O
adverse	JJ	adverse	adverse	advers	N	O
events	NNS	events	event	event	N	O
(	(	(	(	(	N	O
occurring	VBG	occurring	occurring	occur	N	O
in	IN	in	in	in	N	O
1%	CD	1%	1%	1%	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
)	)	)	)	)	N	O
were	VBD	were	were	were	N	O
paraesthesia	JJ	paraesthesia	paraesthesia	paraesthesia	Y	B-AdverseReaction
,	,	,	,	,	N	O
flushing	JJ	flushing	flushing	flush	Y	B-AdverseReaction
,	,	,	,	,	N	O
nausea	NN	nausea	nausea	nausea	Y	B-AdverseReaction
and	CC	and	and	and	N	O
or	CC	or	or	or	N	O
vomiting	NN	vomiting	vomiting	vomit	Y	B-AdverseReaction
,	,	,	,	,	N	O
hypotension	NN	hypotension	hypotension	hypotens	Y	B-AdverseReaction
and	CC	and	and	and	N	O
headache	NN	headache	headache	headach	Y	B-AdverseReaction
.	.	.	.	.	N	O

(	(	(	(	(	N	O
6	CD	6	6	6	N	O
)	)	)	)	)	N	O

To	TO	to	to	to	N	O

report	NN	report	report	report	N	O
SUSPECTED	NNP	suspected	suspected	suspect	N	O
ADVERSE	NNP	adverse	adverse	advers	N	O
REACTIONS	NNP	reactions	reaction	reaction	N	O
,	,	,	,	,	N	O
call	VB	call	call	call	N	O
877	CD	877	877	877	N	O
-	:	-	-	-	N	O
377	CD	377	377	377	N	O
-	:	-	-	-	N	O
3784	CD	3784	3784	3784	N	O
or	CC	or	or	or	N	O
contact	VB	contact	contact	contact	N	O
FDA	NNP	fda	fda	fda	N	O
at	IN	at	at	at	N	O
1	CD	1	1	1	N	O
-	:	-	-	-	N	O
800	CD	800	800	800	N	O
-	:	-	-	-	N	O
FDA	NNP	fda	fda	fda	N	O
-	:	-	-	-	N	O
1088	CD	1088	1088	1088	N	O
or	CC	or	or	or	N	O
www	VB	www	www	www	N	O
.	.	.	.	.	N	O
fda	NN	fda	fda	fda	N	O
.	.	.	.	.	N	O
