6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	JJ	following	following	follow	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
to	TO	to	to	to	N	O
XEOMIN	NNS	xeomin	xeomin	xeomin	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Hypersensitivity	NNP	hypersensitivity	hypersensitivity	hypersensit	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Contraindications	NNP	contraindications	contraindication	contraind	N	O
(	(	(	(	(	N	O
4	CD	4	4	4	N	O
)	)	)	)	)	N	O
and	CC	and	and	and	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Dysphagia	NNP	dysphagia	dysphagia	dysphagia	Y	B-AdverseReaction
and	CC	and	and	and	N	O
Breathing	NNP	breathing	breathing	breath	N	B-AdverseReaction
Difficulties	NNP	difficulties	difficulty	difficulti	N	I-AdverseReaction
in	IN	in	in	in	N	O
Treatment	NNP	treatment	treatment	treatment	N	O
of	IN	of	of	of	N	O
cervical	JJ	cervical	cervical	cervic	N	O
dystonia	NN	dystonia	dystonia	dystonia	Y	O
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.4	CD	5.4	5.4	5.4	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

Spread	NN	spread	spread	spread	N	B-AdverseReaction
of	IN	of	of	of	N	I-AdverseReaction
Effects	NNS	effects	effect	effect	N	I-AdverseReaction
from	IN	from	from	from	N	I-AdverseReaction
Toxin	NNP	toxin	toxin	toxin	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)	)	)	)	)	N	O
]	NN	]	]	]	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
Cervical	JJ	cervical	cervical	cervic	N	O
Dystonia	NNP	dystonia	dystonia	dystonia	Y	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
commonly	RB	commonly	commonly	commonli	N	O
observed	JJ	observed	observed	observ	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
5%	CD	5%	5%	5%	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
and	CC	and	and	and	N	O
placebo	NN	placebo	placebo	placebo	N	O
)	)	)	)	)	N	O
are	VBP	are	are	are	N	O
dysphagia	JJ	dysphagia	dysphagia	dysphagia	Y	B-AdverseReaction
,	,	,	,	,	N	O
neck	RB	neck	neck	neck	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
muscle	NN	muscle	muscle	muscl	N	B-AdverseReaction
weakness	NN	weakness	weakness	weak	Y	I-AdverseReaction
,	,	,	,	,	N	O
injection	NN	injection	injection	inject	Y	B-AdverseReaction
site	NN	site	site	site	N	I-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
musculoskeletal	JJ	musculoskeletal	musculoskeletal	musculoskelet	N	B-AdverseReaction
pain	NN	pain	pain	pain	Y	I-AdverseReaction
(	(	(	(	(	N	O
6.1	CD	6.1	6.1	6.1	N	O
)	)	)	)	)	N	O
.	.	.	.	.	N	O

Blepharospasm	NN	blepharospasm	blepharospasm	blepharospasm	Y	O

:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
commonly	RB	commonly	commonly	commonli	N	O
observed	JJ	observed	observed	observ	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
5%	CD	5%	5%	5%	N	O
of	IN	of	of	of	N	O
patients	NNS	patients	patient	patient	N	O
and	CC	and	and	and	N	O
placebo	NN	placebo	placebo	placebo	N	O
)	)	)	)	)	N	O
are	VBP	are	are	are	N	O
