6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	VBG	following	following	follow	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
in	IN	in	in	in	N	O
patients	NNS	patients	patient	patient	N	O
with	IN	with	with	with	N	O
Dupuytren	NNP	dupuytren	dupuytren	dupuytren	N	O
's	POS	's	's	's	N	O
contracture	NN	contracture	contracture	contractur	Y	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
detail	NN	detail	detail	detail	N	O
elsewhere	RB	elsewhere	elsewhere	elsewher	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Tendon	NNP	tendon	tendon	tendon	N	B-AdverseReaction
ruptures	NNS	ruptures	rupture	ruptur	N	I-AdverseReaction
or	CC	or	or	or	N	O
other	JJ	other	other	other	N	O
serious	JJ	serious	serious	seriou	N	B-Severity
injury	NN	injury	injury	injuri	Y	B-AdverseReaction
to	TO	to	to	to	N	I-AdverseReaction
the	DT	the	the	the	N	I-AdverseReaction
injected	JJ	injected	injected	inject	N	I-AdverseReaction
extremity	NN	extremity	extremity	extrem	N	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O

The	DT	the	the	the	N	O
following	VBG	following	following	follow	N	O
serious	JJ	serious	serious	seriou	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
in	IN	in	in	in	N	O
patients	NNS	patients	patient	patient	N	O
with	IN	with	with	with	N	O
Peyronie	NNP	peyronie	peyronie	peyroni	N	O
's	POS	's	's	's	N	O
disease	NN	disease	disease	diseas	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
greater	JJR	greater	greater	greater	N	O
detail	NN	detail	detail	detail	N	O
elsewhere	RB	elsewhere	elsewhere	elsewher	N	O
in	IN	in	in	in	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Corporal	JJ	corporal	corporal	corpor	N	B-AdverseReaction

rupture	NN	rupture	rupture	ruptur	N	I-AdverseReaction
(	(	(	(	(	N	O
penile	JJ	penile	penile	penil	N	B-AdverseReaction
fracture	NN	fracture	fracture	fractur	Y	I-AdverseReaction
)	)	)	)	)	N	O
and	CC	and	and	and	N	O
severe	JJ	severe	severe	sever	N	B-Severity
penile	NN	penile	penile	penil	N	B-AdverseReaction
hematoma	NN	hematoma	hematoma	hematoma	Y	I-AdverseReaction
[	NNP	[	[	[	N	O
see	VBP	see	see	see	N	O
Warnings	NNP	warnings	warning	warn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O

In	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
XIAFLEX	NNP	xiaflex	xiaflex	xiaflex	N	O
-	:	-	-	-	N	O
treated	VBD	treated	treated	treat	N	O
patients	NNS	patients	patient	patient	N	O
,	,	,	,	,	N	O
a	DT	a	a	a	N	O
combination	NN	combination	combination	combin	N	O
of	IN	of	of	of	N	O
penile	JJ	penile	penile	penil	N	B-AdverseReaction
ecchymoses	NNS	ecchymoses	ecchymosis	ecchymos	Y	I-AdverseReaction
or	CC	or	or	or	N	O
hematoma	NN	hematoma	hematoma	hematoma	Y	I-AdverseReaction
,	,	,	,	,	N	O
sudden	JJ	sudden	sudden	sudden	N	O
penile	NN	penile	penile	penil	N	B-AdverseReaction
detumescence	NN	detumescence	detumescence	detumesc	N	I-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
or	CC	or	or	or	N	O
a	DT	a	a	a	N	O
penile	JJ	penile	penile	penil	N	B-AdverseReaction
"	NN	"	"	"	N	I-AdverseReaction
popping	VBG	popping	popping	pop	N	I-AdverseReaction
"	JJ	"	"	"	N	I-AdverseReaction
sound	NN	sound	sound	sound	N	I-AdverseReaction
or	CC	or	or	or	N	O
sensation	NN	sensation	sensation	sensat	N	I-AdverseReaction
was	VBD	was	wa	wa	N	O
reported	VBN	reported	reported	report	N	O
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
in	IN	in	in	in	N	O
these	DT	these	these	these	N	O
cases	NNS	cases	case	case	N	O
,	,	,	,	,	N	O
a	DT	a	a	a	N	O
diagnosis	NN	diagnosis	diagnosis	diagnosi	N	O
of	IN	of	of	of	N	O
