6	CD	6	6	6	N	O
ADVERSE	JJ	adverse	adverse	advers	N	O
REACTIONS	NN	reactions	reaction	reaction	N	O

The	DT	the	the	the	N	O
following	NN	following	following	follow	N	O
are	VBP	are	are	are	N	O
discussed	VBN	discussed	discussed	discuss	N	O
in	IN	in	in	in	N	O
more	JJR	more	more	more	N	O
detail	NN	detail	detail	detail	N	O
in	IN	in	in	in	N	O
other	JJ	other	other	other	N	O
sections	NNS	sections	section	section	N	O
of	IN	of	of	of	N	O
the	DT	the	the	the	N	O
labeling	NN	labeling	labeling	label	N	O
:	:	:	:	:	N	O

Hypertension	NN	hypertension	hypertension	hypertens	Y	B-AdverseReaction
,	,	,	,	,	N	O
Hypokalemia	NNP	hypokalemia	hypokalemia	hypokalemia	Y	B-AdverseReaction
,	,	,	,	,	N	O
and	CC	and	and	and	N	O
Fluid	NNP	fluid	fluid	fluid	N	B-AdverseReaction
Retention	NNP	retention	retention	retent	N	I-AdverseReaction
due	JJ	due	due	due	N	O
to	TO	to	to	to	N	O
Mineralocorticoid	NNP	mineralocorticoid	mineralocorticoid	mineralocorticoid	N	B-AdverseReaction
Excess	NNP	excess	excess	excess	N	I-AdverseReaction
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.1	CD	5.1	5.1	5.1	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

Adrenocortical	JJ	adrenocortical	adrenocortical	adrenocort	N	B-AdverseReaction
Insufficiency	NNP	insufficiency	insufficiency	insuffici	N	I-AdverseReaction
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.2	CD	5.2	5.2	5.2	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

Hepatotoxicity	NNP	hepatotoxicity	hepatotoxicity	hepatotox	Y	B-AdverseReaction
[	NNP	[	[	[	N	O
seeWarnings	NNS	seewarnings	seewarnings	seewarn	N	O
and	CC	and	and	and	N	O
Precautions	NNP	precautions	precaution	precaut	N	O
(	(	(	(	(	N	O
5.3	CD	5.3	5.3	5.3	N	O
)]	NN	)]	)]	)]	N	O
.	.	.	.	.	N	O

EXCERPT	NN	excerpt	excerpt	excerpt	N	O
:	:	:	:	:	N	O
The	DT	the	the	the	N	O
most	RBS	most	most	most	N	O
common	JJ	common	common	common	N	O
adverse	JJ	adverse	adverse	advers	N	O
reactions	NNS	reactions	reaction	reaction	N	O
(	(	(	(	(	N	O
10%	CD	10%	10%	10%	N	O
)	)	)	)	)	N	O
are	VBP	are	are	are	N	O
fatigue	JJ	fatigue	fatigue	fatigu	Y	B-AdverseReaction
,	,	,	,	,	N	O
joint	JJ	joint	joint	joint	N	B-AdverseReaction
swelling	NN	swelling	swelling	swell	Y	I-AdverseReaction
or	CC	or	or	or	N	O
discomfort	NN	discomfort	discomfort	discomfort	Y	I-AdverseReaction
,	,	,	,	,	N	O
edema	NN	edema	edema	edema	Y	B-AdverseReaction
,	,	,	,	,	N	O
hot	JJ	hot	hot	hot	N	B-AdverseReaction
flush	NN	flush	flush	flush	N	I-AdverseReaction
,	,	,	,	,	N	O
diarrhea	NN	diarrhea	diarrhea	diarrhea	Y	B-AdverseReaction
,	,	,	,	,	N	O
vomiting	VBG	vomiting	vomiting	vomit	Y	B-AdverseReaction
,	,	,	,	,	N	O
cough	NN	cough	cough	cough	Y	B-AdverseReaction
,	,	,	,	,	N	O
hypertension	NN	hypertension	hypertension	hypertens	Y	B-AdverseReaction
,	,	,	,	,	N	O
dyspnea	NN	dyspnea	dyspnea	dyspnea	Y	B-AdverseReaction
,	,	,	,	,	N	O
urinary	JJ	urinary	urinary	urinari	N	B-AdverseReaction
tract	NN	tract	tract	tract	N	I-AdverseReaction
infection	NN	infection	infection	infect	Y	I-AdverseReaction
and	CC	and	and	and	N	O
